// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47F0C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
06823	-0.093376	0.094186	9.715990	0.001279	0.023662	-0.095821	1.000000	0.000066	0.000257	0.000296
06824	-0.094540	0.064886	9.714231	0.000118	-0.005650	-0.097782	1.000000	0.000064	0.000257	0.000300
06825	-0.123863	0.066048	9.711817	-0.029220	-0.004587	-0.099901	1.000000	0.000077	0.000258	0.000289
06826	-0.094916	0.064746	9.714228	-0.000167	-0.005845	-0.097782	1.000000	0.000059	0.000266	0.000285
06827	-0.095061	0.064519	9.714228	-0.000308	-0.005942	-0.097782	1.000000	0.000063	0.000258	0.000304
06828	-0.097534	0.062846	9.743372	-0.002644	-0.007924	-0.068628	1.000000	0.000069	0.000251	0.000292
06829	-0.096666	0.092001	9.745131	-0.001766	0.021191	-0.066666	1.000000	0.000066	0.000259	0.000297
06830	-0.092946	0.066037	9.685081	0.001457	-0.004356	-0.126936	1.000000	0.000071	0.000259	0.000301
06831	-0.095569	0.064292	9.714225	-0.000878	-0.006335	-0.097782	1.000000	0.000068	0.000259	0.000305
06832	-0.093238	0.065813	9.685080	0.001175	-0.004550	-0.126936	1.000000	0.000066	0.000259	0.000301
06833	-0.069101	0.061165	9.745784	0.025841	-0.009575	-0.066505	1.000000	0.000063	0.000252	0.000298
06834	-0.096021	0.063929	9.714222	-0.001302	-0.006630	-0.097782	1.000000	0.000069	0.000268	0.000287
