// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47AB0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
17883	-0.061429	0.059024	9.663953	-0.007426	-0.021826	-0.148387	-1.000000	-0.000148	-0.000258	-0.000683
17884	-0.062012	0.058850	9.663950	-0.007849	-0.021943	-0.148387	-1.000000	-0.000134	-0.000260	-0.000670
17885	-0.083597	0.053784	9.644302	-0.029556	-0.026793	-0.167956	-1.000000	-0.000140	-0.000256	-0.000672
17886	-0.023531	0.071826	9.662078	0.030492	-0.008865	-0.150365	-1.000000	-0.000139	-0.000251	-0.000671
17887	-0.072337	0.086078	9.667004	-0.018328	0.005315	-0.145048	-1.000000	-0.000136	-0.000253	-0.000671
17888	-0.069660	0.082379	9.708166	-0.015373	0.001350	-0.103934	-1.000000	-0.000131	-0.000255	-0.000677
17889	-0.055064	0.094078	9.645489	-0.001271	0.013661	-0.166593	-1.000000	-0.000129	-0.000240	-0.000683
17890	-0.073500	0.085547	9.667000	-0.019598	0.004963	-0.145050	-1.000000	-0.000127	-0.000252	-0.000676
17891	-0.043626	0.062696	9.683590	0.010475	-0.018030	-0.128818	-1.000000	-0.000133	-0.000248	-0.000678
17892	-0.074331	0.085474	9.666994	-0.020441	0.004729	-0.145052	-1.000000	-0.000139	-0.000244	-0.000680
17893	-0.074731	0.085321	9.666993	-0.020864	0.004611	-0.145053	-1.000000	-0.000130	-0.000246	-0.000677
17894	-0.105206	0.044166	9.665786	-0.051255	-0.036431	-0.146432	-1.000000	-0.000125	-0.000247	-0.000684
17895	-0.087648	0.052451	9.644273	-0.033771	-0.027963	-0.167973	-1.000000	-0.000132	-0.000252	-0.000682
17896	-0.045801	0.062116	9.683584	0.008356	-0.018612	-0.128817	-1.000000	-0.000129	-0.000255	-0.000682
17897	-0.055484	0.089667	9.686641	-0.001284	0.008880	-0.125477	-1.000000	-0.000134	-0.000258	-0.000686
17898	-0.037836	0.097942	9.665134	0.016204	0.017350	-0.147012	-1.000000	-0.000130	-0.000252	-0.000693
17899	-0.026112	0.130331	9.687853	0.027832	0.049574	-0.124089	-1.000000	-0.000132	-0.000240	-0.000685
17900	-0.020655	0.169842	9.628243	0.032744	0.089506	-0.183396	-1.000000	-0.000138	-0.000235	-0.000686
17901	-0.044901	0.121748	9.709357	0.009068	0.040752	-0.102553	-1.000000	-0.000127	-0.000245	-0.000684
17902	-0.009069	0.074558	9.681739	0.044999	-0.005989	-0.130764	-1.000000	-0.000121	-0.000255	-0.000691
17903	-0.079268	0.083866	9.666969	-0.025096	0.003442	-0.145063	-1.000000	-0.000117	-0.000266	-0.000692
17904	-0.031404	0.069343	9.662074	0.022886	-0.010956	-0.150347	-1.000000	-0.000119	-0.000268	-0.000702
17905	-0.053121	0.064410	9.642406	0.001200	-0.015810	-0.169933	-1.000000	-0.000123	-0.000280	-0.000703
17906	-0.050506	0.060821	9.683569	0.004125	-0.019782	-0.128817	-1.000000	-0.000124	-0.000276	-0.000695
17907	-0.026675	0.044987	9.617848	0.027501	-0.035059	-0.194800	-1.000000	-0.000125	-0.000269	-0.000709
17908	-0.051121	0.060537	9.683567	0.003280	-0.020018	-0.128817	-1.000000	-0.000117	-0.000263	-0.000705
17909	-0.045712	0.099975	9.623964	0.008212	0.019920	-0.188119	-1.000000	-0.000125	-0.000260	-0.000700
17910	-0.043013	0.096372	9.665128	0.011130	0.015946	-0.147002	-1.000000	-0.000120	-0.000261	-0.000706
17911	-0.034571	0.132323	9.646692	0.019401	0.052028	-0.165186	-1.000000	-0.000129	-0.000258	-0.000703
17912	-0.052693	0.060265	9.683560	0.001585	-0.020486	-0.128818	-1.000000	-0.000133	-0.000261	-0.000705
17913	-0.044257	0.096285	9.665124	0.009856	0.015597	-0.147000	-1.000000	-0.000139	-0.000256	-0.000709
17914	-0.032808	0.128728	9.687854	0.021462	0.047821	-0.124064	-1.000000	-0.000138	-0.000269	-0.000702
17915	-0.042083	0.092590	9.706287	0.012339	0.011505	-0.105882	-1.000000	-0.000140	-0.000256	-0.000695
17916	-0.048306	0.035846	9.639330	0.005788	-0.044695	-0.173275	-1.000000	-0.000139	-0.000265	-0.000713
17917	-0.046181	0.095765	9.665120	0.008161	0.015131	-0.146998	-1.000000	-0.000128	-0.000276	-0.000710
17918	-0.034347	0.064295	9.703230	0.020294	-0.016450	-0.109219	-1.000000	-0.000119	-0.000270	-0.000707
17919	-0.028913	0.103785	9.643634	0.025243	0.023496	-0.168513	-1.000000	-0.000133	-0.000266	-0.000712
17920	-0.047387	0.095377	9.665118	0.006892	0.014781	-0.146996	-1.000000	-0.000130	-0.000269	-0.000711
17921	-0.068869	0.090391	9.645435	-0.014782	0.009928	-0.166599	-1.000000	-0.000133	-0.000257	-0.000704
17922	-0.005830	0.104852	9.704483	0.048545	0.024022	-0.107787	-1.000000	-0.000126	-0.000266	-0.000711
17923	-0.069809	0.089924	9.645433	-0.015625	0.009694	-0.166600	-1.000000	-0.000112	-0.000269	-0.000698
