// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B48506
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
17883	0.004904	0.087441	9.779368	-0.008469	-0.076861	-0.033233	-0.999998	0.001628	-0.000698	-0.000445
17884	0.004818	0.087486	9.779368	-0.008710	-0.076818	-0.033233	-0.999998	0.001621	-0.000679	-0.000456
17885	-0.007011	0.087061	9.806234	-0.020655	-0.077646	-0.006394	-0.999998	0.001633	-0.000689	-0.000447
17886	0.035219	0.133024	9.825463	0.021571	-0.031933	0.013664	-0.999998	0.001627	-0.000686	-0.000450
17887	-0.004345	0.115411	9.776138	-0.017903	-0.048736	-0.036005	-0.999998	0.001633	-0.000690	-0.000459
17888	-0.030073	0.106357	9.764907	-0.043620	-0.057578	-0.047422	-0.999998	0.001633	-0.000685	-0.000452
17889	-0.004740	0.115504	9.776136	-0.018381	-0.048627	-0.036006	-0.999998	0.001629	-0.000682	-0.000455
17890	0.012041	0.152543	9.784135	-0.001635	-0.011796	-0.027363	-0.999998	0.001626	-0.000686	-0.000465
17891	-0.005243	0.115772	9.776133	-0.018850	-0.048516	-0.036006	-0.999998	0.001620	-0.000684	-0.000460
17892	0.028546	0.097118	9.790596	0.014873	-0.067488	-0.021812	-0.999998	0.001616	-0.000680	-0.000470
17893	-0.017330	0.115489	9.802995	-0.031043	-0.049301	-0.009170	-0.999998	0.001626	-0.000683	-0.000462
17894	0.002601	0.088003	9.779364	-0.011076	-0.076265	-0.033231	-0.999998	0.001628	-0.000679	-0.000463
17895	-0.017789	0.115483	9.802994	-0.031523	-0.049188	-0.009171	-0.999998	0.001626	-0.000683	-0.000473
17896	0.002135	0.088039	9.779364	-0.011553	-0.076151	-0.033230	-0.999998	0.001635	-0.000677	-0.000473
17897	0.019009	0.124962	9.787366	0.005195	-0.039291	-0.024586	-0.999998	0.001631	-0.000674	-0.000475
17898	-0.001310	0.152467	9.810994	-0.015259	-0.012243	-0.000528	-0.999998	0.001633	-0.000670	-0.000476
17899	0.013509	0.181214	9.754035	-0.000546	0.017518	-0.056976	-0.999998	0.001635	-0.000658	-0.000478
17900	0.047255	0.162353	9.768506	0.033176	-0.001449	-0.042774	-0.999998	0.001644	-0.000668	-0.000469
17901	0.009846	0.152860	9.784133	-0.004252	-0.011169	-0.027363	-0.999998	0.001640	-0.000657	-0.000480
17902	0.021380	0.153272	9.757271	0.007230	-0.010230	-0.054197	-0.999998	0.001652	-0.000659	-0.000486
17903	0.006262	0.124469	9.814230	-0.007956	-0.039854	0.002250	-0.999998	0.001654	-0.000655	-0.000480
