// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47ACA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
26986	0.020540	0.152687	9.878798	-0.018489	0.076540	0.066998	0.999999	-0.000232	0.000071	0.001159
26987	-0.000221	0.133973	9.890249	-0.039198	0.057701	0.078223	0.999999	-0.000224	0.000084	0.001160
26988	0.044745	0.121148	9.873941	0.006108	0.045078	0.061993	0.999999	-0.000232	0.000096	0.001181
26989	0.018355	0.121677	9.906735	-0.020478	0.045277	0.094688	0.999999	-0.000221	0.000077	0.001199
26990	0.062230	0.139586	9.862513	0.023396	0.063449	0.050778	0.999999	-0.000216	0.000083	0.001211
26991	0.022030	0.102309	9.885394	-0.016863	0.025897	0.073213	0.999999	-0.000218	0.000071	0.001217
26992	0.018020	0.163351	9.829551	-0.020883	0.087274	0.017827	0.999999	-0.000210	0.000075	0.001237
26993	-0.007067	0.133355	9.890255	-0.046044	0.056667	0.078199	0.999999	-0.000207	0.000081	0.001251
26994	-0.002458	0.114006	9.868910	-0.041260	0.037427	0.056724	0.999999	-0.000206	0.000079	0.001264
26995	0.015957	0.132332	9.857486	-0.022842	0.055997	0.045515	0.999999	-0.000216	0.000082	0.001276
26996	0.016214	0.101535	9.885413	-0.022534	0.025007	0.073204	0.999999	-0.000211	0.000087	0.001286
26997	0.009322	0.120746	9.906760	-0.029598	0.043892	0.094671	0.999999	-0.000199	0.000078	0.001314
26998	0.026395	0.169910	9.867419	-0.012643	0.093221	0.055781	0.999999	-0.000194	0.000073	0.001337
26999	0.032608	0.119999	9.874002	-0.006395	0.043260	0.062001	0.999999	-0.000195	0.000071	0.001353
27000	0.050979	0.138443	9.862594	0.012032	0.061788	0.050809	0.999999	-0.000192	0.000079	0.001374
27001	0.064801	0.145498	9.900456	0.025941	0.068625	0.088778	0.999999	-0.000196	0.000098	0.001382
27002	0.054306	0.118876	9.841269	0.015720	0.042429	0.029345	0.999999	-0.000194	0.000075	0.001415
27003	0.053501	0.118691	9.841276	0.014587	0.042289	0.029348	0.999999	-0.000198	0.000065	0.001433
27004	0.067484	0.125709	9.879143	0.028494	0.049097	0.067322	0.999999	-0.000200	0.000084	0.001441
27005	0.087364	0.113652	9.895670	0.048355	0.036921	0.083834	0.999999	-0.000192	0.000067	0.001471
27006	0.051671	0.087710	9.869218	0.012663	0.010987	0.057041	0.999999	-0.000193	0.000066	0.001476
27007	0.050557	0.087507	9.869225	0.011531	0.010846	0.057043	0.999999	-0.000195	0.000065	0.001473
27008	0.041974	0.137021	9.862656	0.002956	0.060451	0.050824	0.999999	-0.000203	0.000079	0.001472
27009	0.026989	0.099027	9.852715	-0.011718	0.022527	0.040529	0.999999	-0.000196	0.000082	0.001463
27010	0.074321	0.162630	9.889149	0.035208	0.085880	0.077643	0.999999	-0.000195	0.000070	0.001468
27011	0.038626	0.136616	9.862675	-0.000457	0.059975	0.050827	0.999999	-0.000194	0.000067	0.001473
27012	0.097595	0.161701	9.856448	0.058461	0.085304	0.045027	0.999999	-0.000201	0.000070	0.001481
27013	0.036296	0.136215	9.862690	-0.002727	0.059627	0.050829	0.999999	-0.000194	0.000073	0.001472
27014	0.048728	0.174022	9.872654	0.009642	0.097222	0.061137	0.999999	-0.000187	0.000078	0.001473
27015	0.020348	0.098213	9.852739	-0.018491	0.021495	0.040521	0.999999	-0.000192	0.000069	0.001471
27016	0.059883	0.104706	9.857911	0.020905	0.028082	0.045899	0.999999	-0.000191	0.000068	0.001466
27017	0.031792	0.135717	9.862712	-0.007264	0.058947	0.050831	0.999999	-0.000187	0.000072	0.001469
27018	0.011040	0.117019	9.874086	-0.027905	0.039951	0.061978	0.999999	-0.000179	0.000077	0.001468
27019	0.004034	0.136044	9.895425	-0.035090	0.058806	0.083437	0.999999	-0.000185	0.000069	0.001448
27020	0.020803	0.185033	9.856150	-0.018179	0.108212	0.044611	0.999999	-0.000187	0.000089	0.001458
27021	0.046489	0.153821	9.851373	0.007733	0.077077	0.039691	0.999999	-0.000180	0.000082	0.001459
27022	0.039636	0.172979	9.872713	0.000547	0.095878	0.061154	0.999999	-0.000173	0.000068	0.001459
27023	0.019136	0.154192	9.884076	-0.020105	0.076924	0.072290	0.999999	-0.000175	0.000067	0.001456
27024	0.043443	0.153438	9.851393	0.004357	0.076547	0.039698	0.999999	-0.000181	0.000069	0.001456
27025	0.022577	0.134499	9.862754	-0.016286	0.057588	0.050828	0.999999	-0.000186	0.000089	0.001445
27026	0.021490	0.134350	9.862759	-0.017412	0.057396	0.050827	0.999999	-0.000179	0.000065	0.001457
27027	0.000925	0.115580	9.874109	-0.038050	0.038427	0.061950	0.999999	-0.000178	0.000081	0.001442
27028	0.020689	0.103560	9.890679	-0.018180	0.026257	0.078504	0.999999	-0.000174	0.000078	0.001445
27029	0.017870	0.133963	9.862771	-0.020817	0.056904	0.050824	0.999999	-0.000179	0.000098	0.001434
27030	0.037549	0.121801	9.879351	-0.000955	0.044754	0.067384	0.999999	-0.000185	0.000100	0.001433
27031	0.055934	0.140289	9.868022	0.017401	0.063445	0.056271	0.999999	-0.000183	0.000096	0.001438
27032	0.008174	0.152568	9.884116	-0.030339	0.075354	0.072276	0.999999	-0.000176	0.000111	0.001429
27033	0.053228	0.140103	9.868039	0.015131	0.063110	0.056277	0.999999	-0.000177	0.000129	0.001426
27034	0.053559	0.109351	9.895959	0.015504	0.032133	0.083956	0.999999	-0.000177	0.000117	0.001432
27035	0.010476	0.132891	9.862796	-0.027630	0.055883	0.050813	0.999999	-0.000183	0.000118	0.001421
27036	0.030398	0.120833	9.879387	-0.007771	0.043738	0.067386	0.999999	-0.000178	0.000114	0.001422
27037	0.009892	0.102100	9.890711	-0.028392	0.024737	0.078484	0.999999	-0.000167	0.000105	0.001431
27038	0.047711	0.139414	9.868077	0.009439	0.062269	0.056289	0.999999	-0.000174	0.000117	0.001422
27039	0.054133	0.089432	9.874667	0.015974	0.012354	0.062512	0.999999	-0.000176	0.000105	0.001429
27040	0.026077	0.120276	9.879406	-0.012324	0.043068	0.067384	0.999999	-0.000175	0.000103	0.001423
27041	0.071528	0.107814	9.863371	0.033181	0.030888	0.051428	0.999999	-0.000176	0.000100	0.001439
27042	0.037234	0.157815	9.889436	-0.001291	0.080592	0.077750	0.999999	-0.000177	0.000109	0.001428
27043	0.036041	0.157666	9.889443	-0.002435	0.080448	0.077751	0.999999	-0.000175	0.000106	0.001433
27044	0.062068	0.126600	9.884726	0.023613	0.049370	0.072892	0.999999	-0.000167	0.000100	0.001414
27045	0.033819	0.157501	9.889454	-0.004714	0.080115	0.077753	0.999999	-0.000169	0.000108	0.001402
27046	0.038666	0.138165	9.868135	0.000341	0.060959	0.056302	0.999999	-0.000169	0.000107	0.001398
27047	0.018096	0.119261	9.879437	-0.020264	0.041928	0.067376	0.999999	-0.000169	0.000104	0.001384
27048	0.036523	0.137761	9.868148	-0.001930	0.060615	0.056304	0.999999	-0.000177	0.000098	0.001383
27049	0.035406	0.137556	9.868155	-0.003069	0.060470	0.056304	0.999999	-0.000172	0.000102	0.001386
27050	0.034300	0.137374	9.868162	-0.004207	0.060278	0.056305	0.999999	-0.000179	0.000095	0.001375
27051	0.073571	0.144093	9.873503	0.035112	0.067136	0.061851	0.999999	-0.000178	0.000111	0.001361
27052	0.052825	0.125023	9.884799	0.014530	0.048048	0.072916	0.999999	-0.000193	0.000109	0.001348
27053	0.044122	0.174530	9.878229	0.005618	0.097663	0.066697	0.999999	-0.000184	0.000101	0.001337
27054	0.035832	0.117440	9.846864	-0.002514	0.040635	0.034858	0.999999	-0.000180	0.000098	0.001319
27055	0.049584	0.124643	9.884821	0.011107	0.047561	0.072923	0.999999	-0.000179	0.000104	0.001314
27056	0.048389	0.124485	9.884829	0.009952	0.047368	0.072925	0.999999	-0.000179	0.000103	0.001289
27057	0.026152	0.136107	9.868204	-0.012184	0.059106	0.056306	0.999999	-0.000181	0.000110	0.001295
27058	0.025037	0.135914	9.868210	-0.013311	0.058908	0.056305	0.999999	-0.000182	0.000101	0.001262
27059	0.023923	0.135734	9.868215	-0.014450	0.058763	0.056305	0.999999	-0.000182	0.000108	0.001238
27060	0.036125	0.173477	9.878280	-0.002396	0.096446	0.066710	0.999999	-0.000183	0.000098	0.001255
27061	0.048894	0.104449	9.863545	0.010564	0.027606	0.051487	0.999999	-0.000183	0.000105	0.001232
27062	0.020441	0.135238	9.868230	-0.017853	0.058231	0.056302	0.999999	-0.000180	0.000111	0.001225
27063	0.038709	0.153916	9.856979	0.000449	0.077024	0.045269	0.999999	-0.000179	0.000108	0.001211
27064	0.039219	0.123195	9.884886	0.000869	0.046028	0.072937	0.999999	-0.000176	0.000105	0.001194
27065	0.051261	0.160914	9.894964	0.012870	0.083772	0.083354	0.999999	-0.000184	0.000117	0.001186
27066	0.042968	0.103672	9.863581	0.004897	0.026753	0.051494	0.999999	-0.000178	0.000112	0.001178
27067	0.008544	0.153643	9.889568	-0.029849	0.076340	0.077739	0.999999	-0.000172	0.000106	0.001160
27068	0.054020	0.141453	9.873668	0.015750	0.064317	0.061920	0.999999	-0.000174	0.000115	0.001158
27069	-0.014968	0.165093	9.872916	-0.053133	0.087843	0.061086	0.999999	-0.000173	0.000122	0.001153
27070	0.036685	0.133742	9.835707	-0.001209	0.056896	0.023833	0.999999	-0.000176	0.000122	0.001141
27071	0.030958	0.122027	9.884930	-0.007103	0.044883	0.072939	0.999999	-0.000181	0.000121	0.001149
27072	0.028165	0.152467	9.857038	-0.009794	0.075494	0.045276	0.999999	-0.000175	0.000127	0.001132
27073	0.047877	0.140681	9.873711	0.010063	0.063516	0.061932	0.999999	-0.000168	0.000140	0.001114
27074	0.052885	0.121365	9.852404	0.015259	0.044406	0.040494	0.999999	-0.000179	0.000134	0.001128
27075	0.026220	0.121415	9.884951	-0.011646	0.044216	0.072938	0.999999	-0.000173	0.000128	0.001110
27076	0.023471	0.151948	9.857058	-0.014355	0.074829	0.045275	0.999999	-0.000168	0.000133	0.001123
27077	0.023817	0.121214	9.884959	-0.013914	0.043879	0.072937	0.999999	-0.000171	0.000142	0.001111
27078	0.041980	0.139977	9.873747	0.004375	0.062673	0.061942	0.999999	-0.000161	0.000145	0.001102
27079	0.019783	0.151592	9.857072	-0.017761	0.074345	0.045273	0.999999	-0.000166	0.000145	0.001110
27080	0.020234	0.120860	9.884972	-0.017296	0.043345	0.072934	0.999999	-0.000159	0.000150	0.001113
27081	0.011165	0.170387	9.878393	-0.026405	0.092924	0.066709	0.999999	-0.000166	0.000150	0.001132
27082	0.016305	0.151237	9.857083	-0.021149	0.073806	0.045271	0.999999	-0.000146	0.000149	0.001126
27083	0.023024	0.101394	9.863671	-0.014304	0.023935	0.051492	0.999999	-0.000164	0.000155	0.001123
27084	0.014020	0.150900	9.857092	-0.023433	0.073460	0.045268	0.999999	-0.000148	0.000145	0.001118
27085	0.040337	0.120094	9.852479	0.002829	0.042602	0.040513	0.999999	-0.000146	0.000141	0.001123
27086	0.032941	0.138985	9.873796	-0.004722	0.061324	0.061950	0.999999	-0.000152	0.000142	0.001121
27087	0.017008	0.131422	9.835792	-0.020442	0.054058	0.023828	0.999999	-0.000147	0.000146	0.001124
27088	0.032212	0.108079	9.901702	-0.005394	0.030181	0.089609	0.999999	-0.000149	0.000145	0.001132
27089	0.029394	0.138521	9.873814	-0.008132	0.060844	0.061951	0.999999	-0.000145	0.000150	0.001116
27090	0.049135	0.126648	9.890527	0.011724	0.048879	0.078645	0.999999	-0.000151	0.000161	0.001126
27091	0.033125	0.119063	9.852518	-0.003974	0.041609	0.040517	0.999999	-0.000149	0.000166	0.001141
27092	0.072560	0.126106	9.858054	0.035286	0.048675	0.046257	0.999999	-0.000151	0.000146	0.001148
27093	0.045828	0.126079	9.890550	0.008313	0.048405	0.078651	0.999999	-0.000153	0.000154	0.001136
27094	0.030056	0.118558	9.852534	-0.007353	0.041075	0.040517	0.999999	-0.000146	0.000140	0.001137
27095	0.043728	0.125906	9.890562	0.006049	0.048065	0.078654	0.999999	-0.000142	0.000144	0.001140
27096	0.042557	0.125768	9.890569	0.004925	0.047871	0.078655	0.999999	-0.000144	0.000144	0.001147
27097	0.047743	0.106573	9.869269	0.010256	0.028830	0.057225	0.999999	-0.000136	0.000147	0.001139
27098	0.019286	0.137364	9.873855	-0.018350	0.059287	0.061946	0.999999	-0.000123	0.000138	0.001145
27099	0.039338	0.125548	9.890585	0.001505	0.047386	0.078659	0.999999	-0.000134	0.000131	0.001147
27100	0.038147	0.125374	9.890592	0.000368	0.047201	0.078660	0.999999	-0.000124	0.000143	0.001148
