// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	0.092288	0.080013	9.829609	0.333937	0.018046	0.011990	0.992875	-0.004841	0.015844	-0.118004
07552	0.065761	0.095460	9.825841	0.311636	0.039193	0.008817	0.992879	-0.004841	0.015839	-0.117968
07553	0.064603	0.085567	9.780566	0.307074	0.030056	-0.036402	0.992882	-0.004841	0.015840	-0.117947
07554	0.073993	0.087256	9.827770	0.317733	0.029233	0.010568	0.992888	-0.004838	0.015838	-0.117891
07555	0.057884	0.084384	9.794945	0.300511	0.030185	-0.021865	0.992893	-0.004819	0.015831	-0.117854
07556	0.062737	0.074882	9.825559	0.303348	0.019501	0.008655	0.992897	-0.004810	0.015810	-0.117820
07557	0.101133	0.106054	9.805495	0.347399	0.040729	-0.012337	0.992896	-0.004802	0.015817	-0.117831
07558	0.056815	0.095812	9.811569	0.302088	0.041000	-0.005223	0.992894	-0.004799	0.015809	-0.117846
07559	0.080231	0.102071	9.787036	0.325665	0.041725	-0.030299	0.992893	-0.004800	0.015813	-0.117860
07560	0.065144	0.087770	9.813506	0.308299	0.031106	-0.003466	0.992892	-0.004790	0.015809	-0.117868
07561	0.083051	0.092349	9.817679	0.326642	0.031242	0.000292	0.992891	-0.004784	0.015798	-0.117876
07562	0.071608	0.100891	9.801432	0.317015	0.042252	-0.015693	0.992893	-0.004784	0.015798	-0.117858
07563	0.062207	0.088420	9.799197	0.304714	0.032314	-0.017685	0.992887	-0.004778	0.015778	-0.117911
07564	0.087661	0.105283	9.805633	0.333295	0.042763	-0.011856	0.992882	-0.004789	0.015769	-0.117956
07565	0.080980	0.093598	9.789055	0.323692	0.033046	-0.028259	0.992880	-0.004781	0.015777	-0.117973
07566	0.076169	0.092595	9.803417	0.319016	0.033107	-0.013785	0.992873	-0.004783	0.015762	-0.118036
07567	0.069565	0.080944	9.786833	0.309475	0.023386	-0.030195	0.992865	-0.004783	0.015770	-0.118100
07568	0.082513	0.105496	9.791365	0.327857	0.044312	-0.025997	0.992865	-0.004792	0.015761	-0.118101
07569	0.074961	0.072051	9.803139	0.312867	0.013336	-0.014000	0.992866	-0.004766	0.015765	-0.118095
07570	0.065253	0.091488	9.817821	0.308223	0.034052	0.000879	0.992872	-0.004751	0.015755	-0.118041
07571	0.086020	0.096931	9.807692	0.329187	0.034513	-0.009725	0.992875	-0.004760	0.015738	-0.118022
07572	0.084174	0.096721	9.807710	0.327158	0.034753	-0.009658	0.992881	-0.004752	0.015735	-0.117975
07573	0.064321	0.102525	9.834468	0.309701	0.044865	0.017545	0.992880	-0.004750	0.015724	-0.117983
07574	0.073044	0.084013	9.805477	0.312916	0.025004	-0.011604	0.992881	-0.004753	0.015709	-0.117972
