// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	0.034991	0.107767	10.116909	0.094473	-0.126017	0.303630	0.997411	0.005762	0.004020	-0.071569
07552	0.017933	0.104884	10.088470	0.076919	-0.125637	0.275268	0.997410	0.005756	0.004015	-0.071583
07553	0.019308	0.105435	10.132341	0.078372	-0.126189	0.319132	0.997409	0.005755	0.004002	-0.071592
07554	0.027633	0.088132	10.136700	0.083948	-0.144609	0.323054	0.997411	0.005757	0.003995	-0.071572
07555	0.030912	0.085080	10.111994	0.086655	-0.147551	0.298264	0.997411	0.005757	0.003995	-0.071572
07556	0.020745	0.078787	10.102719	0.075584	-0.152218	0.288931	0.997411	0.005767	0.003994	-0.071566
07557	0.037239	0.093442	10.121263	0.094167	-0.140477	0.307663	0.997409	0.005762	0.004004	-0.071598
07558	0.036020	0.094012	10.121262	0.092842	-0.139650	0.307686	0.997409	0.005755	0.003981	-0.071603
07559	0.012594	0.084388	10.127412	0.068121	-0.146036	0.313802	0.997409	0.005767	0.003977	-0.071596
07560	0.024742	0.088429	10.111982	0.080701	-0.143581	0.298370	0.997410	0.005770	0.003984	-0.071586
07561	0.043940	0.088760	10.115733	0.099695	-0.146124	0.301984	0.997410	0.005773	0.003972	-0.071579
07562	0.022501	0.089746	10.111976	0.078253	-0.141991	0.298412	0.997409	0.005774	0.003959	-0.071596
07563	0.016828	0.094061	10.136671	0.073205	-0.137507	0.323237	0.997411	0.005775	0.003952	-0.071576
07564	0.029017	0.098020	10.121247	0.085648	-0.134925	0.307814	0.997409	0.005775	0.003948	-0.071602
07565	0.027650	0.098711	10.121244	0.084430	-0.134090	0.307835	0.997408	0.005777	0.003954	-0.071615
07566	0.004046	0.088949	10.127380	0.059669	-0.140393	0.313935	0.997407	0.005762	0.003943	-0.071626
07567	0.020881	0.089181	10.087264	0.076064	-0.141668	0.273711	0.997408	0.005775	0.003940	-0.071619
07568	0.033382	0.082561	10.125632	0.087582	-0.150818	0.311834	0.997407	0.005763	0.003945	-0.071632
07569	0.015569	0.104710	10.102047	0.073170	-0.125793	0.288866	0.997404	0.005771	0.003948	-0.071670
07570	0.010378	0.084106	10.121853	0.065087	-0.145858	0.308261	0.997404	0.005758	0.003936	-0.071667
07571	0.031569	0.094933	10.115723	0.087585	-0.138033	0.302209	0.997406	0.005766	0.003942	-0.071648
07572	0.032293	0.106263	10.105814	0.089743	-0.126724	0.292544	0.997404	0.005769	0.003934	-0.071669
07573	0.027037	0.085706	10.125624	0.081549	-0.146691	0.311945	0.997401	0.005760	0.003929	-0.071717
07574	0.025677	0.086327	10.125623	0.080410	-0.145931	0.311965	0.997402	0.005767	0.003939	-0.071699
07575	0.039766	0.100922	10.100309	0.096381	-0.133038	0.286868	0.997403	0.005771	0.003937	-0.071681
07576	0.023192	0.087508	10.125618	0.078024	-0.144387	0.312006	0.997404	0.005755	0.003922	-0.071675
07577	0.026582	0.084272	10.100930	0.080696	-0.147314	0.287233	0.997402	0.005754	0.003925	-0.071694
