// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	-0.040435	0.071347	9.791795	0.040058	0.018090	-0.020648	0.999690	-0.000937	0.001768	-0.024799
07552	-0.029560	0.055552	9.785272	0.050151	0.001864	-0.027342	0.999691	-0.000941	0.001771	-0.024794
07553	-0.037617	0.068903	9.805674	0.043012	0.015512	-0.006806	0.999690	-0.000940	0.001775	-0.024799
07554	-0.029921	0.056540	9.785265	0.050011	0.002910	-0.027341	0.999691	-0.000943	0.001780	-0.024794
07555	-0.043785	0.041748	9.800111	0.035541	-0.011236	-0.012461	0.999691	-0.000941	0.001776	-0.024793
07556	-0.034687	0.067092	9.819550	0.045888	0.013456	0.007037	0.999691	-0.000937	0.001764	-0.024785
07557	-0.005186	0.057376	9.763890	0.074326	0.002441	-0.048911	0.999691	-0.000923	0.001765	-0.024792
07558	-0.041159	0.075115	9.791763	0.039485	0.021794	-0.020653	0.999691	-0.000940	0.001764	-0.024779
07559	-0.044257	0.061298	9.788986	0.035699	0.008427	-0.023478	0.999690	-0.000950	0.001768	-0.024800
07560	-0.052298	0.074794	9.809382	0.028552	0.022077	-0.002948	0.999690	-0.000929	0.001767	-0.024812
07561	-0.013570	0.072336	9.784276	0.066868	0.017672	-0.028379	0.999690	-0.000932	0.001764	-0.024802
07562	-0.027309	0.057493	9.799127	0.052369	0.003519	-0.013494	0.999691	-0.000936	0.001753	-0.024797
07563	-0.030383	0.061464	9.785234	0.049137	0.007672	-0.027340	0.999691	-0.000927	0.001739	-0.024793
07564	-0.041276	0.060952	9.802856	0.038333	0.007415	-0.009633	0.999691	-0.000917	0.001747	-0.024794
07565	-0.013698	0.074604	9.784259	0.066463	0.019757	-0.028380	0.999691	-0.000923	0.001745	-0.024797
07566	-0.027280	0.042250	9.810235	0.051463	-0.011914	-0.002466	0.999690	-0.000929	0.001743	-0.024803
07567	-0.023053	0.050811	9.764823	0.055868	-0.003358	-0.047865	0.999691	-0.000919	0.001758	-0.024797
07568	-0.027926	0.060840	9.799105	0.051825	0.006678	-0.013493	0.999690	-0.000926	0.001749	-0.024809
07569	-0.045010	0.049236	9.800070	0.034239	-0.003850	-0.012451	0.999691	-0.000942	0.001762	-0.024794
07570	-0.051623	0.056449	9.772284	0.027919	0.003913	-0.040145	0.999690	-0.000935	0.001763	-0.024801
07571	-0.028586	0.079714	9.787969	0.052080	0.025749	-0.024524	0.999691	-0.000925	0.001750	-0.024798
07572	-0.020596	0.067462	9.767573	0.059054	0.013142	-0.045047	0.999690	-0.000924	0.001739	-0.024803
07573	-0.028142	0.046167	9.810215	0.050784	-0.008229	-0.002458	0.999690	-0.000900	0.001750	-0.024832
07574	-0.048590	0.055724	9.786160	0.030610	0.002404	-0.026297	0.999690	-0.000918	0.001735	-0.024823
07575	-0.017298	0.048270	9.792585	0.061301	-0.006388	-0.020163	0.999690	-0.000924	0.001725	-0.024824
07576	-0.034625	0.054505	9.782421	0.044249	0.000619	-0.030153	0.999689	-0.000905	0.001738	-0.024845
07577	-0.028493	0.048405	9.810203	0.050358	-0.006082	-0.002455	0.999690	-0.000908	0.001733	-0.024834
07578	-0.020959	0.053495	9.778681	0.057873	-0.001179	-0.034009	0.999690	-0.000907	0.001735	-0.024836
07579	-0.017909	0.050562	9.792572	0.060905	-0.004272	-0.020159	0.999689	-0.000915	0.001734	-0.024854
07580	-0.039997	0.065972	9.816686	0.039913	0.012261	0.004213	0.999689	-0.000926	0.001747	-0.024847
07581	-0.032746	0.071007	9.785162	0.047411	0.017175	-0.027343	0.999689	-0.000922	0.001762	-0.024868
07582	-0.043701	0.070213	9.802783	0.036591	0.016958	-0.009638	0.999689	-0.000940	0.001747	-0.024861
07583	-0.032863	0.071856	9.785155	0.047248	0.018252	-0.027344	0.999689	-0.000931	0.001749	-0.024861
07584	-0.019001	0.070404	9.781419	0.060973	0.015926	-0.031199	0.999689	-0.000919	0.001748	-0.024842
07585	-0.033153	0.073226	9.785144	0.047033	0.019305	-0.027345	0.999689	-0.000919	0.001751	-0.024857
07586	-0.033028	0.056297	9.796280	0.046425	0.002310	-0.016300	0.999689	-0.000916	0.001748	-0.024855
07587	-0.047125	0.059052	9.800006	0.032498	0.005722	-0.012446	0.999689	-0.000916	0.001751	-0.024861
07588	-0.033528	0.074927	9.785130	0.046802	0.020907	-0.027347	0.999689	-0.000909	0.001753	-0.024872
07589	-0.030402	0.072041	9.799022	0.049825	0.017824	-0.013496	0.999689	-0.000920	0.001745	-0.024863
07590	-0.039548	0.047867	9.779618	0.039282	-0.005850	-0.032953	0.999689	-0.000900	0.001750	-0.024877
07591	-0.050705	0.064706	9.786094	0.029027	0.011419	-0.026298	0.999689	-0.000914	0.001743	-0.024858
07592	-0.044512	0.075852	9.802738	0.035684	0.022255	-0.009645	0.999689	-0.000908	0.001730	-0.024871
07593	-0.050344	0.048326	9.797235	0.028251	-0.005027	-0.015246	0.999689	-0.000903	0.001723	-0.024852
07594	-0.019499	0.058666	9.792524	0.059510	0.003682	-0.020150	0.999689	-0.000896	0.001725	-0.024864
07595	-0.039836	0.050768	9.779602	0.038803	-0.003222	-0.032950	0.999689	-0.000893	0.001734	-0.024858
07596	-0.039946	0.051275	9.779599	0.038721	-0.002669	-0.032949	0.999689	-0.000899	0.001725	-0.024860
07597	-0.033959	0.062413	9.796240	0.045366	0.008162	-0.016298	0.999689	-0.000904	0.001734	-0.024859
07598	-0.023443	0.064140	9.778611	0.056009	0.009437	-0.034003	0.999689	-0.000896	0.001743	-0.024862
07599	-0.039215	0.073070	9.830498	0.041174	0.018815	0.018056	0.999689	-0.000901	0.001744	-0.024856
07600	-0.030097	0.054538	9.761960	0.048999	0.000193	-0.050652	0.999689	-0.000893	0.001759	-0.024860
07601	-0.023937	0.048293	9.789754	0.055123	-0.006506	-0.022942	0.999689	-0.000902	0.001750	-0.024847
07602	-0.037909	0.050996	9.793477	0.041190	-0.003104	-0.019092	0.999689	-0.000894	0.001744	-0.024852
07603	-0.017911	0.060052	9.806390	0.061712	0.004864	-0.006293	0.999689	-0.000901	0.001749	-0.024862
07604	-0.038143	0.051985	9.793471	0.040982	-0.002032	-0.019090	0.999689	-0.000902	0.001744	-0.024872
07605	-0.035375	0.066648	9.796207	0.044535	0.012406	-0.016299	0.999688	-0.000897	0.001752	-0.024887
07606	-0.035414	0.067196	9.796203	0.044461	0.012916	-0.016299	0.999689	-0.000899	0.001736	-0.024879
07607	-0.036934	0.047345	9.745298	0.041542	-0.006443	-0.067295	0.999688	-0.000906	0.001753	-0.024883
07608	-0.032425	0.064697	9.810097	0.047374	0.010362	-0.002443	0.999689	-0.000907	0.001729	-0.024869
07609	-0.046601	0.084989	9.802653	0.033992	0.031289	-0.009664	0.999689	-0.000894	0.001736	-0.024881
07610	-0.021487	0.049661	9.803629	0.057357	-0.005333	-0.009079	0.999688	-0.000900	0.001733	-0.024884
