// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	0.073678	0.147664	9.906428	0.030531	0.038399	0.094994	0.992009	-0.002372	0.000889	-0.126142
07552	0.056572	0.174877	9.923477	0.020610	0.068647	0.112232	0.992007	-0.002366	0.000900	-0.126158
07553	0.091147	0.175708	9.918316	0.054368	0.060935	0.107268	0.992010	-0.002380	0.000901	-0.126136
07554	0.067995	0.148855	9.926899	0.025320	0.040509	0.115446	0.992010	-0.002359	0.000910	-0.126133
07555	0.067159	0.148956	9.926903	0.024640	0.040646	0.115447	0.992009	-0.002361	0.000910	-0.126143
07556	0.062823	0.160690	9.904752	0.023525	0.053341	0.093395	0.992010	-0.002365	0.000914	-0.126134
07557	0.077080	0.171254	9.927455	0.039917	0.059878	0.116283	0.992010	-0.002371	0.000917	-0.126134
07558	0.083792	0.176647	9.938809	0.047765	0.063159	0.127730	0.992011	-0.002352	0.000924	-0.126126
07559	0.078594	0.170218	9.907014	0.041306	0.058452	0.095842	0.992009	-0.002360	0.000915	-0.126139
07560	0.056382	0.161617	9.925227	0.017596	0.055524	0.113844	0.992010	-0.002353	0.000933	-0.126132
07561	0.083276	0.157275	9.908739	0.042980	0.044541	0.097456	0.992009	-0.002346	0.000943	-0.126142
07562	0.090043	0.162717	9.920095	0.050793	0.047868	0.108905	0.992010	-0.002339	0.000935	-0.126137
07563	0.068018	0.154285	9.938298	0.027079	0.044905	0.126903	0.992009	-0.002328	0.000935	-0.126140
07564	0.071138	0.171611	9.927493	0.034667	0.060748	0.116298	0.992008	-0.002318	0.000947	-0.126149
07565	0.080932	0.175815	9.918403	0.045307	0.062461	0.107304	0.992009	-0.002327	0.000945	-0.126140
07566	0.054788	0.149991	9.947413	0.013407	0.043721	0.135902	0.992011	-0.002318	0.000952	-0.126127
07567	0.079102	0.175780	9.918418	0.043803	0.062736	0.107309	0.992009	-0.002316	0.000968	-0.126139
07568	0.084883	0.162737	9.920140	0.046253	0.048675	0.108923	0.992007	-0.002323	0.000962	-0.126156
07569	0.062505	0.164797	9.895724	0.025207	0.056543	0.084413	0.992008	-0.002322	0.000959	-0.126149
07570	0.059392	0.184139	9.925822	0.026915	0.075806	0.114694	0.992007	-0.002323	0.000973	-0.126160
07571	0.083295	0.180852	9.929807	0.049342	0.066538	0.118770	0.992008	-0.002319	0.000976	-0.126151
