// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF2
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	-0.065576	0.019938	9.833839	-0.004776	-0.029855	0.021344	0.922508	-0.000199	-0.001097	0.385976
07552	-0.039442	0.030302	9.855965	0.006198	-0.003978	0.043401	0.922510	-0.000208	-0.001098	0.385972
07553	-0.051817	0.016291	9.828766	0.007294	-0.022615	0.016200	0.922508	-0.000202	-0.001100	0.385977
07554	-0.062949	0.032454	9.833572	-0.011965	-0.019245	0.021113	0.922503	-0.000203	-0.001097	0.385989
07555	-0.051610	0.015111	9.828769	0.008290	-0.023440	0.016197	0.922497	-0.000194	-0.001106	0.386003
07556	-0.058879	0.000541	9.815304	0.013403	-0.038870	0.002707	0.922496	-0.000204	-0.001106	0.386005
07557	-0.036661	0.041726	9.855706	-0.000005	0.005794	0.043173	0.922492	-0.000183	-0.001098	0.386014
07558	-0.041505	0.041832	9.841971	-0.003548	0.002173	0.029459	0.922491	-0.000181	-0.001116	0.386018
07559	-0.046483	0.041811	9.828237	-0.007072	-0.001435	0.015746	0.922492	-0.000177	-0.001098	0.386015
07560	-0.054601	0.013552	9.861328	0.007670	-0.027118	0.048761	0.922491	-0.000170	-0.001107	0.386017
07561	-0.038012	0.038920	9.809426	0.001044	0.002577	-0.003111	0.922490	-0.000181	-0.001087	0.386020
07562	-0.027741	0.007601	9.851171	0.030909	-0.011869	0.038470	0.922494	-0.000184	-0.001086	0.386010
07563	-0.046732	0.039224	9.828246	-0.005083	-0.003058	0.015747	0.922502	-0.000195	-0.001082	0.385992
07564	-0.060332	0.040894	9.833328	-0.015720	-0.011489	0.020891	0.922498	-0.000189	-0.001077	0.386001
07565	-0.030484	0.020603	9.837172	0.019674	-0.004464	0.024533	0.922494	-0.000197	-0.001084	0.386009
07566	-0.057568	0.024653	9.847332	-0.002072	-0.020935	0.034821	0.922487	-0.000184	-0.001070	0.386026
07567	-0.051629	0.007790	9.828777	0.014130	-0.028346	0.016178	0.922493	-0.000211	-0.001063	0.386013
