// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	-0.039182	0.009344	9.816316	0.010602	-0.011116	0.003699	-0.975097	0.000184	-0.001479	0.221774
07552	-0.032997	0.022486	9.830210	0.021954	-0.001872	0.017579	-0.975093	0.000180	-0.001484	0.221791
07553	-0.033307	0.021828	9.830211	0.021445	-0.002408	0.017580	-0.975092	0.000176	-0.001488	0.221796
07554	-0.021684	0.004788	9.825856	0.024509	-0.022872	0.013136	-0.975090	0.000171	-0.001483	0.221805
07555	-0.052012	-0.001685	9.814654	-0.005813	-0.015520	0.002091	-0.975094	0.000176	-0.001474	0.221789
07556	-0.039424	0.000807	9.836431	0.006536	-0.018620	0.023803	-0.975096	0.000186	-0.001463	0.221777
07557	-0.040111	0.004902	9.816316	0.007527	-0.014428	0.003698	-0.975095	0.000187	-0.001464	0.221784
07558	-0.033871	0.042691	9.836239	0.029702	0.016928	0.023644	-0.975094	0.000194	-0.001472	0.221787
07559	-0.046295	0.008955	9.828552	0.003967	-0.007975	0.015974	-0.975095	0.000200	-0.001471	0.221781
07560	-0.041003	0.002317	9.816313	0.005997	-0.016112	0.003696	-0.975096	0.000208	-0.001487	0.221777
07561	-0.017395	-0.006483	9.813616	0.023455	-0.034401	0.000858	-0.975099	0.000185	-0.001472	0.221764
07562	-0.034969	0.015152	9.830217	0.016823	-0.007446	0.017587	-0.975102	0.000192	-0.001471	0.221754
07563	-0.029524	0.008569	9.817979	0.018857	-0.015592	0.005309	-0.975104	0.000197	-0.001471	0.221745
07564	-0.040934	0.019317	9.842458	0.013271	-0.001000	0.029866	-0.975105	0.000196	-0.001465	0.221737
07565	-0.041608	0.023566	9.822346	0.014303	0.003187	0.009764	-0.975105	0.000195	-0.001459	0.221740
07566	-0.029407	0.001406	9.838091	0.015813	-0.022102	0.025410	-0.975105	0.000200	-0.001467	0.221737
07567	-0.047891	0.003008	9.828548	-0.000108	-0.012490	0.015970	-0.975107	0.000207	-0.001466	0.221730
07568	-0.018482	0.012943	9.819651	0.030692	-0.016196	0.006928	-0.975107	0.000203	-0.001469	0.221731
07569	-0.041402	0.010490	9.862571	0.009158	-0.008601	0.049968	-0.975108	0.000214	-0.001466	0.221726
07570	-0.036478	0.008904	9.830220	0.012722	-0.011948	0.017588	-0.975106	0.000210	-0.001461	0.221734
07571	-0.024698	0.016487	9.831894	0.026582	-0.010320	0.019210	-0.975107	0.000204	-0.001465	0.221730
07572	-0.031333	0.001783	9.817977	0.014234	-0.020645	0.005308	-0.975105	0.000211	-0.001465	0.221739
07573	-0.048942	0.023070	9.834594	0.007655	0.006266	0.022051	-0.975108	0.000222	-0.001463	0.221726
07574	-0.036649	0.025506	9.856382	0.019997	0.003102	0.043775	-0.975106	0.000217	-0.001475	0.221736
07575	-0.043998	0.015825	9.822351	0.009178	-0.002430	0.009771	-0.975105	0.000213	-0.001479	0.221740
07576	-0.025849	0.012884	9.831897	0.024064	-0.013150	0.019214	-0.975100	0.000194	-0.001455	0.221760
07577	-0.049739	0.020494	9.834596	0.005617	0.004036	0.022053	-0.975101	0.000208	-0.001460	0.221755
07578	-0.032270	0.022103	9.824034	0.022061	-0.001884	0.011400	-0.975099	0.000209	-0.001454	0.221764
07579	-0.038103	0.027175	9.836279	0.018984	0.005165	0.023683	-0.975099	0.000205	-0.001456	0.221765
07580	-0.020860	0.004322	9.819654	0.024528	-0.022854	0.006932	-0.975099	0.000207	-0.001449	0.221765
07581	-0.044153	0.006937	9.842460	0.004533	-0.010461	0.029868	-0.975099	0.000206	-0.001433	0.221767
07582	-0.032677	0.019380	9.824039	0.019966	-0.004070	0.011403	-0.975103	0.000209	-0.001425	0.221749
07583	-0.008389	0.005371	9.841445	0.035837	-0.027182	0.028660	-0.975104	0.000214	-0.001426	0.221743
07584	-0.050632	0.015298	9.834601	0.002020	0.000146	0.022056	-0.975107	0.000218	-0.001425	0.221732
07585	-0.033209	0.016831	9.824041	0.018465	-0.005818	0.011406	-0.975107	0.000230	-0.001432	0.221731
07586	-0.051121	0.013502	9.834601	0.001027	-0.001001	0.022056	-0.975105	0.000232	-0.001434	0.221740
07587	-0.044884	0.026698	9.848537	0.012366	0.008153	0.035977	-0.975105	0.000230	-0.001428	0.221738
07588	-0.027407	0.028437	9.837980	0.028813	0.002212	0.025329	-0.975107	0.000230	-0.001431	0.221729
07589	-0.046157	0.005547	9.822353	0.002060	-0.010271	0.009770	-0.975113	0.000234	-0.001440	0.221703
07590	-0.028046	0.002337	9.831899	0.016943	-0.021058	0.019215	-0.975109	0.000226	-0.001421	0.221721
07591	-0.046039	0.028822	9.828438	0.011975	0.010669	0.015888	-0.975109	0.000233	-0.001421	0.221720
07592	-0.033719	0.031016	9.850235	0.024288	0.007506	0.037622	-0.975106	0.000255	-0.001433	0.221733
07593	-0.028793	0.029345	9.817886	0.027878	0.004173	0.005245	-0.975108	0.000253	-0.001418	0.221724
07594	-0.034720	0.009723	9.824046	0.013930	-0.010902	0.011409	-0.975111	0.000259	-0.001417	0.221714
07595	-0.023147	-0.007517	9.819647	0.016936	-0.031393	0.006925	-0.975111	0.000259	-0.001419	0.221713
07596	-0.035032	0.032801	9.830141	0.023814	0.010049	0.017537	-0.975113	0.000260	-0.001430	0.221705
07597	-0.029194	0.021319	9.837993	0.024258	-0.002854	0.025341	-0.975113	0.000261	-0.001431	0.221702
07598	-0.047543	0.023101	9.828446	0.008395	0.006776	0.015895	-0.975114	0.000266	-0.001423	0.221698
07599	-0.029760	-0.004794	9.831893	0.012320	-0.026051	0.019210	-0.975115	0.000261	-0.001426	0.221696
07600	-0.036337	0.005130	9.824043	0.010835	-0.014219	0.011408	-0.975116	0.000270	-0.001441	0.221689
07601	-0.030966	-0.001358	9.811791	0.012869	-0.022320	-0.000881	-0.975113	0.000265	-0.001428	0.221702
07602	-0.036746	0.003774	9.824043	0.009841	-0.015315	0.011408	-0.975111	0.000261	-0.001433	0.221711
07603	-0.054558	0.025169	9.840700	0.003303	0.011581	0.028188	-0.975113	0.000268	-0.001450	0.221703
07604	-0.025570	0.010273	9.825744	0.023207	-0.014275	0.013058	-0.975115	0.000270	-0.001460	0.221697
07605	-0.025905	0.009509	9.825744	0.022692	-0.014828	0.013058	-0.975116	0.000271	-0.001461	0.221692
07606	-0.044155	0.011449	9.816194	0.006830	-0.005157	0.003609	-0.975112	0.000265	-0.001440	0.221706
07607	-0.020792	0.031778	9.799512	0.036709	0.003386	-0.013171	-0.975114	0.000298	-0.001464	0.221698
07608	-0.044146	0.004556	9.836290	0.004219	-0.011110	0.023696	-0.975113	0.000279	-0.001456	0.221703
07609	-0.044061	0.028763	9.842410	0.014627	0.010418	0.029847	-0.975113	0.000268	-0.001454	0.221705
07610	-0.021063	0.024763	9.819612	0.033577	-0.003106	0.006921	-0.975113	0.000276	-0.001462	0.221704
07611	-0.032947	0.010744	9.837998	0.017064	-0.010637	0.025351	-0.975113	0.000277	-0.001471	0.221704
07612	-0.039739	-0.003869	9.824031	0.004681	-0.020865	0.011401	-0.975113	0.000273	-0.001475	0.221705
07613	-0.051142	0.007000	9.848540	-0.000902	-0.006327	0.035986	-0.975113	0.000265	-0.001462	0.221702
07614	-0.040176	0.024506	9.810065	0.016140	0.004887	-0.002524	-0.975117	0.000270	-0.001452	0.221688
07615	-0.027783	0.026656	9.831875	0.028418	0.001640	0.019222	-0.975115	0.000292	-0.001463	0.221695
07616	-0.064110	0.001334	9.826731	-0.015279	-0.005277	0.014239	-0.975111	0.000288	-0.001450	0.221711
07617	-0.028339	0.000464	9.825742	0.016449	-0.021501	0.013058	-0.975115	0.000293	-0.001449	0.221696
07618	-0.028710	0.029458	9.811787	0.028461	0.004803	-0.000857	-0.975115	0.000280	-0.001438	0.221693
07619	-0.034794	0.009849	9.817906	0.014461	-0.010244	0.005269	-0.975117	0.000293	-0.001442	0.221685
07620	-0.023031	0.017157	9.819624	0.028353	-0.008670	0.006934	-0.975113	0.000290	-0.001447	0.221703
07621	-0.046547	0.019969	9.842421	0.008355	0.003778	0.029859	-0.975114	0.000273	-0.001437	0.221699
07622	-0.035310	0.008099	9.817906	0.012928	-0.011906	0.005269	-0.975111	0.000265	-0.001417	0.221713
07623	-0.028949	0.021384	9.831884	0.024304	-0.002800	0.019232	-0.975110	0.000260	-0.001422	0.221718
07624	-0.029818	0.025514	9.811794	0.025398	0.001454	-0.000847	-0.975115	0.000278	-0.001434	0.221697
07625	-0.036077	0.005720	9.817905	0.011410	-0.013602	0.005269	-0.975112	0.000275	-0.001438	0.221709
07626	-0.036402	0.004931	9.817904	0.010913	-0.014193	0.005269	-0.975112	0.000281	-0.001447	0.221707
07627	-0.024551	0.012393	9.819628	0.024798	-0.012615	0.006939	-0.975111	0.000269	-0.001437	0.221712
07628	-0.030331	0.017525	9.831888	0.021752	-0.005600	0.019237	-0.975111	0.000271	-0.001438	0.221711
07629	-0.030485	0.016627	9.831889	0.021217	-0.006128	0.019238	-0.975113	0.000291	-0.001432	0.221703
07630	-0.048175	0.013540	9.842424	0.003744	-0.001201	0.029863	-0.975111	0.000275	-0.001414	0.221715
07631	-0.024391	0.004526	9.839718	0.021079	-0.019581	0.027020	-0.975115	0.000291	-0.001410	0.221694
07632	-0.042609	0.030870	9.836326	0.016171	0.012161	0.023759	-0.975117	0.000288	-0.001428	0.221686
07633	-0.031347	0.013541	9.831891	0.019098	-0.008329	0.019241	-0.975115	0.000296	-0.001436	0.221696
07634	-0.037661	0.023452	9.824066	0.017657	0.003507	0.011463	-0.975119	0.000301	-0.001426	0.221676
07635	-0.013494	0.009296	9.841447	0.033354	-0.019710	0.028697	-0.975121	0.000301	-0.001428	0.221670
07636	-0.031578	0.035750	9.838063	0.028492	0.012046	0.025443	-0.975123	0.000308	-0.001428	0.221660
07637	-0.038158	-0.008558	9.837981	0.003504	-0.025041	0.025339	-0.975127	0.000307	-0.001437	0.221643
07638	-0.032406	0.009771	9.831892	0.016484	-0.011087	0.019243	-0.975120	0.000292	-0.001420	0.221672
07639	-0.044154	0.025580	9.836334	0.012554	0.008295	0.023768	-0.975123	0.000310	-0.001416	0.221659
07640	-0.056563	0.016554	9.834599	-0.002369	0.005663	0.022087	-0.975119	0.000310	-0.001436	0.221677
07641	-0.038473	0.037743	9.850336	0.023380	0.016882	0.037754	-0.975119	0.000312	-0.001437	0.221678
07642	-0.021929	0.019893	9.813545	0.030452	-0.006285	0.000853	-0.975120	0.000308	-0.001440	0.221673
07643	-0.033432	0.000915	9.851973	0.012257	-0.018606	0.039317	-0.975119	0.000311	-0.001458	0.221678
07644	-0.034237	0.005144	9.831889	0.013414	-0.014320	0.019243	-0.975119	0.000317	-0.001451	0.221679
07645	-0.040110	0.009974	9.844154	0.010335	-0.007331	0.031545	-0.975118	0.000327	-0.001466	0.221680
07646	-0.029213	0.027470	9.805731	0.027515	0.003873	-0.006913	-0.975119	0.000318	-0.001445	0.221679
07647	-0.028732	0.021744	9.825815	0.025357	-0.001507	0.013161	-0.975120	0.000326	-0.001445	0.221671
07648	-0.023385	0.015297	9.813550	0.027352	-0.009577	0.000859	-0.975124	0.000320	-0.001447	0.221655
07649	-0.035358	0.031047	9.818002	0.023389	0.009768	0.005394	-0.975126	0.000326	-0.001446	0.221646
07650	-0.035003	0.025211	9.838084	0.021223	0.004323	0.025468	-0.975130	0.000323	-0.001440	0.221628
07651	-0.029031	0.013788	9.845899	0.021620	-0.008617	0.033237	-0.975127	0.000319	-0.001437	0.221642
07652	-0.047919	0.020861	9.816260	0.007482	0.005996	0.003707	-0.975127	0.000320	-0.001439	0.221641
07653	-0.035270	-0.006394	9.851965	0.007038	-0.024142	0.039310	-0.975126	0.000315	-0.001416	0.221647
07654	-0.023996	0.035583	9.819758	0.035215	0.009101	0.007097	-0.975126	0.000337	-0.001435	0.221647
07655	-0.024943	0.009999	9.813553	0.023709	-0.013435	0.000864	-0.975128	0.000334	-0.001455	0.221640
07656	-0.036442	0.050502	9.824220	0.030817	0.027917	0.011642	-0.975125	0.000326	-0.001428	0.221651
07657	-0.048416	0.012195	9.836340	0.003246	-0.001559	0.023779	-0.975127	0.000321	-0.001432	0.221642
07658	-0.043148	0.005718	9.824070	0.005256	-0.009620	0.011473	-0.975127	0.000330	-0.001439	0.221641
07659	-0.025116	0.002251	9.833631	0.020005	-0.020470	0.020934	-0.975128	0.000329	-0.001424	0.221637
07660	-0.025060	0.001606	9.833631	0.019456	-0.021004	0.020934	-0.975128	0.000330	-0.001407	0.221639
07661	-0.030801	0.006674	9.845901	0.014914	-0.016730	0.033239	-0.975185	0.000173	-0.001368	0.221386
07662	-0.031553	0.010870	9.825824	0.016038	-0.012417	0.013173	-0.975184	0.000194	-0.001369	0.221393
07663	-0.037742	0.020810	9.818020	0.014661	-0.000602	0.005416	-0.975182	0.000187	-0.001357	0.221399
07664	-0.049353	0.007098	9.836340	-0.001927	-0.008106	0.023776	-0.975187	0.000179	-0.001345	0.221380
07665	-0.019685	0.016887	9.827583	0.028881	-0.012012	0.014880	-0.975187	0.000187	-0.001343	0.221377
07666	-0.038055	0.018759	9.818023	0.013101	-0.002232	0.005418	-0.975190	0.000193	-0.001343	0.221367
07667	-0.038201	0.017990	9.818024	0.012583	-0.002780	0.005419	-0.975189	0.000194	-0.001336	0.221368
07668	-0.031327	0.025985	9.852131	0.022228	0.001365	0.039502	-0.975191	0.000193	-0.001329	0.221362
07669	-0.026015	0.019578	9.839859	0.024239	-0.006702	0.027193	-0.975192	0.000189	-0.001340	0.221358
07670	-0.032923	0.005000	9.825825	0.011872	-0.016832	0.013172	-0.975194	0.000196	-0.001349	0.221347
07671	-0.051436	0.006961	9.816262	-0.003894	-0.007037	0.003708	-0.975193	0.000192	-0.001353	0.221352
07672	-0.026940	0.017422	9.839860	0.022683	-0.008309	0.027196	-0.975193	0.000187	-0.001339	0.221354
07673	-0.021098	0.035722	9.833827	0.035711	0.005613	0.021160	-0.975195	0.000182	-0.001342	0.221344
07674	-0.027516	0.016165	9.839861	0.021634	-0.009400	0.027197	-0.975192	0.000179	-0.001354	0.221355
07675	-0.034295	0.001674	9.825821	0.009256	-0.019515	0.013170	-0.975192	0.000180	-0.001347	0.221359
07676	-0.033919	-0.004134	9.845892	0.007015	-0.024961	0.033230	-0.975193	0.000180	-0.001340	0.221353
07677	-0.039560	0.030537	9.844342	0.016664	0.008867	0.031764	-0.975193	0.000186	-0.001322	0.221354
07678	-0.022934	0.012687	9.807518	0.023749	-0.014223	-0.005174	-0.975190	0.000184	-0.001333	0.221367
07679	-0.034369	0.023454	9.832069	0.018167	0.000267	0.019453	-0.975187	0.000179	-0.001321	0.221380
07680	-0.040338	0.003925	9.838095	0.004096	-0.014739	0.025480	-0.975190	0.000183	-0.001304	0.221368
07681	-0.034426	0.021988	9.832073	0.017137	-0.000824	0.019455	-0.975189	0.000192	-0.001311	0.221369
07682	-0.022948	0.004613	9.827589	0.019998	-0.021324	0.014886	-0.975192	0.000197	-0.001303	0.221359
07683	-0.016598	0.017618	9.841638	0.031349	-0.012311	0.028923	-0.975196	0.000196	-0.001306	0.221340
07684	-0.040591	0.025282	9.844353	0.013069	0.004988	0.031772	-0.975197	0.000203	-0.001306	0.221337
07685	-0.053308	0.021569	9.822513	-0.000160	0.007291	0.009991	-0.975200	0.000202	-0.001299	0.221320
07686	-0.047396	0.009835	9.830303	0.000153	-0.005665	0.017733	-0.975197	0.000224	-0.001302	0.221334
07687	-0.029339	0.006237	9.839867	0.014840	-0.016579	0.027200	-0.975200	0.000216	-0.001288	0.221320
07688	-0.047992	0.013603	9.810237	0.000797	-0.001880	-0.002324	-0.975202	0.000208	-0.001275	0.221311
07689	-0.035943	0.021039	9.812014	0.014676	-0.000374	-0.000596	-0.975202	0.000210	-0.001268	0.221314
07690	-0.035111	0.010083	9.852147	0.010728	-0.010718	0.039516	-0.975202	0.000211	-0.001261	0.221314
07691	-0.023643	0.022525	9.833860	0.026324	-0.004343	0.021191	-0.975201	0.000213	-0.001262	0.221319
07692	-0.042086	-0.005119	9.838088	-0.002185	-0.021376	0.025468	-0.975201	0.000208	-0.001266	0.221316
07693	-0.042836	0.029154	9.804232	0.011746	0.009820	-0.008330	-0.975203	0.000195	-0.001262	0.221307
07694	-0.036518	0.012644	9.832081	0.010325	-0.008056	0.019461	-0.975203	0.000190	-0.001258	0.221310
07695	-0.024588	0.019966	9.833863	0.024203	-0.006579	0.021195	-0.975206	0.000196	-0.001257	0.221296
07696	-0.036590	0.005884	9.852145	0.007566	-0.014045	0.039515	-0.975205	0.000206	-0.001274	0.221298
07697	-0.037330	0.010296	9.832081	0.008789	-0.009688	0.019461	-0.975198	0.000197	-0.001263	0.221330
07698	-0.049212	0.026186	9.836581	0.004916	0.009699	0.024046	-0.975199	0.000199	-0.001273	0.221324
07699	-0.032423	0.003202	9.819798	0.010289	-0.018306	0.007142	-0.975199	0.000195	-0.001286	0.221326
07700	-0.050244	0.029919	9.816520	0.005620	0.013510	0.003996	-0.975198	0.000195	-0.001262	0.221328
07701	-0.032576	0.001865	9.819798	0.009278	-0.019374	0.007141	-0.975196	0.000198	-0.001265	0.221340
07702	-0.038397	0.006612	9.832080	0.006217	-0.012439	0.019460	-0.975197	0.000217	-0.001269	0.221335
07703	-0.038094	0.030448	9.838374	0.016748	0.008944	0.025790	-0.975196	0.000199	-0.001259	0.221339
07704	-0.032213	0.018997	9.846153	0.017042	-0.004042	0.033521	-0.975196	0.000206	-0.001259	0.221340
07705	-0.032887	0.023338	9.826093	0.018280	0.000280	0.013471	-0.975199	0.000205	-0.001263	0.221325
07706	-0.045344	0.014534	9.824302	0.003390	-0.002278	0.011730	-0.975201	0.000207	-0.001274	0.221317
07707	-0.045268	0.008660	9.844361	0.001135	-0.007733	0.031779	-0.975201	0.000203	-0.001279	0.221315
07708	-0.033432	0.016121	9.846154	0.015035	-0.006284	0.033523	-0.975202	0.000191	-0.001277	0.221314
07709	-0.040508	0.006850	9.812017	0.004417	-0.011426	-0.000592	-0.975200	0.000205	-0.001267	0.221320
07710	-0.039728	0.025361	9.838382	0.013239	0.005050	0.025798	-0.975203	0.000212	-0.001276	0.221308
07711	-0.034399	0.019075	9.826097	0.015248	-0.003013	0.013476	-0.975209	0.000192	-0.001267	0.221281
07712	-0.034797	0.018543	9.826097	0.014762	-0.003561	0.013477	-0.975208	0.000190	-0.001290	0.221287
07713	-0.035600	-0.006574	9.819785	0.003141	-0.026035	0.007130	-0.975204	0.000173	-0.001271	0.221303
07714	-0.022980	0.025455	9.827896	0.028111	-0.002665	0.015227	-0.975206	0.000179	-0.001263	0.221293
07715	-0.046311	0.028000	9.850672	0.008128	0.009804	0.038125	-0.975203	0.000188	-0.001254	0.221308
07716	-0.041924	0.002147	9.812013	0.000828	-0.015246	-0.000597	-0.975206	0.000184	-0.001267	0.221297
07717	-0.029697	0.004373	9.833868	0.012964	-0.018714	0.021200	-0.975211	0.000177	-0.001263	0.221275
07718	-0.035739	0.014690	9.826100	0.011658	-0.006859	0.013479	-0.975209	0.000170	-0.001242	0.221283
07719	-0.030061	0.032621	9.820134	0.024772	0.007017	0.007513	-0.975211	0.000194	-0.001287	0.221271
07720	-0.024606	0.020900	9.827902	0.025046	-0.005968	0.015234	-0.975212	0.000177	-0.001280	0.221267
07721	-0.048185	0.023677	9.850675	0.005021	0.006505	0.038130	-0.975212	0.000180	-0.001288	0.221270
07722	-0.049474	0.003505	9.824293	-0.004835	-0.011045	0.011723	-0.975214	0.000180	-0.001290	0.221259
07723	-0.013822	0.002301	9.823381	0.026767	-0.027532	0.010629	-0.975213	0.000176	-0.001285	0.221263
07724	-0.031230	0.023860	9.840194	0.020400	-0.000631	0.027564	-0.975213	0.000179	-0.001287	0.221264
07725	-0.043978	0.020313	9.818334	0.007242	0.001800	0.005763	-0.975215	0.000180	-0.001280	0.221256
07726	-0.013406	0.019639	9.849768	0.034544	-0.012124	0.037042	-0.975215	0.000176	-0.001276	0.221256
