// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	-0.012205	0.040015	10.148691	0.009839	-0.015710	0.336073	-0.978684	-0.000128	-0.000953	0.205371
07552	-0.019639	0.049367	10.165771	0.006670	-0.004177	0.353220	-0.978686	-0.000129	-0.000941	0.205359
07553	0.002626	0.043505	10.128440	0.024745	-0.018130	0.315800	-0.978682	-0.000112	-0.000955	0.205379
07554	-0.009424	0.051814	10.131564	0.017223	-0.005626	0.318997	-0.978682	-0.000118	-0.000957	0.205378
07555	-0.015977	0.029804	10.165812	0.002364	-0.023448	0.353153	-0.978683	-0.000122	-0.000953	0.205376
07556	-0.023446	0.039353	10.182890	-0.000767	-0.011914	0.370298	-0.978684	-0.000133	-0.000946	0.205369
07557	0.015082	0.026493	10.156393	0.029174	-0.039011	0.343635	-0.978682	-0.000124	-0.000939	0.205381
07558	-0.009478	0.074516	10.145465	0.025890	0.015003	0.333012	-0.978680	-0.000125	-0.000934	0.205387
07559	-0.020564	0.030209	10.151851	-0.002003	-0.021122	0.339207	-0.978682	-0.000120	-0.000944	0.205377
07560	-0.008966	0.043421	10.162636	0.014182	-0.013665	0.350026	-0.978681	-0.000112	-0.000956	0.205384
07561	-0.001708	0.034664	10.145557	0.017323	-0.024533	0.332884	-0.978681	-0.000122	-0.000948	0.205384
07562	-0.004823	0.045129	10.176589	0.018539	-0.013962	0.363976	-0.978680	-0.000124	-0.000944	0.205389
07563	-0.009313	0.044587	10.162631	0.014171	-0.012640	0.350028	-0.978680	-0.000130	-0.000946	0.205390
07564	-0.009477	0.044908	10.162629	0.014158	-0.012301	0.350028	-0.978679	-0.000125	-0.000945	0.205394
07565	-0.021508	0.053320	10.165748	0.006644	0.000187	0.353221	-0.978679	-0.000129	-0.000958	0.205393
