// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43E23
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	-0.043851	0.093085	9.745634	0.002680	-0.030300	-0.066558	0.999998	0.000801	0.000227	-0.001880
07552	-0.048329	0.126193	9.759740	-0.001677	0.002661	-0.052013	0.999998	0.000797	0.000216	-0.001873
07553	-0.043207	0.116724	9.769012	0.003281	-0.006954	-0.042885	0.999998	0.000803	0.000210	-0.001871
07554	-0.038228	0.107335	9.778285	0.008233	-0.016600	-0.033756	0.999998	0.000808	0.000213	-0.001863
07555	-0.045872	0.092446	9.766195	0.000543	-0.031316	-0.045997	0.999998	0.000805	0.000214	-0.001865
07556	-0.033899	0.098218	9.787554	0.012653	-0.025829	-0.024624	0.999998	0.000804	0.000215	-0.001865
07557	-0.016711	0.100922	9.756434	0.029598	-0.022660	-0.055789	0.999998	0.000793	0.000206	-0.001856
07558	-0.028169	0.116442	9.779037	0.018334	-0.007348	-0.032936	0.999998	0.000800	0.000217	-0.001850
07559	-0.041474	0.111522	9.757663	0.005024	-0.012059	-0.054308	0.999998	0.000804	0.000219	-0.001843
07560	-0.041850	0.109491	9.778246	0.004655	-0.014241	-0.033750	0.999998	0.000788	0.000207	-0.001840
07561	-0.031466	0.092157	9.776225	0.014947	-0.031320	-0.036039	0.999998	0.000777	0.000218	-0.001833
07562	-0.042943	0.107491	9.798825	0.003695	-0.016027	-0.013192	0.999998	0.000767	0.000211	-0.001822
07563	-0.031084	0.115585	9.799599	0.015562	-0.007959	-0.012373	0.999998	0.000775	0.000216	-0.001827
07564	-0.050007	0.122828	9.748346	-0.003485	-0.000128	-0.063440	0.999998	0.000779	0.000220	-0.001820
07565	-0.045047	0.111048	9.778214	0.001736	-0.012293	-0.033747	0.999998	0.000775	0.000232	-0.001818
07566	-0.052456	0.093928	9.786714	-0.005731	-0.029585	-0.025429	0.999998	0.000788	0.000218	-0.001830
07567	-0.035083	0.096848	9.755602	0.011255	-0.026453	-0.056584	0.999998	0.000786	0.000207	-0.001822
07568	-0.033988	0.117798	9.799563	0.012617	-0.006025	-0.012367	0.999998	0.000786	0.000216	-0.001831
07569	-0.047303	0.112767	9.778184	-0.000637	-0.010757	-0.033745	0.999998	0.000788	0.000224	-0.001832
07570	-0.060290	0.105448	9.777393	-0.013682	-0.018046	-0.034566	0.999998	0.000788	0.000214	-0.001837
07571	-0.028961	0.138883	9.770444	0.017528	0.015362	-0.041241	0.999998	0.000787	0.000201	-0.001822
07572	-0.030695	0.111830	9.788240	0.015614	-0.011944	-0.023780	0.999998	0.000792	0.000199	-0.001826
07573	-0.025853	0.104602	9.776939	0.020348	-0.018995	-0.035194	0.999998	0.000783	0.000200	-0.001824
