// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-9.137098	1.004238	3.369699	0.012310	-0.044183	-0.022498	0.291700	0.555140	0.151052	-0.764143
54637	-9.134163	0.998101	3.397953	-0.013530	-0.054840	-0.016155	0.291734	0.555111	0.151021	-0.764157
54638	-9.151975	1.040897	3.378302	0.031688	-0.072010	-0.002037	0.291754	0.555071	0.150978	-0.764187
54639	-9.134019	0.997168	3.398616	-0.013279	-0.052139	-0.016140	0.291781	0.555007	0.150943	-0.764230
54640	-9.101158	1.027963	3.416592	-0.014774	-0.094332	-0.037629	0.291804	0.554960	0.150910	-0.764261
54641	-9.150039	1.035926	3.394277	0.019085	-0.073955	0.001162	0.291795	0.554888	0.150905	-0.764318
54642	-9.112764	1.028171	3.434532	-0.023159	-0.099707	-0.020591	0.291776	0.554837	0.150906	-0.764362
54643	-9.126549	0.973284	3.395995	-0.022345	-0.031473	-0.026346	0.291739	0.554799	0.150914	-0.764403
54644	-9.114679	1.027686	3.420290	-0.009923	-0.091002	-0.023739	0.291731	0.554768	0.150902	-0.764431
54645	-9.109248	0.980973	3.380837	-0.008222	-0.033917	-0.046954	0.291724	0.554740	0.150901	-0.764454
54646	-9.128338	1.030836	3.422594	-0.005337	-0.090356	-0.009874	0.291709	0.554705	0.150886	-0.764488
54647	-9.125552	0.994593	3.430456	-0.032982	-0.066575	-0.013329	0.291691	0.554679	0.150899	-0.764511
54648	-9.109625	1.035514	3.421450	-0.004192	-0.098826	-0.027285	0.291676	0.554654	0.150915	-0.764532
54649	-9.142633	1.031848	3.423851	-0.000634	-0.088374	0.004002	0.291649	0.554667	0.150941	-0.764527
54650	-9.143462	0.971382	3.381660	-0.004184	-0.018102	-0.015660	0.291627	0.554656	0.150973	-0.764537
54651	-9.139180	1.044359	3.410072	0.017819	-0.092861	-0.002746	0.291595	0.554615	0.150977	-0.764579
54652	-9.121617	0.969946	3.409228	-0.028998	-0.038607	-0.026718	0.291560	0.554579	0.150999	-0.764614
54653	-9.115910	0.981591	3.410994	-0.023646	-0.050474	-0.030300	0.291535	0.554550	0.150982	-0.764648
54654	-9.138351	1.007335	3.403571	0.003364	-0.060407	-0.009381	0.291531	0.554510	0.150998	-0.764675
54655	-9.125093	1.000475	3.401290	-0.000860	-0.057038	-0.023214	0.291538	0.554454	0.150975	-0.764717
54656	-9.123558	0.996632	3.415810	-0.013708	-0.061703	-0.020019	0.291541	0.554421	0.150977	-0.764740
54657	-9.092618	1.059024	3.439315	-0.000374	-0.132387	-0.034723	0.291514	0.554401	0.150961	-0.764768
54658	-9.129918	1.009799	3.433944	-0.016865	-0.080267	-0.006550	0.291490	0.554374	0.151012	-0.764787
