// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-8.974366	1.493289	3.623254	0.067911	-0.086483	-0.020597	0.251516	0.550049	0.087608	-0.791524
54637	-8.943346	1.486584	3.642727	0.041050	-0.089320	-0.042674	0.251706	0.549857	0.087197	-0.791643
54638	-8.929630	1.510164	3.617225	0.072664	-0.093421	-0.061319	0.251993	0.549595	0.086826	-0.791774
54639	-8.932290	1.481942	3.601772	0.075243	-0.052457	-0.068649	0.252399	0.549371	0.086618	-0.791823
54640	-8.956806	1.408611	3.582923	0.063431	0.033291	-0.063802	0.252797	0.549222	0.086543	-0.791807
54641	-8.990548	1.411264	3.578337	0.077977	0.048883	-0.034260	0.253142	0.549129	0.086458	-0.791771
54642	-8.997424	1.425203	3.588229	0.078338	0.040715	-0.022262	0.253477	0.549033	0.086326	-0.791745
54643	-8.976366	1.500067	3.590120	0.107934	-0.024530	-0.029945	0.253831	0.548912	0.086187	-0.791730
54644	-8.983164	1.446176	3.592688	0.081047	0.029081	-0.030630	0.254288	0.548840	0.086138	-0.791639
54645	-8.997161	1.376026	3.604220	0.039345	0.095106	-0.023808	0.254768	0.548810	0.086064	-0.791513
54646	-8.936889	1.378958	3.614944	0.013732	0.076530	-0.074552	0.255174	0.548792	0.085866	-0.791416
54647	-8.971864	1.354632	3.663439	-0.031279	0.097135	-0.028019	0.255581	0.548702	0.085509	-0.791386
54648	-9.083378	1.285841	3.586945	0.028138	0.233061	0.034759	0.255928	0.548463	0.085061	-0.791489
54649	-8.996252	1.252943	3.515135	0.051424	0.275557	-0.077185	0.256096	0.548204	0.084527	-0.791671
54650	-8.917776	1.295623	3.457545	0.101026	0.247879	-0.164458	0.256219	0.548120	0.084114	-0.791733
