// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-9.076846	-3.214844	2.011600	-0.062187	-0.115786	0.023654	0.658399	0.142583	0.615207	-0.409514
54637	-9.077182	-3.240453	2.011609	-0.071410	-0.122123	0.032226	0.658302	0.141839	0.615365	-0.409691
54638	-9.118683	-3.238576	2.045118	-0.033460	-0.117915	0.077015	0.658179	0.141132	0.615440	-0.410019
54639	-9.124792	-3.248145	2.108417	0.012851	-0.152928	0.098626	0.658015	0.140526	0.615450	-0.410474
54640	-9.103300	-3.143502	2.108050	0.092962	-0.081792	0.045314	0.657848	0.139980	0.615363	-0.411059
54641	-9.100081	-3.109827	2.088592	0.110055	-0.034183	0.027608	0.657689	0.139435	0.615269	-0.411640
54642	-9.113689	-3.102254	2.004248	0.065581	0.048695	0.020604	0.657556	0.138769	0.615208	-0.412168
54643	-9.092068	-3.121546	2.033099	0.077735	0.023879	0.012617	0.657439	0.138021	0.615191	-0.412630
54644	-9.063723	-3.173755	2.033078	0.046062	-0.004035	0.003373	0.657301	0.137319	0.615168	-0.413119
54645	-9.111270	-3.140833	2.045783	0.091271	0.039934	0.038980	0.657116	0.136727	0.615113	-0.413691
54646	-9.109323	-3.137286	2.038486	0.095211	0.060580	0.034393	0.656960	0.136277	0.614976	-0.414290
54647	-9.166147	-3.083801	1.954817	0.086267	0.185814	0.051765	0.656817	0.135885	0.614846	-0.414839
54648	-9.090075	-3.054275	1.991188	0.129568	0.161981	-0.020862	0.656708	0.135469	0.614759	-0.415276
54649	-9.023575	-3.082278	2.038775	0.140596	0.097027	-0.063186	0.656606	0.135060	0.614719	-0.415631
54650	-9.016914	-3.122137	2.033639	0.112397	0.082771	-0.057244	0.656480	0.134762	0.614640	-0.416041
54651	-8.990628	-3.120765	1.987960	0.082181	0.113612	-0.091428	0.656296	0.134697	0.614494	-0.416568
54652	-9.041397	-3.063814	2.020299	0.152275	0.152682	-0.057232	0.656095	0.134768	0.614316	-0.417125
54653	-8.995881	-3.034118	2.019234	0.168277	0.160110	-0.109332	0.655975	0.134875	0.614121	-0.417564
54654	-9.002137	-3.002486	1.998574	0.175854	0.200585	-0.118538	0.655958	0.134966	0.613921	-0.417857
54655	-9.015802	-2.951801	2.038438	0.238929	0.212294	-0.114703	0.656040	0.134934	0.613799	-0.417917
54656	-9.049637	-3.078546	2.021019	0.137997	0.161380	-0.044740	0.656207	0.134747	0.613771	-0.417757
54657	-9.079804	-3.175513	1.969997	0.034933	0.149366	0.004852	0.656387	0.134600	0.613754	-0.417547
54658	-9.092801	-3.169262	1.926273	0.008107	0.187665	0.005586	0.656548	0.134596	0.613712	-0.417356
54659	-9.058815	-3.175435	1.954936	0.016663	0.149127	-0.017547	0.656653	0.134744	0.613646	-0.417240
54660	-9.066648	-3.107733	1.971374	0.073967	0.179818	-0.029507	0.656739	0.134872	0.613605	-0.417125
54661	-8.999308	-3.155075	1.933394	0.004540	0.148459	-0.083454	0.656798	0.134990	0.613623	-0.416965
54662	-8.988895	-3.154491	1.976319	0.031913	0.111620	-0.084204	0.656841	0.135112	0.613662	-0.416802
54663	-8.988426	-3.211820	1.978400	-0.009531	0.070460	-0.065042	0.656857	0.135356	0.613686	-0.416662
54664	-8.990930	-3.205820	1.976755	-0.009256	0.071187	-0.065047	0.656898	0.135691	0.613642	-0.416552
54665	-8.961037	-3.131799	1.966804	0.029345	0.106304	-0.119158	0.656944	0.136113	0.613601	-0.416402
54666	-8.995461	-3.129243	2.001567	0.054222	0.089743	-0.081000	0.657048	0.136411	0.613632	-0.416095
54667	-9.035603	-3.171173	1.994782	0.019837	0.075945	-0.031509	0.657190	0.136621	0.613727	-0.415662
54668	-9.055812	-3.203997	2.011491	0.006771	0.043579	0.001459	0.657360	0.136753	0.613848	-0.415171
54669	-9.077893	-3.282813	1.967007	-0.080862	0.025950	0.038552	0.657490	0.136915	0.613973	-0.414728
54670	-9.077978	-3.307225	2.007451	-0.072617	-0.024983	0.055006	0.657516	0.137192	0.614069	-0.414451
54671	-9.087525	-3.253170	1.999389	-0.040141	0.010559	0.044394	0.657462	0.137486	0.614153	-0.414315
54672	-9.123207	-3.192503	2.028110	0.026489	0.035858	0.063355	0.657361	0.137706	0.614263	-0.414240
54673	-9.140523	-3.185746	1.999713	0.015024	0.062228	0.071284	0.657266	0.137743	0.614410	-0.414160
54674	-9.132012	-3.142760	2.016042	0.059274	0.072115	0.052721	0.657197	0.137638	0.614576	-0.414058
54675	-9.172932	-3.085780	2.085939	0.156516	0.073472	0.086099	0.657181	0.137356	0.614773	-0.413885
54676	-9.165671	-3.137071	2.139918	0.161062	0.002674	0.107194	0.657217	0.136955	0.614942	-0.413709
54677	-9.139043	-3.072886	2.118053	0.193815	0.050522	0.057002	0.657283	0.136434	0.615091	-0.413555
54678	-9.083681	-3.110385	2.076460	0.137413	0.039913	0.009683	0.657371	0.135873	0.615207	-0.413427
54679	-9.085290	-3.099350	2.064704	0.141369	0.060489	0.005043	0.657427	0.135432	0.615271	-0.413387
