// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-9.411433	0.673330	2.642667	-0.131897	-0.090376	-0.015414	0.147806	0.605401	0.074492	-0.778520
54637	-9.421779	0.709380	2.642249	-0.115729	-0.120221	-0.003163	0.147793	0.605332	0.074295	-0.778595
54638	-9.435856	0.860300	2.658557	-0.078495	-0.262429	0.024405	0.147864	0.605239	0.074136	-0.778669
54639	-9.462083	0.868743	2.607751	-0.021078	-0.248154	0.037392	0.148159	0.605102	0.074131	-0.778720
54640	-9.498759	0.790170	2.609832	-0.037566	-0.165086	0.068272	0.148609	0.604976	0.074229	-0.778723
54641	-9.494005	0.697477	2.653310	-0.106092	-0.086361	0.068808	0.149091	0.604826	0.074340	-0.778737
54642	-9.513968	0.645461	2.673096	-0.134703	-0.035566	0.089749	0.149446	0.604724	0.074333	-0.778749
54643	-9.492649	0.708020	2.691127	-0.134767	-0.098454	0.078015	0.149770	0.604608	0.074310	-0.778779
54644	-9.459232	0.723887	2.634216	-0.083271	-0.097101	0.032302	0.150139	0.604502	0.074323	-0.778789
54645	-9.503368	0.709889	2.597184	-0.042841	-0.062391	0.064437	0.150590	0.604419	0.074415	-0.778757
54646	-9.383077	0.586689	2.584267	-0.096668	0.043647	-0.063147	0.151000	0.604346	0.074590	-0.778718
54647	-9.416407	0.543443	2.561024	-0.081478	0.097233	-0.039929	0.151171	0.604332	0.074727	-0.778682
54648	-9.532805	0.712468	2.618063	-0.053749	-0.062231	0.098391	0.151240	0.604322	0.074757	-0.778674
54649	-9.571559	0.790356	2.709415	-0.104821	-0.156555	0.164529	0.151251	0.604371	0.074708	-0.778638
54650	-9.548524	0.719211	2.647776	-0.078279	-0.073563	0.121634	0.151291	0.604481	0.074628	-0.778552
54651	-9.553919	0.815738	2.658499	-0.058243	-0.165392	0.136166	0.151408	0.604522	0.074565	-0.778504
54652	-9.466806	0.819579	2.705254	-0.121146	-0.192852	0.064491	0.151734	0.604555	0.074602	-0.778411
54653	-9.421736	0.674480	2.637893	-0.117258	-0.039588	-0.006200	0.152179	0.604537	0.074748	-0.778325
54654	-9.398420	0.604502	2.577251	-0.090725	0.043412	-0.049090	0.152447	0.604585	0.074805	-0.778229
54655	-9.438826	0.645035	2.571700	-0.066277	0.015120	-0.008784	0.152547	0.604695	0.074667	-0.778137
54656	-9.479926	0.687726	2.598764	-0.070938	-0.025025	0.040732	0.152595	0.604762	0.074593	-0.778083
