// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-9.177022	-0.999513	3.769010	-0.004722	-0.206501	0.156241	-0.788234	-0.124405	-0.544955	0.257362
54637	-9.160700	-1.083207	3.710386	-0.086802	-0.242595	0.126746	-0.788316	-0.123618	-0.545000	0.257393
54638	-9.170441	-1.149998	3.690432	-0.138360	-0.271944	0.134455	-0.788428	-0.122805	-0.544912	0.257626
54639	-9.080627	-1.071613	3.641462	-0.108871	-0.191187	0.026925	-0.788473	-0.122168	-0.544761	0.258110
54640	-9.075393	-0.961457	3.654596	-0.034479	-0.091443	0.017555	-0.788397	-0.121640	-0.544697	0.258726
54641	-9.097284	-0.934424	3.658582	-0.017533	-0.049810	0.036990	-0.788279	-0.121056	-0.544715	0.259320
54642	-9.127204	-0.902926	3.690046	0.022252	-0.014891	0.073507	-0.788213	-0.120393	-0.544706	0.259848
54643	-9.091412	-0.878516	3.649396	0.017764	0.031727	0.023079	-0.788219	-0.119547	-0.544694	0.260247
54644	-9.064904	-0.948205	3.608499	-0.040473	0.003507	-0.010077	-0.788229	-0.118652	-0.544690	0.260634
54645	-9.084277	-0.999294	3.612948	-0.064833	-0.018568	0.014393	-0.788189	-0.117952	-0.544648	0.261159
54646	-9.105927	-0.910701	3.622031	-0.010902	0.072811	0.029109	-0.788080	-0.117484	-0.544572	0.261857
54647	-9.179861	-0.748488	3.650084	0.082993	0.229622	0.091533	-0.788031	-0.117105	-0.544421	0.262486
54648	-9.083670	-0.759114	3.589131	0.055380	0.235979	-0.019200	-0.788086	-0.116538	-0.544284	0.262858
