// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43E23
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-0.045613	0.080321	9.792831	-0.016086	-0.013790	-0.019444	0.999953	-0.000726	-0.000672	0.009648
54637	-0.048354	0.099906	9.785250	-0.018961	0.005780	-0.026828	0.999953	-0.000739	-0.000658	0.009634
54638	-0.017658	0.096523	9.768115	0.011812	0.003326	-0.044087	0.999953	-0.000743	-0.000664	0.009641
54639	-0.063620	0.110499	9.757390	-0.034440	0.016445	-0.054538	0.999953	-0.000732	-0.000658	0.009623
54640	-0.029620	0.086893	9.800612	0.000170	-0.007105	-0.011648	0.999953	-0.000723	-0.000661	0.009629
54641	-0.042198	0.078087	9.780334	-0.012409	-0.016007	-0.031972	0.999953	-0.000726	-0.000669	0.009614
54642	-0.017717	0.114639	9.780674	0.011208	0.021045	-0.031355	0.999953	-0.000729	-0.000677	0.009598
54643	-0.038628	0.093784	9.760280	-0.009429	-0.000107	-0.051885	0.999953	-0.000717	-0.000676	0.009598
54644	-0.035309	0.091484	9.780431	-0.006025	-0.002679	-0.031766	0.999954	-0.000713	-0.000680	0.009590
54645	-0.044216	0.115206	9.785310	-0.015379	0.020931	-0.026634	0.999953	-0.000729	-0.000676	0.009600
54646	-0.053084	0.103478	9.785189	-0.023991	0.009054	-0.026841	0.999954	-0.000715	-0.000677	0.009577
54647	-0.028479	0.104605	9.780531	0.000375	0.010644	-0.031562	0.999954	-0.000723	-0.000698	0.009590
54648	-0.033507	0.089916	9.800572	-0.004303	-0.004170	-0.011647	0.999954	-0.000732	-0.000674	0.009589
54649	-0.050341	0.083828	9.760130	-0.020812	-0.010142	-0.052095	0.999954	-0.000727	-0.000665	0.009580
54650	-0.040760	0.077174	9.767823	-0.010949	-0.016756	-0.044495	0.999954	-0.000725	-0.000661	0.009577
54651	-0.052224	0.102397	9.805315	-0.022786	0.007959	-0.006729	0.999954	-0.000734	-0.000666	0.009571
54652	-0.023295	0.082797	9.775629	0.006417	-0.010731	-0.036688	0.999954	-0.000732	-0.000662	0.009568
54653	-0.036073	0.109419	9.760336	-0.006910	0.015795	-0.051687	0.999954	-0.000736	-0.000663	0.009558
54654	-0.040956	0.095024	9.780376	-0.011549	0.000970	-0.031771	0.999954	-0.000717	-0.000674	0.009584
54655	-0.058066	0.106847	9.785124	-0.028941	0.012323	-0.026858	0.999954	-0.000726	-0.000671	0.009584
54656	-0.025379	0.084528	9.775609	0.004206	-0.009313	-0.036685	0.999954	-0.000712	-0.000666	0.009578
54657	-0.042650	0.096349	9.780356	-0.013187	0.002036	-0.031773	0.999954	-0.000718	-0.000663	0.009591
54658	-0.026691	0.120851	9.780579	0.002366	0.026863	-0.031363	0.999954	-0.000715	-0.000659	0.009589
54659	-0.047583	0.099943	9.760179	-0.018214	0.005673	-0.051899	0.999953	-0.000709	-0.000666	0.009599
54660	-0.044258	0.097576	9.780336	-0.014824	0.003100	-0.031776	0.999953	-0.000707	-0.000663	0.009596
54661	-0.034591	0.090874	9.788039	-0.004967	-0.003482	-0.024167	0.999953	-0.000709	-0.000663	0.009598
54662	-0.028835	0.087082	9.775577	0.000951	-0.007152	-0.036682	0.999953	-0.000697	-0.000650	0.009597
54663	-0.046183	0.098837	9.780315	-0.016441	0.004187	-0.031779	0.999953	-0.000706	-0.000647	0.009597
54664	-0.025651	0.102586	9.755517	0.003957	0.008711	-0.056602	0.999953	-0.000711	-0.000646	0.009610
54665	-0.047266	0.099534	9.780302	-0.017550	0.004881	-0.031781	0.999953	-0.000693	-0.000651	0.009619
54666	-0.041393	0.095771	9.767842	-0.011645	0.001206	-0.044295	0.999953	-0.000696	-0.000645	0.009626
54667	-0.038194	0.093246	9.788003	-0.008252	-0.001372	-0.024169	0.999953	-0.000701	-0.000643	0.009639
54668	-0.028584	0.121975	9.800679	0.000824	0.027500	-0.011246	0.999953	-0.000704	-0.000648	0.009647
