// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-9.606834	1.050096	-1.683845	0.051194	-0.094747	-0.003626	-0.278805	-0.719222	-0.260897	0.580448
64469	-9.596749	1.040064	-1.660832	0.031452	-0.098710	-0.018457	-0.279015	-0.719080	-0.260823	0.580557
64470	-9.582921	0.941281	-1.642915	-0.045370	-0.035269	-0.044666	-0.279059	-0.719024	-0.260597	0.580706
64471	-9.567690	0.931877	-1.744606	0.023284	0.047749	-0.042840	-0.279111	-0.718948	-0.260361	0.580882
64472	-9.590632	0.929929	-1.686608	-0.020831	0.011776	-0.030609	-0.279052	-0.718915	-0.260058	0.581086
64473	-9.577793	0.934937	-1.677322	-0.019958	0.006298	-0.044311	-0.279012	-0.718902	-0.259738	0.581264
64474	-9.569245	0.984173	-1.603173	-0.034803	-0.076564	-0.060655	-0.278928	-0.718906	-0.259427	0.581439
64475	-9.588202	0.983130	-1.593039	-0.045868	-0.080620	-0.043894	-0.278979	-0.718903	-0.259251	0.581497
64476	-9.565760	0.960292	-1.631967	-0.030686	-0.033160	-0.061421	-0.278969	-0.718930	-0.259031	0.581566
64477	-9.597727	0.986372	-1.642747	-0.012177	-0.043853	-0.025664	-0.278973	-0.718976	-0.258871	0.581579
64478	-9.569614	0.934368	-1.682351	-0.015802	0.024221	-0.051539	-0.279001	-0.718980	-0.258737	0.581620
64479	-9.628101	0.895490	-1.677170	-0.057846	0.047376	0.001055	-0.278902	-0.719050	-0.258477	0.581697
64480	-9.602173	1.007727	-1.673399	0.020914	-0.032120	-0.013910	-0.278887	-0.719101	-0.258216	0.581756
64481	-9.597191	0.921974	-1.756047	0.019653	0.090220	-0.013132	-0.278951	-0.719100	-0.258011	0.581818
64482	-9.569349	0.946240	-1.677214	-0.013674	0.023140	-0.051533	-0.278920	-0.719131	-0.257660	0.581950
64483	-9.626469	1.043704	-1.659674	0.029756	-0.057519	0.011189	-0.279031	-0.719115	-0.257445	0.582011
64484	-9.606473	0.932357	-1.688815	-0.023172	0.048399	-0.014584	-0.279193	-0.719061	-0.257253	0.582086
64485	-9.609336	0.980960	-1.699213	0.016795	0.025937	-0.005139	-0.279215	-0.719069	-0.256865	0.582236
64486	-9.586356	1.019977	-1.651761	0.014785	-0.028548	-0.031795	-0.279312	-0.719035	-0.256570	0.582363
64487	-9.605351	1.021076	-1.640068	0.003713	-0.032480	-0.015028	-0.279356	-0.719031	-0.256174	0.582521
64488	-9.603196	1.085986	-1.630788	0.042339	-0.079575	-0.012071	-0.279511	-0.718964	-0.255921	0.582640
64489	-9.616378	0.983902	-1.623667	-0.035036	-0.005590	-0.010758	-0.279670	-0.718895	-0.255672	0.582758
64490	-9.611087	0.989418	-1.632919	-0.023207	0.002980	-0.013819	-0.279738	-0.718848	-0.255339	0.582929
64491	-9.596120	1.071486	-1.585412	0.003044	-0.082701	-0.027991	-0.279754	-0.718847	-0.254958	0.583090
64492	-9.585170	1.077829	-1.608747	0.025945	-0.065059	-0.034121	-0.279843	-0.718818	-0.254644	0.583220
64493	-9.588091	1.066820	-1.591653	0.005735	-0.063845	-0.035222	-0.280005	-0.718759	-0.254471	0.583290
64494	-9.591029	1.055428	-1.574712	-0.014222	-0.062670	-0.036320	-0.280098	-0.718710	-0.254241	0.583407
64495	-9.577826	1.061762	-1.565966	-0.013293	-0.068111	-0.050028	-0.280296	-0.718630	-0.254148	0.583449
64496	-9.601903	1.016396	-1.560697	-0.053148	-0.035864	-0.032029	-0.280497	-0.718573	-0.254075	0.583456
64497	-9.606784	1.033726	-1.591570	-0.021270	-0.023630	-0.020294	-0.280629	-0.718551	-0.253983	0.583460
64498	-9.603655	1.082148	-1.617489	0.029899	-0.037317	-0.013952	-0.280747	-0.718535	-0.253872	0.583470
64499	-9.571827	1.106469	-1.585547	0.029706	-0.072406	-0.047853	-0.280902	-0.718486	-0.253790	0.583492
64500	-9.587883	1.091796	-1.575890	0.009134	-0.066166	-0.035240	-0.281133	-0.718422	-0.253852	0.583433
64501	-9.627299	0.998217	-1.628968	-0.026349	0.039587	0.002230	-0.281405	-0.718343	-0.253886	0.583384
64502	-9.615476	0.974206	-1.719268	0.021703	0.123970	0.002937	-0.281629	-0.718286	-0.253805	0.583381
64503	-9.621999	1.096927	-1.600037	0.020808	-0.042686	0.002810	-0.281737	-0.718243	-0.253587	0.583476
64504	-9.597963	1.150059	-1.598868	0.061578	-0.075588	-0.015218	-0.282057	-0.718084	-0.253580	0.583521
64505	-9.705190	1.178653	-1.618522	0.076881	-0.079921	0.096260	-0.282162	-0.717904	-0.253291	0.583817
64506	-9.504598	1.115617	-1.483266	-0.016905	-0.111455	-0.129231	-0.282857	-0.717358	-0.253436	0.584089
64507	-9.558797	0.960119	-1.584953	-0.057587	0.078084	-0.076410	-0.283172	-0.717106	-0.253475	0.584229
64508	-9.575529	1.078796	-1.515206	-0.025754	-0.051563	-0.058351	-0.283305	-0.717015	-0.253430	0.584295
64509	-9.597068	1.136318	-1.486154	-0.009881	-0.111326	-0.035618	-0.283405	-0.716964	-0.253441	0.584304
64510	-9.558969	1.070226	-1.586023	0.021395	0.007970	-0.064138	-0.283559	-0.716935	-0.253547	0.584220
64511	-9.609156	1.032778	-1.641786	0.023462	0.072101	-0.010023	-0.283512	-0.717024	-0.253463	0.584169
64512	-9.614589	1.107551	-1.545616	0.005083	-0.049284	-0.012001	-0.283326	-0.717151	-0.253253	0.584195
64513	-9.582092	1.114168	-1.549760	0.017541	-0.050996	-0.042493	-0.283255	-0.717219	-0.253215	0.584163
64514	-9.622192	1.092732	-1.521785	-0.025483	-0.057367	-0.010008	-0.283280	-0.717245	-0.253274	0.584093
64515	-9.634598	1.135465	-1.588425	0.047705	-0.042810	0.017559	-0.283227	-0.717266	-0.253257	0.584100
64516	-9.584808	1.085873	-1.492091	-0.043757	-0.071883	-0.052210	-0.283393	-0.717151	-0.253353	0.584119
64517	-9.584497	1.057126	-1.555932	-0.018261	-0.005318	-0.045361	-0.283453	-0.717125	-0.253348	0.584124
64518	-9.586999	1.117040	-1.536881	0.009143	-0.061307	-0.039434	-0.283412	-0.717152	-0.253318	0.584123
64519	-9.613726	1.083280	-1.534896	-0.021055	-0.039384	-0.017222	-0.283495	-0.717142	-0.253372	0.584072
64520	-9.591836	1.103175	-1.557139	0.011545	-0.037516	-0.032940	-0.283517	-0.717162	-0.253399	0.584025
64521	-9.623779	1.053875	-1.574344	-0.017282	0.008663	-0.004224	-0.283650	-0.717135	-0.253516	0.583943
64522	-9.636876	1.142454	-1.541614	0.017774	-0.077026	0.013039	-0.283853	-0.717056	-0.253641	0.583888
64523	-9.598961	1.017168	-1.691212	0.044110	0.120968	-0.013794	-0.284249	-0.716820	-0.253892	0.583875
64524	-9.654724	1.143409	-1.413620	-0.070259	-0.159348	0.010198	-0.284505	-0.716567	-0.253826	0.584090
64525	-9.523689	1.065822	-1.534897	-0.011424	-0.009086	-0.107415	-0.285016	-0.716318	-0.254119	0.584019
64526	-9.620497	1.065792	-1.491523	-0.059113	-0.038902	-0.019348	-0.285262	-0.716176	-0.254248	0.584017
64527	-9.647875	1.197277	-1.360836	-0.062268	-0.219775	0.001316	-0.285881	-0.715798	-0.254524	0.584057
64528	-9.562070	1.038210	-1.648012	0.047486	0.104056	-0.054925	-0.286604	-0.715365	-0.255129	0.583970
64529	-9.611877	1.045194	-1.487069	-0.065332	-0.010137	-0.030682	-0.287000	-0.715056	-0.255332	0.584064
64530	-9.572069	1.188388	-1.405965	-0.011355	-0.161726	-0.066549	-0.287570	-0.714728	-0.255624	0.584058
64531	-9.585500	1.116247	-1.569979	0.051941	0.010317	-0.035682	-0.288483	-0.714271	-0.256413	0.583821
64532	-9.610107	1.010897	-1.617372	0.007230	0.121254	-0.015891	-0.288954	-0.714073	-0.256819	0.583652
64533	-9.607168	1.116502	-1.512285	0.007986	-0.026006	-0.023381	-0.289170	-0.714036	-0.256977	0.583521
64534	-9.598524	1.090825	-1.560864	0.022807	0.026425	-0.027155	-0.289247	-0.714116	-0.257069	0.583344
64535	-9.581331	1.096013	-1.605924	0.056738	0.052844	-0.036384	-0.289187	-0.714306	-0.257090	0.583131
64536	-9.615261	1.017246	-1.648141	0.019799	0.134204	-0.005241	-0.288976	-0.714561	-0.256918	0.583000
64537	-9.619507	1.002731	-1.673017	0.021576	0.158492	0.001271	-0.288452	-0.714946	-0.256409	0.583011
64538	-9.613053	1.136974	-1.554879	0.030211	-0.023669	-0.008623	-0.287718	-0.715425	-0.255678	0.583108
64539	-9.590517	1.230427	-1.496570	0.055117	-0.133784	-0.029500	-0.287288	-0.715728	-0.255242	0.583138
64540	-9.614183	1.123272	-1.550945	0.010435	-0.022748	-0.009675	-0.287057	-0.715943	-0.255046	0.583074
64541	-9.611526	1.108831	-1.476110	-0.053801	-0.067423	-0.025839	-0.286678	-0.716187	-0.254706	0.583109
64542	-9.607883	1.109955	-1.525904	-0.020083	-0.035739	-0.021358	-0.286356	-0.716405	-0.254423	0.583124
