// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF4
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	8.950451	-0.346564	4.811180	0.151524	-0.049677	0.353566	-0.603935	-0.356799	0.375191	-0.605961
64469	8.945172	-0.343282	4.845129	0.143942	-0.079776	0.364844	-0.603959	-0.356620	0.375318	-0.605965
64470	8.934571	-0.356158	4.839999	0.153165	-0.079487	0.353394	-0.603962	-0.356445	0.375456	-0.605979
64471	8.937451	-0.351905	4.858851	0.144807	-0.094679	0.364757	-0.603929	-0.356319	0.375605	-0.605993
64472	8.947708	-0.395205	4.828068	0.184836	-0.063993	0.360299	-0.603858	-0.356260	0.375758	-0.606003
64473	8.945197	-0.406337	4.807977	0.193495	-0.049152	0.348929	-0.603826	-0.356220	0.375907	-0.605967
64474	8.974087	-0.357609	4.790314	0.142036	-0.022310	0.365159	-0.603758	-0.356216	0.376097	-0.605918
64475	8.998552	-0.382548	4.782195	0.164234	-0.006890	0.383520	-0.603686	-0.356230	0.376270	-0.605875
64476	9.018935	-0.354169	4.774560	0.133956	0.006202	0.397360	-0.603618	-0.356284	0.376413	-0.605822
64477	9.039118	-0.373496	4.731150	0.152803	0.050787	0.395300	-0.603570	-0.356355	0.376514	-0.605765
64478	9.027049	-0.342332	4.740576	0.121496	0.034613	0.388386	-0.603541	-0.356404	0.376568	-0.605732
64479	9.014921	-0.355847	4.781853	0.135005	-0.009013	0.397270	-0.603534	-0.356456	0.376584	-0.605698
64480	8.988819	-0.325294	4.817462	0.105084	-0.054378	0.390186	-0.603490	-0.356557	0.376631	-0.605653
64481	8.955325	-0.301841	4.730955	0.084404	0.003539	0.319625	-0.603428	-0.356716	0.376673	-0.605595
64482	8.965054	-0.312144	4.731657	0.096083	0.003578	0.328761	-0.603325	-0.356929	0.376713	-0.605548
