// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-9.349925	-2.668489	2.280919	0.307165	0.011423	0.169787	0.585843	0.253027	0.571557	-0.515837
64469	-9.340529	-2.515155	2.368665	0.433728	-0.042682	0.136781	0.586110	0.255403	0.570710	-0.515301
64470	-9.316378	-2.622605	2.331544	0.281726	-0.076882	0.138374	0.586573	0.257094	0.570243	-0.514448
64471	-9.298791	-2.680721	2.331964	0.197266	-0.123556	0.139075	0.587171	0.258245	0.570052	-0.513401
64472	-9.313711	-2.735069	2.342251	0.130136	-0.164581	0.170691	0.587889	0.259080	0.569872	-0.512358
64473	-9.291629	-2.783164	2.285436	0.037439	-0.151203	0.151211	0.588625	0.259691	0.569695	-0.511399
64474	-9.232819	-2.856903	2.168252	-0.106205	-0.101222	0.091181	0.589336	0.260136	0.569560	-0.510504
64475	-9.174254	-2.873398	2.210999	-0.132211	-0.171948	0.049604	0.589948	0.260640	0.569320	-0.509806
64476	-9.152522	-2.860175	2.273461	-0.115508	-0.237254	0.038618	0.590485	0.261043	0.569136	-0.509184
64477	-9.160738	-2.873999	2.317411	-0.123637	-0.284605	0.059145	0.590941	0.261447	0.568878	-0.508735
64478	-9.142376	-2.768145	2.334093	-0.039003	-0.272543	0.016750	0.591375	0.261838	0.568558	-0.508388
64479	-9.101061	-2.780327	2.263932	-0.097990	-0.229260	-0.033999	0.591860	0.262014	0.568338	-0.507979
64480	-9.134573	-2.794209	2.247591	-0.122310	-0.210720	-0.002473	0.592371	0.262030	0.568170	-0.507563
64481	-9.189282	-2.837638	2.201150	-0.179961	-0.168071	0.050351	0.592965	0.261804	0.568107	-0.507055
64482	-9.204481	-2.872346	2.145691	-0.238121	-0.125136	0.061748	0.593562	0.261475	0.568055	-0.506585
64483	-9.180254	-2.789045	2.112511	-0.187018	-0.070842	0.009662	0.594163	0.261122	0.567903	-0.506232
64484	-9.178362	-2.827337	2.169224	-0.203684	-0.130000	0.030244	0.594734	0.260602	0.567840	-0.505901
64485	-9.217719	-2.880408	2.175106	-0.244809	-0.135283	0.082562	0.595248	0.259954	0.567811	-0.505662
64486	-9.147788	-2.893594	2.085337	-0.303954	-0.073783	0.000859	0.595676	0.259244	0.567817	-0.505516
64487	-9.175100	-2.858769	2.057074	-0.277366	-0.019632	0.011225	0.595989	0.258542	0.567847	-0.505473
64488	-9.218393	-2.885836	2.029838	-0.301261	0.016883	0.053214	0.596182	0.257834	0.567925	-0.505519
64489	-9.220639	-2.837534	2.073627	-0.233134	0.004907	0.052267	0.596303	0.257169	0.567986	-0.505647
64490	-9.248015	-2.847303	2.129978	-0.206972	-0.030826	0.093166	0.596352	0.256521	0.568068	-0.505825
64491	-9.196075	-2.765127	2.073310	-0.156007	0.041549	0.010054	0.596375	0.255736	0.568230	-0.506014
64492	-9.124935	-2.743895	2.026479	-0.156135	0.078536	-0.072593	0.596341	0.254836	0.568447	-0.506265
64493	-9.160774	-2.792727	2.004221	-0.188541	0.103190	-0.030572	0.596248	0.253770	0.568774	-0.506543
64494	-9.141679	-2.837168	1.984570	-0.221815	0.110206	-0.040433	0.596036	0.252717	0.569145	-0.506901
64495	-9.103958	-2.800320	1.998340	-0.171005	0.110542	-0.082543	0.595679	0.251896	0.569411	-0.507431
64496	-9.109709	-2.846249	2.054314	-0.170513	0.057176	-0.051757	0.595171	0.251355	0.569575	-0.508111
64497	-9.144466	-2.851911	2.040363	-0.160675	0.087441	-0.020636	0.594520	0.251165	0.569601	-0.508937
64498	-9.195911	-2.730993	2.062585	-0.023932	0.134349	-0.001534	0.593782	0.251427	0.569374	-0.509922
64499	-9.267104	-2.545992	2.170103	0.205608	0.132281	0.036722	0.593059	0.251796	0.569173	-0.510805
64500	-9.279596	-2.538220	2.173978	0.223380	0.138604	0.046853	0.592479	0.251976	0.569112	-0.511457
64501	-9.239172	-2.589592	2.098550	0.147741	0.176107	0.006648	0.591988	0.251967	0.569259	-0.511867
64502	-9.195082	-2.672822	2.088485	0.071590	0.141751	-0.013195	0.591549	0.251860	0.569559	-0.512092
64503	-9.146627	-2.711525	2.147730	0.062539	0.058811	-0.034214	0.591014	0.252002	0.569740	-0.512438
64504	-9.220245	-2.520986	2.344752	0.333683	-0.027683	0.023676	0.590470	0.252325	0.569700	-0.512951
64505	-9.245257	-2.592383	2.338391	0.275551	-0.038622	0.065870	0.589972	0.252678	0.569541	-0.513527
64506	-9.279463	-2.525241	2.236007	0.302816	0.087278	0.055731	0.589512	0.252972	0.569370	-0.514099
64507	-9.260277	-2.695719	2.155566	0.117607	0.095911	0.068763	0.589045	0.253232	0.569270	-0.514618
64508	-9.242062	-2.679836	2.203051	0.151392	0.054283	0.057713	0.588501	0.253669	0.569103	-0.515209
