// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-9.200208	-1.354515	3.757063	0.125562	0.032362	0.216120	-0.791354	-0.081292	-0.554506	0.244282
64469	-9.091664	-1.103158	3.860654	0.342229	0.125757	0.119423	-0.791144	-0.084407	-0.554312	0.244343
64470	-9.056128	-1.076669	3.932445	0.413972	0.061804	0.110086	-0.790931	-0.086654	-0.554588	0.243623
64471	-9.144258	-1.314401	3.903462	0.249488	-0.150737	0.212133	-0.790778	-0.088215	-0.555150	0.242274
64472	-9.260048	-1.501555	3.875890	0.106691	-0.307882	0.332233	-0.790708	-0.089343	-0.555656	0.240925
64473	-9.300124	-1.550216	3.891480	0.084867	-0.376758	0.379951	-0.790752	-0.090262	-0.555875	0.239933
64474	-9.262573	-1.425294	3.827672	0.094778	-0.275080	0.306261	-0.791062	-0.090893	-0.555706	0.239062
64475	-9.171260	-1.461639	3.702332	-0.017012	-0.294522	0.180740	-0.791610	-0.091203	-0.555245	0.238199
64476	-9.084515	-1.546490	3.589766	-0.145611	-0.354828	0.069586	-0.792198	-0.091386	-0.554699	0.237446
64477	-9.029623	-1.562897	3.551277	-0.187222	-0.375775	0.006275	-0.792692	-0.091695	-0.554181	0.236888
64478	-8.965694	-1.490410	3.568267	-0.134036	-0.345365	-0.055625	-0.792952	-0.092162	-0.553869	0.236563
64479	-8.953739	-1.394472	3.601136	-0.064995	-0.287741	-0.066142	-0.793068	-0.092531	-0.553797	0.236198
64480	-9.028297	-1.395573	3.612308	-0.079876	-0.282080	0.006711	-0.793195	-0.092722	-0.553813	0.235662
64481	-9.127430	-1.437302	3.673836	-0.078268	-0.324980	0.125177	-0.793417	-0.092676	-0.553806	0.234947
64482	-9.193115	-1.474838	3.665133	-0.126366	-0.341266	0.186777	-0.793800	-0.092442	-0.553595	0.234240
64483	-9.195975	-1.425409	3.604180	-0.163155	-0.271653	0.161651	-0.794301	-0.091939	-0.553208	0.233654
64484	-9.086834	-1.480971	3.483064	-0.269129	-0.292903	0.022826	-0.794747	-0.091107	-0.552903	0.233184
64485	-9.074869	-1.514208	3.422243	-0.337238	-0.291015	-0.006597	-0.795116	-0.090237	-0.552727	0.232680
64486	-9.099744	-1.519562	3.380843	-0.383349	-0.263607	0.001999	-0.795384	-0.089460	-0.552627	0.232304
64487	-9.169733	-1.537868	3.397057	-0.398181	-0.257850	0.074881	-0.795589	-0.088659	-0.552540	0.232115
64488	-9.156480	-1.431266	3.366729	-0.370184	-0.144537	0.039549	-0.795764	-0.087935	-0.552407	0.232107
64489	-9.147332	-1.394155	3.377990	-0.339953	-0.106765	0.031153	-0.795865	-0.087147	-0.552374	0.232135
64490	-9.119269	-1.462245	3.377120	-0.361218	-0.162012	0.013167	-0.795856	-0.086444	-0.552481	0.232175
64491	-9.116672	-1.406460	3.409134	-0.301399	-0.116593	0.016330	-0.795758	-0.085835	-0.552675	0.232276
64492	-9.104803	-1.401221	3.418421	-0.278564	-0.107254	0.008582	-0.795586	-0.084913	-0.553008	0.232412
64493	-9.120982	-1.400314	3.378921	-0.302419	-0.070583	0.009421	-0.795362	-0.083715	-0.553448	0.232565
64494	-9.140285	-1.386046	3.351297	-0.309714	-0.022717	0.015875	-0.795166	-0.082438	-0.553816	0.232816
64495	-9.106658	-1.409831	3.320989	-0.323950	-0.019738	-0.022772	-0.794979	-0.081219	-0.554076	0.233264
64496	-9.041680	-1.432506	3.264270	-0.352226	-0.013848	-0.100056	-0.794680	-0.080324	-0.554304	0.234049
64497	-9.026911	-1.368598	3.294493	-0.282958	0.043948	-0.110634	-0.794321	-0.080047	-0.554416	0.235094
64498	-9.074970	-1.217115	3.335918	-0.183164	0.185817	-0.071193	-0.793907	-0.080287	-0.554455	0.236316
64499	-9.063313	-1.159318	3.440617	-0.056442	0.199275	-0.051407	-0.793328	-0.080688	-0.554674	0.237607
64500	-9.081710	-1.041694	3.557587	0.105506	0.265115	-0.007710	-0.792653	-0.081015	-0.555156	0.238621
64501	-9.135725	-1.034763	3.598763	0.144762	0.272101	0.055863	-0.792094	-0.081069	-0.555710	0.239168
64502	-9.147489	-1.156478	3.637745	0.131319	0.155505	0.097194	-0.791731	-0.080889	-0.556165	0.239374
64503	-9.060912	-1.339825	3.491396	-0.047154	0.032552	-0.010554	-0.791538	-0.080790	-0.556333	0.239652
64504	-9.011756	-1.309470	3.545065	0.032128	0.026967	-0.040677	-0.791142	-0.080981	-0.556548	0.240397
64505	-8.989153	-1.245033	3.645491	0.164977	0.038435	-0.034350	-0.790440	-0.081316	-0.557086	0.241344
64506	-9.164959	-1.167362	3.706703	0.225720	0.133280	0.138700	-0.789691	-0.081575	-0.557719	0.242245
64507	-9.246557	-1.169849	3.732156	0.240729	0.146989	0.223088	-0.789187	-0.081669	-0.558092	0.242996
64508	-9.179287	-1.268223	3.661275	0.158302	0.076044	0.149330	-0.788987	-0.081775	-0.558037	0.243734
64509	-9.030566	-1.248676	3.628760	0.176200	0.067634	-0.002356	-0.788903	-0.082251	-0.557695	0.244627
64510	-8.914543	-1.149393	3.625643	0.246092	0.122558	-0.124556	-0.788696	-0.083080	-0.557397	0.245693
64511	-8.879209	-1.054873	3.732868	0.387741	0.146785	-0.132010	-0.788364	-0.084099	-0.557271	0.246694
64512	-8.930156	-0.969849	3.787304	0.460134	0.204868	-0.077275	-0.788129	-0.085095	-0.557161	0.247353
64513	-8.932361	-1.022870	3.784470	0.427176	0.153531	-0.068484	-0.788122	-0.085760	-0.556946	0.247629
64514	-8.963580	-1.135815	3.748953	0.327642	0.074325	-0.036307	-0.788298	-0.086140	-0.556655	0.247593
64515	-8.989905	-1.193327	3.690346	0.235143	0.052726	-0.024786	-0.788560	-0.086344	-0.556332	0.247412
64516	-9.040805	-1.078923	3.686373	0.266191	0.166669	0.005201	-0.788876	-0.086234	-0.556038	0.247103
64517	-9.049083	-1.138801	3.553574	0.118347	0.173966	-0.026657	-0.789160	-0.085803	-0.555939	0.246571
64518	-9.105897	-1.271591	3.488315	-0.018489	0.104467	0.020491	-0.789434	-0.085330	-0.555900	0.245944
64519	-9.144886	-1.344159	3.397357	-0.142369	0.090850	0.033592	-0.789626	-0.085110	-0.555834	0.245552
64520	-9.128211	-1.276737	3.404189	-0.102842	0.140707	0.011386	-0.789739	-0.085152	-0.555728	0.245413
64521	-9.101664	-1.186976	3.422857	-0.041286	0.199592	-0.018628	-0.789847	-0.085449	-0.555575	0.245308
64522	-9.019110	-1.211371	3.408879	-0.048867	0.155023	-0.096423	-0.789966	-0.085850	-0.555408	0.245165
64523	-8.942761	-1.206173	3.388347	-0.049974	0.138521	-0.174896	-0.790058	-0.086303	-0.555277	0.245004
64524	-8.910985	-1.216504	3.409504	-0.032596	0.103734	-0.195077	-0.790051	-0.086701	-0.555309	0.244814
64525	-8.909042	-1.234501	3.425852	-0.026576	0.072038	-0.188469	-0.789971	-0.086933	-0.555557	0.244428
64526	-9.000303	-1.249414	3.476013	-0.011267	0.055342	-0.084072	-0.789900	-0.087006	-0.555903	0.243846
64527	-9.124208	-1.295268	3.411222	-0.117408	0.069923	0.013128	-0.790035	-0.086910	-0.556043	0.243120
64528	-9.163818	-1.373237	3.335092	-0.231528	0.039136	0.032567	-0.790342	-0.086759	-0.555936	0.242419
64529	-9.111842	-1.376312	3.241167	-0.304920	0.055875	-0.049032	-0.790646	-0.086757	-0.555731	0.241898
64530	-9.054416	-1.284544	3.231210	-0.258270	0.117861	-0.117708	-0.790671	-0.086913	-0.555822	0.241553
64531	-9.093292	-1.187321	3.263165	-0.189842	0.192103	-0.082683	-0.790410	-0.086995	-0.556378	0.241095
64532	-9.124777	-1.272085	3.217419	-0.263476	0.135642	-0.058525	-0.790035	-0.086871	-0.557250	0.240357
64533	-9.114671	-1.430774	3.215988	-0.321823	-0.015513	-0.047285	-0.789661	-0.086805	-0.558089	0.239659
64534	-9.113889	-1.542586	3.221659	-0.356174	-0.127154	-0.031145	-0.789286	-0.087107	-0.558736	0.239276
64535	-9.132895	-1.490555	3.288870	-0.270716	-0.117698	0.003678	-0.788922	-0.087909	-0.559125	0.239277
64536	-9.098507	-1.330443	3.373819	-0.109004	-0.039126	-0.018703	-0.788554	-0.088981	-0.559415	0.239417
64537	-9.105684	-1.248339	3.409715	-0.035858	0.003423	-0.009796	-0.788154	-0.089868	-0.559815	0.239465
64538	-9.142969	-1.246146	3.456705	0.002008	-0.020388	0.040998	-0.787843	-0.090516	-0.560287	0.239143
64539	-9.195612	-1.311701	3.485832	-0.012349	-0.090665	0.108123	-0.787664	-0.090977	-0.560684	0.238625
64540	-9.260158	-1.366298	3.438978	-0.090571	-0.114794	0.158395	-0.787603	-0.091279	-0.560950	0.238085
64541	-9.279303	-1.425450	3.414316	-0.141286	-0.162016	0.174740	-0.787536	-0.091510	-0.561193	0.237645
64542	-9.220828	-1.424514	3.401217	-0.134382	-0.180268	0.115587	-0.787410	-0.091794	-0.561410	0.237440
64543	-9.171721	-1.388585	3.424395	-0.081470	-0.179437	0.073478	-0.787179	-0.092156	-0.561683	0.237419
64544	-9.163690	-1.308860	3.478158	0.010137	-0.142140	0.074860	-0.786874	-0.092510	-0.562036	0.237459
64545	-9.136587	-1.331335	3.537796	0.063360	-0.200906	0.072720	-0.786577	-0.092856	-0.562374	0.237508
64546	-9.153611	-1.282676	3.610369	0.149300	-0.191944	0.107468	-0.786314	-0.093304	-0.562625	0.237608
64547	-9.200963	-1.224901	3.680817	0.227043	-0.164729	0.168686	-0.786203	-0.093647	-0.562682	0.237705
64548	-9.209174	-1.178185	3.671759	0.238491	-0.122023	0.167646	-0.786286	-0.093832	-0.562552	0.237667
64549	-9.134898	-1.229864	3.634222	0.194690	-0.172602	0.091796	-0.786489	-0.093965	-0.562280	0.237588
64550	-9.108765	-1.271555	3.620078	0.164457	-0.210987	0.067589	-0.786531	-0.094106	-0.562147	0.237707
64551	-9.159428	-1.227717	3.593407	0.150078	-0.145618	0.100498	-0.786404	-0.094086	-0.562136	0.238158
64552	-9.127875	-1.086537	3.614121	0.244539	-0.034149	0.061499	-0.786346	-0.093951	-0.562066	0.238569
64553	-9.099561	-1.063971	3.584291	0.237731	-0.003389	0.022182	-0.786399	-0.093712	-0.561946	0.238770
64554	-9.074724	-1.099838	3.567577	0.210664	-0.026779	-0.002347	-0.786518	-0.093440	-0.561752	0.238943
64555	-9.111048	-1.052804	3.559428	0.214474	0.033731	0.023063	-0.786633	-0.093258	-0.561541	0.239129
64556	-9.113833	-1.020042	3.526147	0.200335	0.082992	0.010200	-0.786673	-0.092975	-0.561480	0.239251
64557	-9.177841	-1.001363	3.547731	0.211654	0.112183	0.074906	-0.786764	-0.092615	-0.561492	0.239063
64558	-9.213940	-1.098896	3.491066	0.106121	0.064458	0.100757	-0.787024	-0.092228	-0.561354	0.238681
64559	-9.225431	-1.228426	3.401520	-0.040008	-0.003985	0.096214	-0.787362	-0.091897	-0.561055	0.238397
64560	-9.184086	-1.316907	3.311952	-0.156585	-0.050900	0.037368	-0.787693	-0.091865	-0.560600	0.238386
64561	-9.136719	-1.240448	3.341349	-0.092856	-0.007785	-0.005840	-0.787873	-0.092147	-0.560192	0.238640
64562	-9.069354	-1.117204	3.360010	-0.006736	0.074373	-0.076908	-0.787879	-0.092324	-0.560021	0.238957
64563	-9.055328	-1.111251	3.377923	0.012740	0.069400	-0.084418	-0.787900	-0.092341	-0.559964	0.239012
64564	-9.144408	-1.178252	3.355669	-0.063288	0.046364	-0.001325	-0.788012	-0.092300	-0.559795	0.239056
64565	-9.137285	-1.205262	3.367379	-0.070669	0.018178	-0.000627	-0.788223	-0.092355	-0.559438	0.239174
64566	-9.090258	-1.188865	3.331654	-0.089775	0.036905	-0.058884	-0.788441	-0.092556	-0.558998	0.239408
64567	-9.088202	-1.117203	3.370023	-0.030344	0.082538	-0.056004	-0.788575	-0.092840	-0.558718	0.239508
64568	-9.203472	-1.064221	3.413655	-0.002968	0.138850	0.060013	-0.788671	-0.093017	-0.558594	0.239414
64569	-9.220195	-1.126659	3.411693	-0.041106	0.088806	0.082334	-0.788770	-0.092812	-0.558599	0.239155
64570	-9.273172	-1.290480	3.336678	-0.198254	-0.006056	0.124673	-0.788980	-0.092432	-0.558516	0.238805
64571	-9.233250	-1.314741	3.275167	-0.255432	-0.007625	0.068752	-0.789216	-0.092134	-0.558237	0.238790
64572	-9.110583	-1.289105	3.167443	-0.306907	0.032395	-0.086333	-0.789314	-0.092101	-0.557953	0.239142
64573	-8.978232	-1.199327	3.195714	-0.209118	0.064964	-0.209997	-0.789225	-0.092532	-0.557810	0.239602
64574	-8.988663	-1.104400	3.341831	-0.045150	0.084326	-0.159997	-0.789009	-0.093321	-0.557813	0.240003
64575	-9.024426	-1.107708	3.457826	0.041456	0.033908	-0.085357	-0.788764	-0.094105	-0.557891	0.240319
64576	-9.077200	-1.099394	3.570167	0.125643	-0.000821	0.002328	-0.788670	-0.094613	-0.557926	0.240346
64577	-9.143561	-1.139134	3.557594	0.076887	-0.016838	0.064185	-0.788737	-0.094702	-0.557870	0.240223
64578	-9.086382	-1.263639	3.498343	-0.019084	-0.114377	0.004852	-0.788805	-0.094372	-0.557892	0.240079
64579	-9.102870	-1.307077	3.400553	-0.124693	-0.102414	-0.009198	-0.788880	-0.093956	-0.557933	0.239899
64580	-9.149006	-1.361048	3.348301	-0.206124	-0.110806	0.021595	-0.788957	-0.093750	-0.557861	0.239894
64581	-9.163066	-1.286559	3.364738	-0.160946	-0.046288	0.031622	-0.788988	-0.093738	-0.557745	0.240066
64582	-9.159413	-1.225651	3.369548	-0.127634	0.005226	0.022688	-0.788935	-0.093823	-0.557715	0.240278
64583	-9.181484	-1.204146	3.422340	-0.076815	0.008412	0.059296	-0.788803	-0.093880	-0.557819	0.240445
64584	-9.223846	-1.225763	3.435252	-0.083854	-0.003533	0.105767	-0.788651	-0.093878	-0.557958	0.240623
64585	-9.202025	-1.268307	3.443154	-0.088497	-0.047865	0.093424	-0.788505	-0.093880	-0.558041	0.240908
64586	-9.135437	-1.304264	3.440329	-0.089431	-0.094067	0.034969	-0.788357	-0.094139	-0.558013	0.241357
64587	-9.097180	-1.207881	3.499973	0.016979	-0.046020	0.008976	-0.788196	-0.094593	-0.557899	0.241966
64588	-9.061291	-1.164378	3.526391	0.067901	-0.029327	-0.020204	-0.788073	-0.095021	-0.557735	0.242578
64589	-9.035581	-1.082106	3.603754	0.177822	0.002718	-0.026571	-0.787972	-0.095231	-0.557649	0.243020
64590	-9.145722	-1.048025	3.587789	0.153163	0.072180	0.065883	-0.787960	-0.095116	-0.557596	0.243223
64591	-9.155826	-1.052929	3.530094	0.099414	0.101023	0.055407	-0.788101	-0.094729	-0.557448	0.243259
64592	-9.103718	-1.132211	3.435049	-0.007090	0.066420	-0.017042	-0.788249	-0.094308	-0.557296	0.243291
64593	-8.982943	-1.206418	3.433623	-0.015663	-0.024419	-0.120545	-0.788268	-0.094184	-0.557238	0.243412
64594	-9.089631	-1.137212	3.499825	0.047337	0.037898	-0.006580	-0.788159	-0.094294	-0.557301	0.243577
64595	-9.155062	-1.048574	3.549608	0.117969	0.112780	0.060901	-0.788086	-0.094199	-0.557343	0.243754
64596	-9.187841	-1.089965	3.481382	0.032406	0.119896	0.072101	-0.788209	-0.093868	-0.557193	0.243827
64597	-9.089964	-1.157649	3.329215	-0.106430	0.106844	-0.064430	-0.788410	-0.093596	-0.556857	0.244048
64598	-8.919104	-1.159944	3.260877	-0.126317	0.092160	-0.246876	-0.788442	-0.093824	-0.556572	0.244506
64599	-8.909572	-1.006880	3.382537	0.050389	0.168036	-0.231192	-0.788225	-0.094532	-0.556553	0.244975
64600	-9.082565	-0.927270	3.512748	0.156628	0.221741	-0.034216	-0.787918	-0.095122	-0.556806	0.245163
64601	-9.238815	-0.995951	3.583361	0.145572	0.168662	0.144142	-0.787830	-0.095205	-0.557019	0.244928
64602	-9.308199	-1.159376	3.520326	-0.004590	0.072906	0.205999	-0.788026	-0.094847	-0.556959	0.244572
64603	-9.239526	-1.239071	3.397629	-0.132296	0.043019	0.108435	-0.788338	-0.094311	-0.556680	0.244411
64604	-9.154508	-1.175900	3.294344	-0.171147	0.125545	-0.014963	-0.788589	-0.093980	-0.556369	0.244437
64605	-9.169504	-1.074872	3.233205	-0.180336	0.248425	-0.035442	-0.788678	-0.093879	-0.556194	0.244585
64606	-9.167273	-1.003145	3.221414	-0.155679	0.317556	-0.050637	-0.788657	-0.093899	-0.556154	0.244738
64607	-9.105291	-0.996040	3.134631	-0.207295	0.344062	-0.139892	-0.788548	-0.093936	-0.556264	0.244823
64608	-9.081305	-1.057431	3.175687	-0.193695	0.264894	-0.139758	-0.788348	-0.094146	-0.556479	0.244900
64609	-9.088722	-1.050936	3.257895	-0.118521	0.231564	-0.104158	-0.788031	-0.094681	-0.556769	0.245052
64610	-9.102422	-0.952869	3.395108	0.045347	0.251290	-0.054429	-0.787731	-0.095401	-0.557009	0.245191
64611	-9.128087	-0.853075	3.472207	0.155320	0.299665	-0.015137	-0.787546	-0.096044	-0.557179	0.245149
64612	-9.133351	-0.837371	3.495970	0.181651	0.293301	-0.003403	-0.787542	-0.096454	-0.557274	0.244785
64613	-9.096514	-0.930049	3.412362	0.074451	0.228951	-0.055752	-0.787626	-0.096626	-0.557412	0.244132
64614	-9.072002	-1.047185	3.361843	-0.019567	0.131329	-0.082212	-0.787681	-0.096826	-0.557659	0.243310
64615	-9.132236	-1.193047	3.308543	-0.150550	0.030055	-0.027803	-0.787659	-0.097311	-0.557911	0.242607
64616	-9.151239	-1.265555	3.333579	-0.170383	-0.054364	0.007065	-0.787541	-0.098081	-0.558096	0.242256
64617	-9.151723	-1.215323	3.410056	-0.082492	-0.061601	0.028497	-0.787359	-0.099077	-0.558242	0.242106
64618	-9.188469	-1.127318	3.475841	0.005072	-0.022788	0.075675	-0.787195	-0.100125	-0.558353	0.241953
64619	-9.177450	-1.135915	3.551246	0.065133	-0.083469	0.092665	-0.787030	-0.100992	-0.558511	0.241765
64620	-9.201789	-1.180542	3.570606	0.052603	-0.140116	0.126800	-0.786893	-0.101766	-0.558666	0.241525
64621	-9.193677	-1.158984	3.594725	0.084670	-0.148466	0.125107	-0.786822	-0.102381	-0.558757	0.241287
64622	-9.182931	-1.221997	3.592908	0.053853	-0.216341	0.121031	-0.786758	-0.102830	-0.558867	0.241051
64623	-9.205559	-1.264242	3.583380	0.018774	-0.252043	0.143082	-0.786727	-0.103169	-0.558961	0.240792
64624	-9.239566	-1.324212	3.577666	-0.025473	-0.300051	0.178915	-0.786733	-0.103488	-0.558962	0.240632
64625	-9.296895	-1.252963	3.573412	-0.010767	-0.226997	0.223238	-0.786777	-0.103730	-0.558852	0.240636
64626	-9.280445	-1.163410	3.544221	0.009644	-0.142334	0.188379	-0.786897	-0.103783	-0.558639	0.240716
64627	-9.170110	-1.163826	3.468326	-0.029239	-0.135505	0.059267	-0.787012	-0.103598	-0.558507	0.240727
64628	-9.129923	-1.200894	3.422200	-0.076945	-0.154485	0.009701	-0.787056	-0.103459	-0.558465	0.240740
64629	-9.131570	-1.187840	3.420638	-0.072267	-0.140247	0.009349	-0.787042	-0.103474	-0.558429	0.240864
64630	-9.171931	-1.138897	3.468694	-0.019673	-0.106961	0.058554	-0.787073	-0.103510	-0.558304	0.241037
64631	-9.167089	-1.085185	3.506578	0.036482	-0.075885	0.061630	-0.787180	-0.103489	-0.558088	0.241197
64632	-9.177001	-1.016209	3.495642	0.055010	-0.005065	0.059825	-0.787340	-0.103303	-0.557873	0.241251
64633	-9.208174	-0.996196	3.493333	0.051557	0.026974	0.085942	-0.787546	-0.102896	-0.557709	0.241131
64634	-9.230280	-1.085984	3.409437	-0.070698	-0.001481	0.086641	-0.787744	-0.102382	-0.557619	0.240912
64635	-9.200110	-1.231225	3.371239	-0.168557	-0.112903	0.060611	-0.787880	-0.102095	-0.557523	0.240810
64636	-9.165111	-1.256586	3.381834	-0.164217	-0.144934	0.034500	-0.787854	-0.102068	-0.557455	0.241065
64637	-9.184226	-1.099991	3.498082	0.004672	-0.050850	0.076395	-0.787789	-0.102080	-0.557342	0.241532
64638	-9.126773	-1.019329	3.562976	0.112987	-0.018905	0.037119	-0.787762	-0.102025	-0.557193	0.241987
64639	-9.106551	-0.968329	3.602528	0.174801	0.010555	0.026747	-0.787856	-0.101700	-0.556976	0.242319
64640	-9.074052	-0.954904	3.547606	0.141324	0.048190	-0.024252	-0.788045	-0.101192	-0.556708	0.242531
64641	-9.060000	-0.995631	3.473535	0.059945	0.053006	-0.059026	-0.788285	-0.100599	-0.556458	0.242573
64642	-9.022491	-1.009630	3.425704	0.019372	0.062494	-0.109294	-0.788523	-0.100037	-0.556229	0.242553
64643	-9.100636	-1.043761	3.371699	-0.065860	0.085876	-0.052173	-0.788729	-0.099609	-0.556034	0.242508
64644	-9.073373	-1.086266	3.328211	-0.119711	0.068810	-0.088285	-0.788914	-0.099227	-0.555796	0.242609
64645	-9.044514	-1.064128	3.300325	-0.126706	0.100041	-0.127560	-0.789001	-0.098924	-0.555640	0.242808
64646	-9.058061	-1.068807	3.317918	-0.118648	0.098533	-0.108276	-0.788996	-0.098775	-0.555565	0.243056
64647	-9.095596	-1.030062	3.337792	-0.092465	0.138486	-0.070818	-0.788967	-0.098678	-0.555516	0.243301
64648	-9.109183	-1.043511	3.369760	-0.075115	0.119721	-0.045322	-0.788906	-0.098667	-0.555536	0.243456
64649	-9.135019	-1.072879	3.403392	-0.067122	0.088593	-0.006038	-0.788845	-0.098648	-0.555565	0.243595
64650	-9.107007	-1.074476	3.450711	-0.019994	0.061509	-0.014968	-0.788816	-0.098528	-0.555583	0.243698
64651	-9.119833	-1.075921	3.404355	-0.060631	0.086641	-0.019455	-0.788808	-0.098260	-0.555647	0.243689
64652	-9.115266	-1.097899	3.393858	-0.076958	0.075639	-0.024936	-0.788830	-0.097905	-0.555684	0.243673
64653	-9.106789	-1.128845	3.341411	-0.132276	0.074203	-0.047959	-0.788871	-0.097624	-0.555662	0.243704
64654	-9.056275	-1.154298	3.337266	-0.135397	0.043591	-0.093345	-0.788867	-0.097638	-0.555597	0.243860
64655	-9.007721	-1.097744	3.344554	-0.088225	0.075627	-0.142288	-0.788731	-0.097904	-0.555651	0.244071
64656	-9.092998	-1.079595	3.480856	0.014520	0.052695	-0.016692	-0.788518	-0.098176	-0.555858	0.244179
64657	-9.188691	-1.077047	3.557220	0.059539	0.044217	0.098941	-0.788349	-0.098228	-0.556116	0.244116
64658	-9.252861	-1.137424	3.545707	0.008324	0.013592	0.161326	-0.788321	-0.097989	-0.556271	0.243946
64659	-9.217387	-1.158958	3.507407	-0.022849	0.005698	0.117305	-0.788409	-0.097533	-0.556275	0.243839
64660	-9.152418	-1.160412	3.409256	-0.087300	0.035033	0.022326	-0.788471	-0.097148	-0.556241	0.243867
64661	-9.073033	-1.098734	3.373064	-0.065149	0.087503	-0.071393	-0.788405	-0.096966	-0.556290	0.244043
64662	-9.053583	-1.059513	3.408458	-0.007159	0.102896	-0.081455	-0.788207	-0.097000	-0.556498	0.244195
64663	-9.055005	-1.091963	3.529771	0.083058	0.020603	-0.033247	-0.787939	-0.097262	-0.556788	0.244291
64664	-9.074222	-1.110395	3.646422	0.171211	-0.045966	0.028016	-0.787703	-0.097634	-0.557016	0.244385
64665	-9.104571	-1.061567	3.734713	0.264915	-0.038459	0.081582	-0.787571	-0.097797	-0.557155	0.244432
64666	-9.104889	-1.063014	3.733526	0.265228	-0.038524	0.081573	-0.787628	-0.097434	-0.557204	0.244281
64667	-9.109119	-1.176723	3.667599	0.154287	-0.100931	0.075589	-0.787756	-0.096862	-0.557186	0.244134
64668	-9.169061	-1.099005	3.693376	0.199012	-0.020226	0.131180	-0.787886	-0.096373	-0.557064	0.244189
64669	-9.207813	-0.973326	3.712152	0.265832	0.099657	0.158804	-0.788017	-0.095928	-0.556923	0.244260
64670	-9.271386	-0.953981	3.751363	0.290395	0.125372	0.229292	-0.788176	-0.095446	-0.556803	0.244210
64671	-9.233014	-1.018882	3.875363	0.371281	0.014091	0.245496	-0.788237	-0.094949	-0.556803	0.244207
64672	-9.233329	-1.131097	4.031663	0.450746	-0.140762	0.314753	-0.788069	-0.094500	-0.557012	0.244446
64673	-9.106748	-1.096736	4.328838	0.757080	-0.265402	0.298243	-0.787642	-0.094360	-0.557352	0.245101
64674	-9.311026	-0.789951	4.765787	1.231504	-0.122350	0.603664	-0.787279	-0.094093	-0.557539	0.245944
64675	-9.161048	-0.449156	4.872100	1.531869	0.099130	0.458993	-0.787335	-0.093314	-0.557330	0.246536
64676	-9.040611	-0.457469	4.981272	1.647458	0.037167	0.387284	-0.787808	-0.091725	-0.556962	0.246452
64677	-8.986583	-0.638849	5.093842	1.661781	-0.147879	0.401544	-0.788462	-0.089651	-0.556549	0.246056
64678	-9.040294	-0.809816	5.302539	1.732070	-0.328581	0.550298	-0.789139	-0.087759	-0.555858	0.246128
64679	-8.886541	-0.740711	5.575574	2.018787	-0.388436	0.501369	-0.789814	-0.086572	-0.554686	0.247027
64680	-8.765919	-0.553765	5.875959	2.364732	-0.357020	0.480773	-0.790647	-0.086361	-0.552975	0.248269
64681	-8.678479	-0.501215	6.060620	2.523047	-0.398089	0.471954	-0.791747	-0.087162	-0.550676	0.249592
64682	-8.830269	-0.329658	6.307786	2.708866	-0.303922	0.696341	-0.793348	-0.088498	-0.547636	0.250724
64683	-9.023163	-0.168524	6.511845	2.820278	-0.189799	0.951103	-0.795573	-0.089686	-0.543883	0.251420
64684	-9.173013	-0.058126	6.674271	2.860831	-0.104082	1.164425	-0.798543	-0.090230	-0.539351	0.251570
64685	-9.170495	-0.100910	6.821511	2.834997	-0.170661	1.258587	-0.802138	-0.089945	-0.534161	0.251308
64686	-9.202990	-0.125645	6.921921	2.751182	-0.176381	1.368609	-0.806356	-0.089273	-0.528275	0.250492
64687	-9.246270	-0.201938	6.873976	2.496130	-0.154345	1.435796	-0.811249	-0.088397	-0.521628	0.248929
64688	-9.266279	-0.358289	6.847342	2.205914	-0.213984	1.499389	-0.816578	-0.087362	-0.514420	0.246860
64689	-9.165336	-0.513941	6.842802	1.965650	-0.319558	1.462153	-0.821967	-0.086321	-0.507006	0.244672
64690	-9.089894	-0.475018	6.992585	1.935509	-0.310729	1.496680	-0.827281	-0.085196	-0.499593	0.242393
64691	-9.461311	-0.427521	7.277361	1.841883	-0.198074	1.986607	-0.832666	-0.083504	-0.491964	0.240137
64692	-9.666859	-0.446293	7.619114	1.802172	-0.192883	2.369597	-0.838394	-0.080966	-0.483603	0.238052
64693	-9.636950	-0.548841	8.024084	1.845269	-0.333819	2.598414	-0.844246	-0.078124	-0.474635	0.236361
64694	-9.751066	-0.244860	8.279467	1.882240	-0.003968	2.842063	-0.850289	-0.075394	-0.464922	0.234886
