// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-9.094205	0.424252	3.627935	0.022738	-0.023697	-0.012412	0.262663	0.540366	0.159242	-0.783361
64469	-9.069247	0.444553	3.663499	0.001796	-0.062785	-0.021562	0.262771	0.540255	0.159245	-0.783401
64470	-9.064091	0.427446	3.646422	0.005521	-0.039545	-0.033360	0.262891	0.540144	0.159274	-0.783431
64471	-9.083939	0.411091	3.633844	0.013145	-0.013379	-0.020271	0.262975	0.540050	0.159283	-0.783466
64472	-9.089652	0.407611	3.648176	0.003278	-0.014761	-0.009786	0.263092	0.539943	0.159264	-0.783504
64473	-9.072001	0.383870	3.652454	-0.016697	0.000516	-0.025517	0.263222	0.539812	0.159241	-0.783555
64474	-9.076130	0.435839	3.664806	0.006581	-0.044758	-0.014991	0.263355	0.539699	0.159199	-0.783597
64475	-9.083687	0.413391	3.673003	-0.009663	-0.026456	-0.005831	0.263503	0.539642	0.159195	-0.783587
64476	-9.093879	0.440933	3.658721	0.020705	-0.036915	-0.000578	0.263603	0.539563	0.159141	-0.783620
64477	-9.070260	0.420791	3.649303	0.010575	-0.019016	-0.026799	0.263710	0.539491	0.159100	-0.783642
64478	-9.079914	0.413625	3.643603	0.014499	-0.005274	-0.020266	0.263846	0.539397	0.159040	-0.783672
64479	-9.069798	0.443709	3.690225	-0.006148	-0.053931	-0.011008	0.263957	0.539333	0.158984	-0.783691
64480	-9.070518	0.403788	3.646935	0.004670	0.004213	-0.028136	0.264086	0.539278	0.158892	-0.783704
64481	-9.092334	0.404577	3.620671	0.032249	0.025844	-0.017701	0.264276	0.539154	0.158837	-0.783736
64482	-9.067580	0.448040	3.695149	-0.005839	-0.050480	-0.010989	0.264460	0.539039	0.158725	-0.783775
64483	-9.072183	0.425515	3.672038	0.001607	-0.014557	-0.016299	0.264676	0.538898	0.158650	-0.783815
64484	-9.063135	0.450574	3.667169	0.018113	-0.030501	-0.025436	0.264945	0.538795	0.158594	-0.783806
64485	-9.068375	0.449527	3.682310	0.008410	-0.031829	-0.014942	0.265127	0.538652	0.158480	-0.783866
64486	-9.058487	0.439607	3.686836	-0.001496	-0.023671	-0.022813	0.265352	0.538462	0.158374	-0.783942
64487	-9.043178	0.488777	3.708763	0.007660	-0.074361	-0.026611	0.265553	0.538315	0.158307	-0.783989
64488	-9.070603	0.451932	3.704403	-0.001101	-0.030850	-0.004439	0.265842	0.538190	0.158252	-0.783987
64489	-9.063180	0.456977	3.694164	0.008878	-0.027096	-0.014928	0.266014	0.538039	0.158160	-0.784051
64490	-9.053611	0.446365	3.697982	-0.001128	-0.018857	-0.022803	0.266176	0.537915	0.158076	-0.784098
64491	-9.032386	0.498283	3.706109	0.018027	-0.067121	-0.037069	0.266326	0.537791	0.157997	-0.784148
64492	-9.062173	0.475977	3.687432	0.029262	-0.028186	-0.017533	0.266476	0.537688	0.157920	-0.784183
64493	-9.067859	0.474269	3.701492	0.019618	-0.029569	-0.007037	0.266695	0.537634	0.157896	-0.784151
64494	-9.046796	0.491384	3.716567	0.012247	-0.053587	-0.020046	0.266788	0.537542	0.157788	-0.784204
64495	-9.049861	0.452724	3.706380	-0.000389	-0.013140	-0.022793	0.266892	0.537472	0.157732	-0.784228
64496	-9.037256	0.481156	3.720241	0.002518	-0.044186	-0.027916	0.266958	0.537408	0.157635	-0.784269
64497	-9.038781	0.462058	3.715147	-0.003658	-0.023431	-0.029292	0.267027	0.537369	0.157586	-0.784282
64498	-9.055414	0.486844	3.713179	0.016765	-0.036372	-0.013523	0.267080	0.537358	0.157479	-0.784293
64499	-9.028683	0.506655	3.713991	0.019277	-0.057808	-0.037012	0.267097	0.537374	0.157390	-0.784294
64500	-9.055573	0.488571	3.712563	0.016913	-0.033956	-0.013514	0.267125	0.537383	0.157295	-0.784297
64501	-9.078026	0.453857	3.692598	0.018100	0.012001	-0.001910	0.267138	0.537383	0.157211	-0.784309
64502	-9.067553	0.427754	3.707440	-0.011808	0.024823	-0.007186	0.267188	0.537387	0.157099	-0.784312
64503	-9.068086	0.485959	3.737764	-0.002313	-0.035489	0.007493	0.267211	0.537399	0.156893	-0.784337
64504	-9.061645	0.456901	3.732561	-0.018692	-0.007614	-0.001787	0.267130	0.537497	0.156630	-0.784350
64505	-8.885984	0.495322	3.885984	-0.174744	-0.162880	-0.104452	0.266256	0.538458	0.155836	-0.784147
64506	-9.148384	0.494066	3.572669	0.117603	0.062713	0.020073	0.265130	0.539787	0.154872	-0.783805
64507	-9.114669	0.521053	3.628293	0.059314	0.000433	0.011246	0.264417	0.540642	0.154080	-0.783613
64508	-9.074759	0.522708	3.621783	0.041690	-0.007044	-0.028006	0.264146	0.540999	0.153649	-0.783542
64509	-9.073133	0.622392	3.659226	0.064051	-0.106551	-0.010464	0.264109	0.541077	0.153454	-0.783540
64510	-9.098229	0.525959	3.590732	0.069539	0.015966	-0.017654	0.264224	0.540931	0.153482	-0.783596
64511	-9.080782	0.522166	3.635028	0.032204	-0.005937	-0.017504	0.264456	0.540639	0.153609	-0.783694
64512	-9.068546	0.562486	3.639399	0.055036	-0.041524	-0.025176	0.264801	0.540218	0.153802	-0.783830
64513	-9.076201	0.538095	3.686900	0.015300	-0.040713	-0.001556	0.265214	0.539720	0.154078	-0.783979
64514	-9.054542	0.530307	3.703069	0.001543	-0.045033	-0.015921	0.265661	0.539233	0.154384	-0.784103
64515	-9.029297	0.492940	3.745753	-0.052222	-0.040280	-0.025067	0.265922	0.538913	0.154551	-0.784202
64516	-9.063080	0.497598	3.699845	-0.000851	-0.010457	-0.010863	0.265985	0.538830	0.154578	-0.784232
64517	-9.056771	0.534781	3.679397	0.035651	-0.031028	-0.022548	0.266025	0.538771	0.154561	-0.784263
64518	-9.038063	0.530064	3.687817	0.021876	-0.035401	-0.036911	0.266051	0.538742	0.154553	-0.784275
64519	-9.042115	0.511237	3.715147	-0.007941	-0.032144	-0.023794	0.266130	0.538668	0.154557	-0.784299
64520	-9.058280	0.512798	3.674844	0.029620	-0.007888	-0.023972	0.266204	0.538615	0.154616	-0.784298
64521	-9.062855	0.515018	3.740444	-0.017302	-0.041743	0.005127	0.266279	0.538544	0.154636	-0.784317
64522	-9.080993	0.483754	3.741300	-0.029756	-0.010823	0.020663	0.266363	0.538486	0.154618	-0.784332
64523	-9.047617	0.471999	3.737805	-0.043626	-0.005749	-0.012106	0.266319	0.538534	0.154397	-0.784357
64524	-9.032912	0.521048	3.719277	-0.010736	-0.038875	-0.030235	0.265996	0.538977	0.154027	-0.784236
64525	-9.064136	0.487010	3.705623	-0.019459	0.004689	-0.008251	0.265726	0.539352	0.153578	-0.784157
64526	-9.050397	0.512912	3.778990	-0.073786	-0.054510	0.007960	0.265500	0.539736	0.152988	-0.784085
64527	-9.053461	0.536062	3.722680	-0.030133	-0.040346	-0.009203	0.265006	0.540581	0.152157	-0.783832
64528	-9.126467	0.502823	3.582886	0.063044	0.079631	0.004235	0.264689	0.541225	0.151481	-0.783625
64529	-9.049395	0.585453	3.712403	-0.027164	-0.070245	-0.014190	0.264338	0.541907	0.150696	-0.783424
