// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-9.725277	0.706659	-1.253902	-0.024691	-0.354185	0.012108	0.516350	0.507644	0.571089	-0.386702
64469	-9.667987	0.683699	-1.315995	-0.056124	-0.278273	-0.035742	0.516657	0.507325	0.570914	-0.386968
64470	-9.635918	0.702277	-1.376173	-0.047486	-0.200209	-0.055864	0.516960	0.507027	0.570679	-0.387300
64471	-9.582750	0.682607	-1.480213	-0.083267	-0.082122	-0.092996	0.517225	0.506737	0.570436	-0.387684
64472	-9.567960	0.726920	-1.570928	-0.055153	0.027421	-0.089608	0.517460	0.506471	0.570197	-0.388068
64473	-9.576799	0.710345	-1.645798	-0.084837	0.106585	-0.070524	0.517692	0.506187	0.569995	-0.388427
64474	-9.558240	0.730097	-1.690842	-0.071788	0.167195	-0.080328	0.517925	0.505892	0.569826	-0.388749
64475	-9.534254	0.787309	-1.630275	-0.002252	0.132631	-0.108974	0.518162	0.505610	0.569646	-0.389064
64476	-9.519031	0.856350	-1.632701	0.066410	0.158690	-0.118287	0.518389	0.505346	0.569514	-0.389298
64477	-9.499759	0.856905	-1.677413	0.060111	0.212794	-0.130512	0.518588	0.505100	0.569454	-0.389439
64478	-9.503771	0.883181	-1.626205	0.095286	0.172485	-0.132430	0.518768	0.504899	0.569433	-0.389490
64479	-9.507837	0.865447	-1.663984	0.070242	0.209130	-0.124131	0.518919	0.504743	0.569435	-0.389489
64480	-9.542496	0.782380	-1.652262	-0.011866	0.179719	-0.098323	0.519036	0.504674	0.569430	-0.389430
64481	-9.536883	0.754146	-1.630905	-0.036242	0.155741	-0.109329	0.519037	0.504701	0.569387	-0.389456
64482	-9.532828	0.749756	-1.588797	-0.032742	0.114200	-0.120056	0.518961	0.504810	0.569344	-0.389479
64483	-9.572078	0.739267	-1.514903	-0.031454	0.032842	-0.093426	0.518873	0.504935	0.569306	-0.389490
64484	-9.598737	0.747149	-1.460863	-0.015023	-0.024809	-0.074758	0.518765	0.505062	0.569303	-0.389473
64485	-9.657433	0.750614	-1.365067	0.002926	-0.128967	-0.031266	0.518699	0.505171	0.569282	-0.389450
64486	-9.657052	0.750705	-1.367713	0.001794	-0.128034	-0.031253	0.518637	0.505290	0.569236	-0.389445
