// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-9.580649	-0.820003	-1.093581	-0.077880	-0.131768	-0.136235	0.425213	0.535410	0.527327	-0.504436
64469	-9.605944	-0.739259	-1.027209	-0.002651	-0.211622	-0.126046	0.425004	0.535578	0.527396	-0.504362
64470	-9.625420	-0.827727	-1.168005	-0.074580	-0.072993	-0.081953	0.424785	0.535771	0.527530	-0.504202
64471	-9.604556	-0.772510	-1.188992	-0.019184	-0.061164	-0.104244	0.424436	0.536093	0.527499	-0.504185
64472	-9.594188	-0.746721	-1.219310	0.008362	-0.038661	-0.112626	0.424220	0.536316	0.527602	-0.504023
64473	-9.611775	-0.810498	-1.323929	-0.043792	0.061758	-0.076662	0.424015	0.536536	0.527671	-0.503889
64474	-9.637470	-0.748560	-1.264064	0.011944	-0.011878	-0.063905	0.423801	0.536814	0.527614	-0.503832
64475	-9.621470	-0.784781	-1.397355	-0.012782	0.120825	-0.059410	0.423631	0.537049	0.527575	-0.503766
64476	-9.666686	-0.700399	-1.337943	0.066249	0.044370	-0.029073	0.423520	0.537220	0.527558	-0.503693
64477	-9.645410	-0.766606	-1.425321	0.006839	0.138375	-0.033426	0.423546	0.537276	0.527494	-0.503680
64478	-9.624004	-0.685707	-1.402848	0.082244	0.111997	-0.063825	0.423612	0.537263	0.527465	-0.503669
64479	-9.650352	-0.766502	-1.410593	0.003746	0.126259	-0.030529	0.423847	0.537085	0.527464	-0.503662
64480	-9.631309	-0.766965	-1.400660	0.000499	0.123908	-0.050677	0.423994	0.536985	0.527291	-0.503826
64481	-9.615579	-0.746080	-1.338958	0.013528	0.069379	-0.075963	0.424192	0.536837	0.527127	-0.503989
64482	-9.626035	-0.770596	-1.309885	-0.013521	0.048481	-0.067554	0.424412	0.536675	0.526949	-0.504161
64483	-9.616054	-0.719453	-1.289505	0.034154	0.033002	-0.084035	0.424660	0.536497	0.526706	-0.504397
64484	-9.602462	-0.742741	-1.266312	0.007217	0.022813	-0.098682	0.424958	0.536276	0.526525	-0.504569
64485	-9.621619	-0.752027	-1.204035	-0.007912	-0.031669	-0.086963	0.425242	0.536076	0.526302	-0.504775
64486	-9.601976	-0.711683	-1.182180	0.028272	-0.045964	-0.112220	0.425470	0.535914	0.526081	-0.504985
64487	-9.596629	-0.720153	-1.128584	0.013333	-0.089885	-0.123551	0.425696	0.535752	0.525917	-0.505139
64488	-9.607982	-0.748452	-1.132307	-0.013957	-0.078529	-0.109633	0.425922	0.535586	0.525788	-0.505258
64489	-9.624367	-0.762993	-1.151660	-0.025990	-0.054519	-0.089865	0.426006	0.535565	0.525569	-0.505437
64490	-9.615430	-0.736243	-1.171267	0.001651	-0.032060	-0.098297	0.426050	0.535562	0.525372	-0.505608
64491	-9.634577	-0.692713	-1.166146	0.044815	-0.039833	-0.083288	0.426171	0.535513	0.525251	-0.505682
64492	-9.653011	-0.751744	-1.227957	-0.007006	0.028383	-0.052936	0.426345	0.535403	0.525165	-0.505742
64493	-9.633252	-0.731960	-1.214665	0.009132	0.020053	-0.075632	0.426483	0.535327	0.525048	-0.505828
64494	-9.618607	-0.698792	-1.216003	0.040842	0.024136	-0.092486	0.426597	0.535249	0.524932	-0.505935
64495	-9.668708	-0.703592	-1.229710	0.040139	0.036224	-0.040880	0.426832	0.535076	0.524873	-0.505981
64496	-9.659021	-0.729923	-1.196156	0.009507	0.011977	-0.052563	0.427062	0.534884	0.524810	-0.506055
64497	-9.629808	-0.721574	-1.180220	0.014080	0.004838	-0.084041	0.427301	0.534683	0.524729	-0.506150
64498	-9.673680	-0.736351	-1.145043	-0.001469	-0.027834	-0.043724	0.427586	0.534428	0.524681	-0.506228
64499	-9.596157	-0.726347	-1.143834	0.003445	-0.013678	-0.121353	0.427814	0.534229	0.524566	-0.506364
64500	-9.620384	-0.706380	-1.127268	0.023168	-0.029256	-0.100834	0.428028	0.534041	0.524516	-0.506435
64501	-9.676273	-0.718125	-1.159085	0.018314	0.001235	-0.040835	0.428295	0.533794	0.524524	-0.506459
64502	-9.653801	-0.757527	-1.170354	-0.020373	0.024362	-0.058793	0.428503	0.533560	0.524465	-0.506592
64503	-9.643703	-0.728057	-1.156079	0.007680	0.014523	-0.072702	0.428667	0.533378	0.524381	-0.506732
64504	-9.664008	-0.726361	-1.157419	0.011608	0.018692	-0.052576	0.428827	0.533204	0.524294	-0.506870
64505	-9.631922	-0.711044	-1.076438	0.017147	-0.052729	-0.094913	0.429064	0.532971	0.524214	-0.506997
64506	-9.616076	-0.740692	-1.134741	-0.006943	0.015251	-0.101616	0.429275	0.532764	0.524170	-0.507080
64507	-9.640789	-0.741489	-1.122159	-0.006792	0.005599	-0.078532	0.429445	0.532588	0.524048	-0.507249
64508	-9.651004	-0.730388	-1.117825	0.005261	0.005109	-0.069750	0.429590	0.532432	0.523911	-0.507431
64509	-9.648705	-0.722550	-1.047654	0.006368	-0.058716	-0.080592	0.429780	0.532244	0.523810	-0.507572
64510	-9.625673	-0.741823	-1.054836	-0.012830	-0.041493	-0.101113	0.429918	0.532099	0.523703	-0.507717
64511	-9.637227	-0.734492	-1.084045	-0.001407	-0.009829	-0.086913	0.430103	0.531917	0.523661	-0.507795
64512	-9.665236	-0.754279	-1.030070	-0.024119	-0.059748	-0.063708	0.430287	0.531727	0.523604	-0.507896
64513	-9.627035	-0.741229	-1.042752	-0.011889	-0.039191	-0.101103	0.430421	0.531590	0.523532	-0.508001
64514	-9.644484	-0.694753	-1.004911	0.031897	-0.079211	-0.091509	0.430559	0.531461	0.523507	-0.508043
64515	-9.636272	-0.746031	-1.010298	-0.018772	-0.065344	-0.095158	0.430725	0.531291	0.523554	-0.508033
64516	-9.625861	-0.773330	-0.979815	-0.049333	-0.089648	-0.106771	0.430814	0.531195	0.523569	-0.508041
64517	-9.636458	-0.745613	-1.008833	-0.018051	-0.063711	-0.095146	0.430818	0.531196	0.523552	-0.508055
64518	-9.631511	-0.722281	-1.019075	0.005562	-0.054887	-0.100676	0.430846	0.531177	0.523568	-0.508035
64519	-9.631429	-0.721820	-1.020175	0.005788	-0.053811	-0.100670	0.430889	0.531162	0.523597	-0.507984
64520	-9.652215	-0.760090	-1.036215	-0.029651	-0.037757	-0.075417	0.430860	0.531198	0.523625	-0.507942
64521	-9.643350	-0.754193	-1.065899	-0.021787	-0.009327	-0.081368	0.430792	0.531286	0.523606	-0.507928
64522	-9.631447	-0.740410	-1.030822	-0.012963	-0.045619	-0.098095	0.430697	0.531408	0.523582	-0.507905
64523	-9.673779	-0.743650	-1.110297	-0.006502	0.026542	-0.047083	0.430552	0.531611	0.523463	-0.507938
64524	-9.653270	-0.724069	-1.102264	0.009732	0.018263	-0.069769	0.430462	0.531752	0.523340	-0.507994
64525	-9.652644	-0.702833	-1.099100	0.029601	0.013278	-0.072334	0.430428	0.531834	0.523239	-0.508041
64526	-9.668678	-0.717656	-1.123344	0.017737	0.037263	-0.052638	0.430473	0.531828	0.523216	-0.508033
64527	-9.667868	-0.732927	-1.094976	-0.001233	0.011715	-0.055450	0.430529	0.531824	0.523158	-0.508049
64528	-9.648908	-0.753649	-1.092158	-0.024383	0.015129	-0.073006	0.430621	0.531815	0.523041	-0.508102
64529	-9.665948	-0.742558	-1.031899	-0.019389	-0.045091	-0.063618	0.430617	0.531881	0.522886	-0.508195
64530	-9.612967	-0.716379	-1.056269	0.004569	-0.015320	-0.115380	0.430626	0.531951	0.522718	-0.508286
64531	-9.648964	-0.728890	-1.085265	-0.003902	0.011912	-0.075571	0.430624	0.532027	0.522587	-0.508343
64532	-9.657216	-0.712424	-1.053169	0.008530	-0.020888	-0.072152	0.430621	0.532100	0.522437	-0.508423
64533	-9.647197	-0.701788	-1.047491	0.016882	-0.024695	-0.083491	0.430653	0.532127	0.522338	-0.508470
64534	-9.646751	-0.680372	-1.042571	0.036814	-0.029720	-0.086052	0.430671	0.532151	0.522218	-0.508552
64535	-9.651861	-0.702425	-1.032156	0.013670	-0.036835	-0.080492	0.430749	0.532107	0.522196	-0.508555
64536	-9.641504	-0.728797	-1.002556	-0.016838	-0.061172	-0.092047	0.430822	0.532083	0.522172	-0.508543
64537	-9.646799	-0.714060	-1.017339	-0.001074	-0.047696	-0.086264	0.430897	0.532045	0.522185	-0.508507
64538	-9.660987	-0.667953	-1.029431	0.045987	-0.041342	-0.074272	0.430952	0.532040	0.522187	-0.508462
64539	-9.646765	-0.711892	-1.019175	-0.000602	-0.045901	-0.086255	0.431056	0.531984	0.522275	-0.508343
64540	-9.649653	-0.718900	-1.085796	-0.001691	0.019573	-0.075583	0.431143	0.531942	0.522364	-0.508222
64541	-9.648631	-0.734413	-1.059382	-0.020379	-0.006022	-0.078353	0.431147	0.531961	0.522407	-0.508155
64542	-9.666968	-0.691529	-1.059008	0.022809	-0.013423	-0.063365	0.431145	0.531967	0.522436	-0.508121
64543	-9.641172	-0.686500	-1.036220	0.023673	-0.034407	-0.091809	0.431163	0.531959	0.522502	-0.508045
64544	-9.642838	-0.746896	-1.050902	-0.035345	-0.015952	-0.084118	0.431164	0.531992	0.522557	-0.507954
64545	-9.677153	-0.719884	-1.074723	-0.004293	-0.000349	-0.049463	0.431096	0.532058	0.522546	-0.507953
64546	-9.639887	-0.664940	-1.039033	0.043977	-0.037575	-0.094364	0.431058	0.532115	0.522558	-0.507914
64547	-9.672327	-0.716495	-1.093026	-0.000217	0.015279	-0.052475	0.431136	0.532051	0.522694	-0.507774
64548	-9.687777	-0.665967	-1.027404	0.044281	-0.056642	-0.048112	0.431221	0.531952	0.522792	-0.507705
64549	-9.606925	-0.715162	-1.059235	-0.006280	-0.011395	-0.121130	0.431378	0.531780	0.522987	-0.507551
64550	-9.664618	-0.705685	-1.046015	0.005536	-0.032643	-0.066104	0.431493	0.531662	0.523135	-0.507424
64551	-9.663234	-0.665173	-1.038960	0.045110	-0.043423	-0.071226	0.431690	0.531434	0.523371	-0.507253
64552	-9.650175	-0.751193	-1.037164	-0.040836	-0.036349	-0.078064	0.431877	0.531216	0.523623	-0.507061
64553	-9.614994	-0.721057	-1.037721	-0.012838	-0.035623	-0.115086	0.431982	0.531095	0.523828	-0.506887
64554	-9.659976	-0.724091	-1.071395	-0.009459	-0.009294	-0.066552	0.432012	0.531032	0.524011	-0.506738
64555	-9.660242	-0.744549	-1.078579	-0.029003	-0.002512	-0.063989	0.432016	0.531012	0.524108	-0.506655
64556	-9.660448	-0.662616	-1.018495	0.046923	-0.071170	-0.076499	0.432011	0.530985	0.524251	-0.506541
64557	-9.630360	-0.721185	-1.102000	-0.004809	0.017671	-0.092707	0.432079	0.530891	0.524462	-0.506361
64558	-9.653325	-0.738742	-1.069466	-0.023880	-0.018243	-0.072294	0.432024	0.530919	0.524569	-0.506268
64559	-9.640151	-0.685558	-1.027046	0.024318	-0.065800	-0.094025	0.431947	0.530975	0.524627	-0.506216
64560	-9.627685	-0.717768	-1.080764	-0.003694	-0.011697	-0.097987	0.431984	0.530963	0.524837	-0.505978
64561	-9.621954	-0.731378	-1.071414	-0.018929	-0.023314	-0.103726	0.431825	0.531093	0.524928	-0.505883
64562	-9.639850	-0.689388	-1.074575	0.024299	-0.030736	-0.088741	0.431677	0.531217	0.525036	-0.505768
64563	-9.660794	-0.711922	-1.123189	0.007800	0.011585	-0.060809	0.431532	0.531339	0.525177	-0.505617
64564	-9.639076	-0.710112	-1.090664	0.004984	-0.023181	-0.086176	0.431419	0.531438	0.525315	-0.505464
64565	-9.649841	-0.723179	-1.133971	-0.003426	0.014614	-0.069583	0.431316	0.531528	0.525449	-0.505319
64566	-9.654240	-0.746123	-1.130007	-0.026714	0.007626	-0.063985	0.431218	0.531627	0.525573	-0.505171
64567	-9.627009	-0.700811	-1.102368	0.013741	-0.024948	-0.097501	0.431073	0.531759	0.525670	-0.505054
64568	-9.645451	-0.715304	-1.085984	-0.001475	-0.047082	-0.080086	0.431000	0.531833	0.525838	-0.504863
64569	-9.625637	-0.737458	-1.090082	-0.024658	-0.043725	-0.097623	0.430844	0.531963	0.525955	-0.504737
64570	-9.644028	-0.678843	-1.122504	0.037698	-0.024498	-0.079954	0.430660	0.532132	0.526070	-0.504597
64571	-9.630314	-0.727949	-1.150251	-0.009678	0.003188	-0.086649	0.430486	0.532291	0.526175	-0.504468
64572	-9.633409	-0.710848	-1.139177	0.006601	-0.015507	-0.086162	0.430251	0.532480	0.526286	-0.504352
64573	-9.638123	-0.718017	-1.165148	0.002407	0.003836	-0.077879	0.430073	0.532615	0.526452	-0.504189
64574	-9.632749	-0.715753	-1.185478	0.006310	0.018348	-0.080928	0.429899	0.532767	0.526572	-0.504052
64575	-9.637069	-0.739036	-1.182143	-0.016811	0.011083	-0.075320	0.429760	0.532870	0.526722	-0.503905
64576	-9.626239	-0.730011	-1.182596	-0.008476	0.007298	-0.086650	0.429595	0.533022	0.526786	-0.503819
64577	-9.639712	-0.721698	-1.175185	-0.000339	-0.006821	-0.074828	0.429477	0.533129	0.526884	-0.503702
64578	-9.633002	-0.694915	-1.157109	0.023972	-0.030133	-0.085661	0.429363	0.533233	0.526963	-0.503607
64579	-9.638080	-0.738100	-1.156788	-0.019090	-0.031519	-0.077484	0.429310	0.533289	0.527116	-0.503433
64580	-9.617795	-0.739924	-1.155653	-0.022661	-0.034072	-0.097579	0.429137	0.533454	0.527153	-0.503367
64581	-9.619530	-0.661457	-1.130869	0.052704	-0.070172	-0.104750	0.428995	0.533600	0.527255	-0.503226
64582	-9.596665	-0.741628	-1.161609	-0.025921	-0.035537	-0.117668	0.428828	0.533754	0.527395	-0.503059
64583	-9.624631	-0.745391	-1.147933	-0.029568	-0.058680	-0.091444	0.428597	0.533965	0.527502	-0.502919
64584	-9.608893	-0.733630	-1.164797	-0.017637	-0.048381	-0.105827	0.428304	0.534247	0.527615	-0.502750
64585	-9.632000	-0.681644	-1.219861	0.040413	-0.010621	-0.079940	0.427940	0.534569	0.527755	-0.502571
64586	-9.688765	-0.672813	-1.216826	0.052246	-0.031500	-0.024849	0.427650	0.534821	0.527957	-0.502338
64587	-9.638798	-0.798397	-1.345348	-0.063549	0.103455	-0.048514	0.427341	0.535093	0.528134	-0.502125
64588	-9.673786	-0.784488	-1.473358	-0.034766	0.216284	0.001606	0.426908	0.535467	0.528027	-0.502208
64589	-9.643133	-0.614631	-1.387246	0.124515	0.116432	-0.052402	0.426620	0.535717	0.527880	-0.502339
64590	-9.639430	-0.689965	-1.387149	0.050238	0.122131	-0.050444	0.426637	0.535657	0.527960	-0.502305
64591	-9.631873	-0.782558	-1.402705	-0.040178	0.147407	-0.048999	0.426699	0.535583	0.527946	-0.502346
64592	-9.624862	-0.747882	-1.312661	-0.014458	0.059355	-0.070170	0.426725	0.535553	0.527782	-0.502528
