// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-0.331317	-8.861266	4.183078	-0.048857	-0.114643	-0.008892	-0.841093	0.531233	-0.066488	0.077032
64469	-0.297545	-8.815375	4.212227	-0.013301	-0.075067	-0.038415	-0.841112	0.531196	-0.066261	0.077276
64470	-0.236120	-8.790276	4.187167	0.037671	-0.098989	-0.073804	-0.841140	0.531146	-0.066073	0.077473
64471	-0.246117	-8.795287	4.177595	0.019958	-0.109106	-0.073198	-0.841230	0.531005	-0.065827	0.077669
64472	-0.200518	-8.750566	4.163285	0.058810	-0.114425	-0.120990	-0.841340	0.530837	-0.065621	0.077803
64473	-0.203197	-8.704255	4.185624	0.058526	-0.076657	-0.152694	-0.841402	0.530749	-0.065407	0.077903
64474	-0.230224	-8.751555	4.216641	0.030233	-0.067445	-0.095831	-0.841533	0.530554	-0.065194	0.077997
64475	-0.194502	-8.715247	4.233533	0.066524	-0.048395	-0.122002	-0.841672	0.530339	-0.065050	0.078082
64476	-0.220437	-8.630386	4.262117	0.049000	0.015001	-0.184855	-0.841769	0.530186	-0.064953	0.078162
64477	-0.223440	-8.641965	4.260220	0.042492	0.006812	-0.175202	-0.841808	0.530137	-0.064838	0.078168
64478	-0.254603	-8.657559	4.291170	0.015354	0.032390	-0.146716	-0.841843	0.530088	-0.064768	0.078174
64479	-0.236704	-8.646905	4.250679	0.024500	-0.002422	-0.174603	-0.841842	0.530100	-0.064698	0.078168
64480	-0.241072	-8.701821	4.184879	0.003018	-0.082944	-0.154213	-0.841846	0.530109	-0.064620	0.078125
64481	-0.228092	-8.723513	4.231632	0.022776	-0.053555	-0.114490	-0.841830	0.530148	-0.064573	0.078074
64482	-0.258776	-8.712086	4.226151	-0.007272	-0.045261	-0.126323	-0.841745	0.530289	-0.064573	0.078031
64483	-0.274503	-8.695064	4.231599	-0.019771	-0.025822	-0.138760	-0.841613	0.530512	-0.064541	0.077966
64484	-0.240203	-8.695442	4.237874	0.015686	-0.023152	-0.136573	-0.841522	0.530680	-0.064490	0.077854
64485	-0.253374	-8.719078	4.259878	0.006689	-0.006849	-0.105319	-0.841373	0.530939	-0.064470	0.077713
