// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-9.656019	-1.286734	-1.344958	0.031225	0.091593	0.020620	0.290916	0.625159	0.413262	-0.594776
64469	-9.620744	-1.366844	-1.257072	-0.084214	0.069884	-0.014972	0.291051	0.625139	0.413001	-0.594912
64470	-9.678482	-1.227874	-1.132565	-0.025961	-0.110665	0.008233	0.290777	0.625346	0.412536	-0.595151
64471	-9.633525	-1.298807	-1.211288	-0.048776	0.002342	-0.016946	0.290591	0.625506	0.412139	-0.595349
64472	-9.650740	-1.296815	-1.328713	0.014036	0.101576	0.014493	0.290331	0.625689	0.411645	-0.595625
64473	-9.687667	-1.180051	-1.097900	-0.002340	-0.155732	0.006913	0.290031	0.625918	0.411147	-0.595875
64474	-9.699402	-1.196910	-1.165682	0.018852	-0.087666	0.029150	0.290158	0.625836	0.410963	-0.596026
64475	-9.699623	-1.159631	-1.151558	0.044007	-0.112386	0.022908	0.290288	0.625783	0.410696	-0.596202
64476	-9.672399	-1.285534	-1.319587	0.022093	0.105328	0.033003	0.290599	0.625568	0.410521	-0.596397
64477	-9.674116	-1.217514	-1.055060	-0.054474	-0.144687	-0.006561	0.290853	0.625429	0.410249	-0.596606
64478	-9.603717	-1.252438	-1.146086	-0.040809	-0.030509	-0.060206	0.291195	0.625259	0.410197	-0.596654
64479	-9.633525	-1.219100	-1.232651	0.032174	0.026465	-0.024495	0.291427	0.625227	0.410092	-0.596646
64480	-9.627677	-1.274272	-1.411269	0.074066	0.210727	-0.001585	0.291769	0.625126	0.410115	-0.596568
64481	-9.618748	-1.228498	-1.261783	0.034942	0.066597	-0.034346	0.291754	0.625171	0.409810	-0.596738
64482	-9.651283	-1.102874	-1.206766	0.116031	-0.043895	-0.024711	0.292006	0.625013	0.409792	-0.596793
64483	-9.622280	-1.245680	-1.170210	-0.026404	0.005536	-0.039834	0.292238	0.624897	0.409776	-0.596812
64484	-9.658570	-1.181829	-1.215146	0.052268	0.007945	-0.006645	0.292297	0.624914	0.409759	-0.596777
64485	-9.639210	-1.225918	-1.134076	-0.029424	-0.034622	-0.029983	0.292471	0.624876	0.409779	-0.596717
64486	-9.685404	-1.148117	-1.352530	0.150340	0.106530	0.032139	0.292738	0.624744	0.409885	-0.596652
64487	-9.629073	-1.172957	-1.224446	0.058800	0.021648	-0.035662	0.293092	0.624650	0.410007	-0.596492
64488	-9.686726	-1.262497	-1.169859	-0.045766	0.012177	0.025650	0.293441	0.624511	0.410187	-0.596343
64489	-9.664036	-1.204374	-1.173283	0.002647	-0.009224	-0.003477	0.293612	0.624497	0.410286	-0.596205
64490	-9.706973	-1.268126	-1.224324	-0.026030	0.060002	0.052816	0.293892	0.624384	0.410363	-0.596133
64491	-9.638702	-1.155432	-1.204264	0.057392	0.001294	-0.030737	0.293754	0.624450	0.410044	-0.596352
64492	-9.699834	-1.009187	-1.112074	0.139123	-0.157480	0.000456	0.293766	0.624467	0.409926	-0.596409
64493	-9.683560	-1.034687	-1.127134	0.123601	-0.126971	-0.010598	0.293912	0.624419	0.409886	-0.596415
64494	-9.686432	-1.099898	-1.032243	0.018835	-0.173058	-0.011057	0.294274	0.624212	0.410052	-0.596338
64495	-9.695526	-1.183013	-1.105643	-0.015447	-0.067428	0.016880	0.294845	0.623888	0.410398	-0.596157
64496	-9.687985	-1.189312	-1.120060	-0.014129	-0.047313	0.011956	0.295031	0.623765	0.410380	-0.596206
64497	-9.678172	-1.185189	-1.200354	0.030077	0.024184	0.011316	0.295342	0.623562	0.410507	-0.596177
64498	-9.674535	-1.160591	-1.219151	0.061655	0.031510	0.006942	0.295348	0.623500	0.410419	-0.596300
64499	-9.672067	-1.065317	-1.059620	0.064644	-0.147982	-0.025936	0.295435	0.623352	0.410322	-0.596478
64500	-9.629676	-1.104768	-1.190571	0.096451	-0.006044	-0.047479	0.295844	0.623101	0.410555	-0.596378
64501	-9.645157	-1.223405	-1.176171	-0.012438	0.040663	-0.019458	0.296222	0.622863	0.410771	-0.596290
64502	-9.651231	-1.205162	-1.333508	0.083196	0.167305	0.002709	0.296531	0.622644	0.411006	-0.596203
64503	-9.666765	-1.038390	-1.120238	0.120677	-0.099378	-0.027234	0.296485	0.622619	0.411072	-0.596207
64504	-9.687890	-1.137458	-1.046664	-0.000916	-0.116740	-0.002953	0.297053	0.622292	0.411526	-0.595952
64505	-9.618391	-1.258160	-1.366306	0.052204	0.228307	-0.019406	0.297256	0.622138	0.411736	-0.595866
64506	-9.697557	-1.151738	-0.945333	-0.063872	-0.197854	-0.003531	0.297221	0.622152	0.411789	-0.595832
64507	-9.696669	-1.222558	-1.123010	-0.035533	-0.011040	0.024985	0.297413	0.622017	0.411943	-0.595772
64508	-9.713498	-1.137297	-1.020956	-0.012564	-0.142492	0.019270	0.297394	0.622057	0.411883	-0.595781
64509	-9.779543	-1.201461	-1.095264	-0.028064	-0.057231	0.100865	0.297414	0.622067	0.411807	-0.595812
64510	-9.599994	-1.168247	-1.260053	0.075970	0.098580	-0.060922	0.297241	0.622106	0.411541	-0.596042
64511	-9.650921	-1.064838	-1.131593	0.104422	-0.068880	-0.038281	0.297051	0.622210	0.411348	-0.596161
64512	-9.699166	-1.074490	-1.110744	0.088123	-0.088501	0.008031	0.297229	0.622106	0.411376	-0.596162
64513	-9.641169	-1.171669	-1.051313	-0.029199	-0.082325	-0.044239	0.297292	0.622123	0.411539	-0.596000
64514	-9.697535	-1.106084	-1.060376	0.033212	-0.117675	0.004393	0.297504	0.622022	0.411790	-0.595826
64515	-9.692992	-1.197521	-1.253619	0.049534	0.091399	0.033576	0.297687	0.621969	0.412087	-0.595585
64516	-9.711117	-1.191526	-1.043616	-0.050695	-0.095720	0.026160	0.297654	0.621968	0.412058	-0.595623
64517	-9.655355	-1.294431	-1.265995	-0.030133	0.155329	0.009692	0.297725	0.621925	0.412015	-0.595662
64518	-9.661303	-1.169502	-1.127010	0.008153	-0.024876	-0.015852	0.297786	0.621902	0.412051	-0.595630
64519	-9.712357	-1.226833	-1.160699	-0.021954	0.024294	0.045363	0.297738	0.621920	0.411972	-0.595690
64520	-9.695659	-1.092927	-1.126647	0.075479	-0.066533	0.008692	0.297977	0.621810	0.412083	-0.595608
