// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43E23
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-0.041236	0.099531	9.792082	0.010691	0.010677	-0.020024	0.999954	-0.000986	0.000485	0.009494
64469	-0.041879	0.099955	9.792075	0.010094	0.011030	-0.020024	0.999954	-0.000982	0.000494	0.009503
64470	-0.028083	0.085627	9.789959	0.024135	-0.003121	-0.022344	0.999954	-0.000976	0.000483	0.009495
64471	-0.038377	0.118084	9.802357	0.013173	0.029121	-0.009596	0.999954	-0.000991	0.000479	0.009490
64472	-0.053646	0.094710	9.765343	-0.001920	0.005913	-0.046740	0.999954	-0.000989	0.000477	0.009497
64473	-0.030412	0.100812	9.786881	0.021541	0.012251	-0.025271	0.999954	-0.000990	0.000502	0.009500
64474	-0.031233	0.101175	9.786875	0.020965	0.012606	-0.025270	0.999954	-0.000989	0.000505	0.009500
64475	-0.031862	0.101571	9.786869	0.020395	0.012956	-0.025270	0.999954	-0.000987	0.000508	0.009500
64476	-0.046143	0.102514	9.792030	0.006159	0.013470	-0.020024	0.999954	-0.000977	0.000507	0.009513
64477	-0.050513	0.071191	9.784800	0.002352	-0.017914	-0.027515	0.999954	-0.000983	0.000510	0.009509
64478	-0.019798	0.102331	9.781684	0.032386	0.013826	-0.030511	0.999954	-0.000977	0.000500	0.009500
64479	-0.044195	0.096846	9.760127	0.007820	0.008150	-0.051986	0.999954	-0.000990	0.000494	0.009498
64480	-0.038888	0.086048	9.776550	0.013397	-0.002709	-0.035691	0.999954	-0.000973	0.000496	0.009513
64481	-0.040877	0.115189	9.770402	0.010874	0.026281	-0.041562	0.999954	-0.000975	0.000502	0.009492
64482	-0.039522	0.072579	9.779609	0.013179	-0.016318	-0.032752	0.999954	-0.000979	0.000505	0.009502
64483	-0.045838	0.084043	9.763173	0.006494	-0.004738	-0.049048	0.999954	-0.000985	0.000495	0.009511
64484	-0.022359	0.090128	9.784727	0.029883	0.001627	-0.027566	0.999954	-0.000982	0.000497	0.009514
