// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
64468	-9.528652	0.786979	2.669970	-0.076346	-0.210308	0.111688	0.073480	0.607987	0.019707	-0.790293
64469	-9.528902	0.747748	2.687252	-0.106027	-0.172280	0.114018	0.073281	0.608330	0.019514	-0.790053
64470	-9.492615	0.714623	2.663892	-0.106074	-0.141996	0.070901	0.073218	0.608719	0.019661	-0.789756
64471	-9.532701	0.623848	2.648057	-0.102866	-0.051885	0.099956	0.073167	0.609138	0.019994	-0.789429
64472	-9.544758	0.588979	2.650250	-0.116148	-0.024002	0.109966	0.073087	0.609519	0.020415	-0.789132
64473	-9.542436	0.588852	2.608891	-0.086100	-0.028190	0.097051	0.072881	0.609919	0.020820	-0.788831
64474	-9.568869	0.620595	2.624463	-0.099347	-0.068867	0.128217	0.072580	0.610309	0.021190	-0.788547
64475	-9.582671	0.624344	2.601898	-0.082807	-0.079219	0.135886	0.072241	0.610708	0.021577	-0.788258
64476	-9.598310	0.629485	2.600413	-0.085243	-0.093633	0.150741	0.071892	0.611051	0.021961	-0.788014
64477	-9.583994	0.638419	2.612514	-0.106871	-0.115888	0.140246	0.071502	0.611401	0.022299	-0.787768
64478	-9.572596	0.626071	2.606402	-0.112156	-0.113970	0.126845	0.071070	0.611662	0.022542	-0.787598
64479	-9.532133	0.594749	2.574709	-0.101347	-0.091685	0.078002	0.070623	0.611923	0.022719	-0.787430
64480	-9.517454	0.619456	2.619709	-0.150179	-0.130080	0.076148	0.070151	0.612149	0.022741	-0.787296
64481	-9.478485	0.645129	2.595457	-0.136694	-0.162135	0.033595	0.069664	0.612289	0.022758	-0.787230
64482	-9.495967	0.644898	2.610891	-0.149944	-0.168525	0.054184	0.069098	0.612409	0.022715	-0.787188
64483	-9.493142	0.595204	2.612954	-0.160644	-0.126440	0.049348	0.068542	0.612463	0.022742	-0.787194
64484	-9.534868	0.609972	2.615616	-0.152019	-0.145072	0.091002	0.067968	0.612530	0.022750	-0.787191
64485	-9.544554	0.627404	2.611563	-0.143624	-0.167481	0.100119	0.067480	0.612522	0.022745	-0.787239
64486	-9.587735	0.684889	2.590744	-0.105144	-0.224373	0.139413	0.067073	0.612522	0.022796	-0.787273
64487	-9.608612	0.651513	2.581543	-0.093957	-0.194508	0.155642	0.066793	0.612436	0.022975	-0.787358
64488	-9.556967	0.522705	2.536883	-0.077728	-0.071442	0.088498	0.066444	0.612392	0.023042	-0.787420
64489	-9.532850	0.515690	2.582298	-0.126563	-0.075515	0.076080	0.065896	0.612353	0.022821	-0.787503
64490	-9.487487	0.654948	2.616406	-0.151175	-0.222380	0.047061	0.065243	0.612300	0.022354	-0.787612
64491	-9.515616	0.791099	2.622683	-0.131807	-0.355656	0.082129	0.064671	0.612227	0.021888	-0.787728
64492	-9.549787	0.806941	2.567279	-0.066205	-0.362105	0.102200	0.064404	0.612124	0.021652	-0.787837
64493	-9.553513	0.734856	2.586854	-0.090378	-0.291885	0.107397	0.064427	0.612012	0.021648	-0.787923
64494	-9.492602	0.601440	2.576565	-0.109553	-0.162721	0.039796	0.064613	0.611953	0.021782	-0.787949
64495	-9.532254	0.517760	2.612576	-0.144320	-0.080717	0.083279	0.064794	0.611957	0.021932	-0.787927
64496	-9.535318	0.496295	2.593003	-0.127790	-0.056771	0.080376	0.064947	0.611974	0.021991	-0.787900
64497	-9.478226	0.470764	2.569601	-0.122528	-0.032299	0.018141	0.065165	0.611966	0.022096	-0.787885
64498	-9.520529	0.432806	2.463760	-0.016140	0.021642	0.030949	0.065325	0.612030	0.022076	-0.787823
