// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	-9.474795	1.712574	-1.762387	0.001802	0.016137	-0.024409	-0.380108	-0.689189	-0.334710	0.518176
50292	-9.524447	1.756552	-1.720409	0.009354	-0.047651	0.023878	-0.380060	-0.689153	-0.334849	0.518169
50293	-9.485715	1.674788	-1.765525	-0.028386	0.032807	-0.019889	-0.380030	-0.689111	-0.334997	0.518151
50294	-9.474312	1.717961	-1.712272	-0.011919	-0.036069	-0.032891	-0.379844	-0.689143	-0.335036	0.518220
50295	-9.492431	1.721632	-1.730386	-0.002736	-0.025725	-0.011472	-0.379732	-0.689138	-0.335100	0.518267
50296	-9.515970	1.743920	-1.660126	-0.020284	-0.101331	0.002621	-0.379569	-0.689164	-0.335130	0.518333
50297	-9.455261	1.656354	-1.768033	-0.027883	0.038143	-0.052094	-0.379498	-0.689128	-0.335202	0.518386
50298	-9.502995	1.793743	-1.732646	0.063054	-0.065520	0.011681	-0.379363	-0.689140	-0.335249	0.518439
50299	-9.460121	1.610706	-1.804711	-0.046998	0.088794	-0.048716	-0.379250	-0.689135	-0.335296	0.518497
50300	-9.520509	1.762762	-1.699936	0.021451	-0.082923	0.017362	-0.379105	-0.689123	-0.335300	0.518616
50301	-9.466456	1.668673	-1.713860	-0.036662	-0.021695	-0.048786	-0.379004	-0.689092	-0.335378	0.518681
50302	-9.488364	1.642124	-1.712067	-0.062865	-0.012346	-0.032468	-0.378984	-0.689012	-0.335448	0.518757
50303	-9.464529	1.627307	-1.729157	-0.059616	0.011101	-0.055037	-0.378864	-0.689018	-0.335428	0.518849
50304	-9.472787	1.739851	-1.680901	0.013568	-0.088103	-0.036274	-0.378726	-0.689022	-0.335434	0.518941
50305	-9.489301	1.681019	-1.709924	-0.025161	-0.036993	-0.025221	-0.378567	-0.689068	-0.335467	0.518974
50306	-9.470569	1.741594	-1.696944	0.026402	-0.079648	-0.035295	-0.378420	-0.689078	-0.335562	0.519006
