// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	-8.491841	-1.500546	4.692197	-0.013542	0.038338	0.004545	-0.624854	-0.282146	-0.419916	0.594661
50292	-8.479031	-1.500575	4.685189	-0.015202	0.037691	-0.009880	-0.624814	-0.282155	-0.419925	0.594692
50293	-8.492549	-1.515111	4.691242	-0.026736	0.036833	0.006917	-0.624781	-0.282157	-0.419963	0.594700
50294	-8.478910	-1.517149	4.651139	-0.037070	0.063108	-0.023847	-0.624748	-0.282190	-0.419994	0.594696
50295	-8.513567	-1.515444	4.681387	-0.027049	0.053957	0.020376	-0.624703	-0.282233	-0.420015	0.594709
50296	-8.474251	-1.529987	4.662330	-0.047075	0.047211	-0.020513	-0.624661	-0.282270	-0.420079	0.594690
50297	-8.496519	-1.499127	4.684175	-0.010813	0.042945	0.004530	-0.624625	-0.282314	-0.420097	0.594694
50298	-8.491401	-1.497578	4.695838	-0.007044	0.029445	0.005490	-0.624576	-0.282356	-0.420145	0.594691
50299	-8.498528	-1.498246	4.680811	-0.009814	0.044437	0.004524	-0.624534	-0.282397	-0.420186	0.594688
50300	-8.500022	-1.483039	4.677967	0.004689	0.048171	0.002138	-0.624494	-0.282466	-0.420236	0.594661
50301	-8.507681	-1.510500	4.697417	-0.017695	0.029946	0.022289	-0.624459	-0.282510	-0.420276	0.594648
50302	-8.482373	-1.495607	4.682628	-0.007311	0.030824	-0.008939	-0.624416	-0.282546	-0.420313	0.594651
50303	-8.502436	-1.510877	4.674670	-0.022210	0.044228	0.006898	-0.624365	-0.282593	-0.420364	0.594646
50304	-8.490602	-1.495907	4.665685	-0.009712	0.046617	-0.009911	-0.624332	-0.282641	-0.420410	0.594625
50305	-8.492002	-1.480921	4.662927	0.004865	0.050408	-0.012302	-0.624289	-0.282669	-0.420463	0.594619
50306	-8.505241	-1.524416	4.670241	-0.034861	0.043357	0.009279	-0.624249	-0.282707	-0.420507	0.594612
50307	-8.473525	-1.523149	4.669658	-0.035322	0.026894	-0.018590	-0.624211	-0.282745	-0.420553	0.594601
50308	-8.488408	-1.508019	4.672718	-0.018629	0.032161	-0.006562	-0.624166	-0.282805	-0.420626	0.594569
50309	-8.476670	-1.507576	4.663922	-0.020352	0.031440	-0.020982	-0.624105	-0.282894	-0.420716	0.594527
50310	-8.491899	-1.506821	4.666757	-0.017761	0.033678	-0.006565	-0.624031	-0.283004	-0.420815	0.594482
50311	-8.507713	-1.491418	4.668192	-0.001067	0.039004	0.005459	-0.623954	-0.283120	-0.420937	0.594421
50312	-8.522333	-1.478453	4.636787	0.006955	0.071399	0.001110	-0.623868	-0.283215	-0.421063	0.594377
50313	-8.505274	-1.518869	4.675845	-0.025150	0.020226	0.011219	-0.623793	-0.283318	-0.421184	0.594321
