// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	1.023756	3.073193	9.396570	0.024664	0.193018	0.124629	0.074959	-0.042589	-0.167441	-0.982105
50292	1.182981	3.165839	9.412550	-0.117945	0.098735	0.187033	0.074807	-0.042557	-0.167849	-0.982049
50293	1.160572	3.413438	9.563351	-0.050198	-0.068149	0.407342	0.074585	-0.042425	-0.168342	-0.981987
50294	1.186928	3.523406	9.617414	-0.058598	-0.151480	0.497087	0.074450	-0.042331	-0.168245	-0.982018
50295	1.005878	3.319132	9.548798	0.081534	0.035294	0.346056	0.074290	-0.042299	-0.167972	-0.982078
50296	1.129535	3.256404	9.536843	-0.051685	0.067103	0.327540	0.074029	-0.042297	-0.167632	-0.982156
50297	1.095776	3.312254	9.565559	-0.008679	0.022281	0.369213	0.073779	-0.042256	-0.167274	-0.982237
50298	1.177125	3.113158	9.503492	-0.125213	0.168180	0.254574	0.073556	-0.042212	-0.166858	-0.982327
50299	1.138509	3.123070	9.405487	-0.093376	0.126351	0.161694	0.073363	-0.042065	-0.166836	-0.982351
50300	1.016063	3.158704	9.501459	0.034042	0.144515	0.250387	0.073216	-0.041846	-0.167162	-0.982316
50301	0.977204	3.236294	9.614646	0.086543	0.121678	0.377879	0.073000	-0.041719	-0.167442	-0.982290
50302	1.068022	3.222493	9.616094	-0.008059	0.127465	0.384277	0.072711	-0.041660	-0.167573	-0.982292
50303	1.106832	3.260416	9.506823	-0.048371	0.051166	0.298204	0.072430	-0.041631	-0.167545	-0.982318
50304	1.112316	3.270555	9.460369	-0.057389	0.024380	0.258482	0.072215	-0.041476	-0.167487	-0.982351
50305	0.997500	3.405195	9.549733	0.079025	-0.058095	0.374468	0.071880	-0.041431	-0.167341	-0.982402
50306	1.111721	3.355838	9.594650	-0.040770	-0.018255	0.412423	0.071549	-0.041353	-0.166818	-0.982518
50307	0.985525	3.088930	9.624158	0.041812	0.248613	0.339830	0.071149	-0.041273	-0.166555	-0.982596
50308	1.055411	3.165674	9.662700	-0.014745	0.180823	0.408381	0.070701	-0.041320	-0.166757	-0.982592
50309	1.117202	3.282203	9.705031	-0.056200	0.084486	0.492569	0.070261	-0.041379	-0.167075	-0.982567
50310	1.140780	3.299909	9.566584	-0.084228	0.025227	0.370758	0.069924	-0.041525	-0.167398	-0.982529
50311	1.105627	3.346866	9.549358	-0.041801	-0.015124	0.366320	0.069585	-0.041682	-0.167507	-0.982528
50312	1.068336	3.279617	9.513152	-0.015043	0.041134	0.306373	0.069288	-0.041857	-0.167474	-0.982547
50313	1.125061	3.105609	9.515601	-0.094556	0.197582	0.257529	0.068948	-0.042035	-0.167485	-0.982562
50314	1.082842	3.140111	9.545896	-0.043191	0.183727	0.292824	0.068568	-0.042260	-0.167701	-0.982542
