// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43E23
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	-0.034746	0.101168	9.784681	0.012553	-0.014799	-0.027441	0.999954	0.000407	0.000240	0.009615
50292	-0.044160	0.112574	9.780932	0.002873	-0.003529	-0.031008	0.999954	0.000405	0.000237	0.009613
50293	-0.038472	0.081880	9.789057	0.009198	-0.034224	-0.023276	0.999954	0.000409	0.000242	0.009623
50294	-0.038348	0.105652	9.798810	0.008992	-0.010571	-0.013243	0.999954	0.000403	0.000245	0.009615
50295	-0.025446	0.111714	9.784014	0.021540	-0.004039	-0.028027	0.999954	0.000406	0.000226	0.009614
50296	-0.033850	0.096199	9.756360	0.013287	-0.019203	-0.055822	0.999954	0.000384	0.000243	0.009620
50297	-0.029350	0.092196	9.788394	0.018157	-0.023471	-0.023860	0.999954	0.000403	0.000240	0.009621
50298	-0.039526	0.080357	9.774884	0.008071	-0.035499	-0.037461	0.999954	0.000401	0.000236	0.009618
50299	-0.025979	0.109816	9.769845	0.020988	-0.005671	-0.042215	0.999954	0.000397	0.000237	0.009621
50300	-0.038069	0.101133	9.770481	0.009070	-0.014576	-0.041624	0.999954	0.000399	0.000236	0.009613
50301	-0.045717	0.109190	9.752578	0.001202	-0.006452	-0.059393	0.999954	0.000396	0.000238	0.009617
50302	-0.048106	0.112981	9.766716	-0.001198	-0.002967	-0.045200	0.999954	0.000408	0.000234	0.009612
50303	-0.032573	0.094878	9.788358	0.014640	-0.021267	-0.023849	0.999954	0.000421	0.000223	0.009601
50304	-0.031168	0.091755	9.774210	0.015862	-0.024032	-0.038039	0.999954	0.000392	0.000219	0.009609
