// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	-9.580932	0.183137	-1.692160	0.039817	0.008673	-0.081832	0.488609	0.506214	0.577941	-0.413512
50292	-9.613426	0.184818	-1.683037	0.043612	-0.008520	-0.051399	0.488544	0.506258	0.578017	-0.413430
50293	-9.575932	0.103208	-1.770128	-0.048941	0.069792	-0.074350	0.488519	0.506244	0.578117	-0.413336
50294	-9.570173	0.100670	-1.808996	-0.055674	0.106342	-0.073262	0.488456	0.506207	0.578245	-0.413277
50295	-9.595576	0.083336	-1.858372	-0.077898	0.145638	-0.039853	0.488385	0.506199	0.578360	-0.413209
50296	-9.588490	0.046610	-1.854078	-0.112340	0.135715	-0.048063	0.488272	0.506238	0.578407	-0.413230
50297	-9.528557	0.098589	-1.800971	-0.052281	0.100360	-0.115584	0.488099	0.506333	0.578367	-0.413374
50298	-9.561424	0.166274	-1.822080	0.014296	0.123197	-0.078568	0.487952	0.506417	0.578360	-0.413455
50299	-9.547010	0.196522	-1.829395	0.044766	0.135863	-0.091050	0.487872	0.506427	0.578400	-0.413480
50300	-9.536211	0.150026	-1.926319	-0.013085	0.224781	-0.085312	0.487757	0.506495	0.578419	-0.413507
50301	-9.522422	0.164250	-1.867724	0.010323	0.169985	-0.108931	0.487550	0.506641	0.578402	-0.413594
50302	-9.544181	0.180881	-1.851208	0.030980	0.149792	-0.090152	0.487375	0.506753	0.578426	-0.413630
50303	-9.563876	0.180114	-1.858233	0.031252	0.150612	-0.069508	0.487227	0.506821	0.578482	-0.413644
50304	-9.549186	0.143115	-1.834657	-0.000934	0.123113	-0.088581	0.487132	0.506864	0.578532	-0.413633
50305	-9.539960	0.089465	-1.853791	-0.055677	0.134166	-0.094957	0.487024	0.506917	0.578600	-0.413600
50306	-9.556443	0.105727	-1.872809	-0.040573	0.149342	-0.075118	0.486897	0.506970	0.578676	-0.413578
50307	-9.592357	0.157377	-1.883078	0.011160	0.157809	-0.037257	0.486799	0.506993	0.578732	-0.413587
50308	-9.582179	0.137235	-1.889969	-0.008378	0.162446	-0.046291	0.486739	0.506982	0.578791	-0.413588
50309	-9.577357	0.117838	-1.861230	-0.022178	0.131604	-0.056355	0.486641	0.506987	0.578850	-0.413614
50310	-9.615532	0.118885	-1.815257	-0.012755	0.079064	-0.026916	0.486515	0.507032	0.578863	-0.413691
50311	-9.617295	0.108260	-1.738712	-0.010864	0.002334	-0.038892	0.486370	0.507072	0.578838	-0.413845
50312	-9.578507	0.118789	-1.710016	0.005376	-0.016713	-0.082027	0.486266	0.507084	0.578791	-0.414020
50313	-9.582768	0.089347	-1.764671	-0.028444	0.033411	-0.068481	0.486176	0.507070	0.578747	-0.414203
50314	-9.584948	0.085234	-1.819544	-0.037397	0.087530	-0.056654	0.486102	0.507054	0.578716	-0.414354
50315	-9.566750	0.104253	-1.926679	-0.030550	0.199065	-0.055377	0.486006	0.507059	0.578676	-0.414515
50316	-9.535707	0.139965	-1.971810	0.001069	0.254505	-0.077568	0.485909	0.507061	0.578628	-0.414695
50317	-9.493827	0.167597	-1.954896	0.032221	0.249875	-0.121507	0.485817	0.507086	0.578603	-0.414807
50318	-9.549322	0.144546	-1.946179	0.012476	0.228461	-0.068679	0.485723	0.507161	0.578565	-0.414877
50319	-9.574517	0.077413	-1.883538	-0.044309	0.153857	-0.055667	0.485536	0.507315	0.578447	-0.415073
50320	-9.531277	0.096899	-1.879615	-0.023444	0.159767	-0.098702	0.485304	0.507545	0.578286	-0.415286
50321	-9.515675	0.075842	-1.921605	-0.048566	0.199718	-0.106806	0.485102	0.507746	0.578175	-0.415431
50322	-9.513066	0.099001	-1.924925	-0.024769	0.204911	-0.108515	0.484901	0.507925	0.578099	-0.415555
50323	-9.528342	0.039275	-1.922575	-0.082565	0.190592	-0.094457	0.484799	0.508025	0.578088	-0.415566
50324	-9.561974	0.006587	-1.923852	-0.113945	0.180015	-0.061421	0.484656	0.508134	0.578075	-0.415617
50325	-9.557539	0.097724	-1.904898	-0.019791	0.172258	-0.068218	0.484485	0.508249	0.578047	-0.415716
50326	-9.573067	0.104706	-1.934855	-0.015050	0.198116	-0.047506	0.484367	0.508332	0.578051	-0.415745
50327	-9.566232	0.135631	-1.961672	0.013265	0.228330	-0.049131	0.484271	0.508391	0.578027	-0.415818
50328	-9.544850	0.208866	-1.926452	0.091228	0.206475	-0.075745	0.484159	0.508474	0.577981	-0.415912
50329	-9.552822	0.148885	-1.903791	0.035464	0.174682	-0.072501	0.484121	0.508490	0.578010	-0.415896
50330	-9.548693	0.053801	-1.908427	-0.059110	0.167282	-0.076618	0.484114	0.508464	0.578060	-0.415866
50331	-9.543672	-0.007393	-1.901950	-0.118416	0.153452	-0.083269	0.484081	0.508450	0.578116	-0.415845
50332	-9.529345	0.023315	-1.909560	-0.087971	0.165947	-0.095686	0.483995	0.508456	0.578189	-0.415834
50333	-9.505404	0.103066	-1.954149	-0.013123	0.222068	-0.110495	0.483922	0.508422	0.578315	-0.415786
50334	-9.532939	0.145936	-1.957228	0.030427	0.223499	-0.082421	0.483938	0.508356	0.578460	-0.415646
50335	-9.524426	0.101899	-1.964231	-0.014127	0.224118	-0.089887	0.483909	0.508360	0.578567	-0.415527
