// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	-9.648835	-1.334167	-0.503213	-0.049649	-0.004928	-0.059188	0.404554	0.525835	0.501353	-0.555408
50292	-9.645663	-1.321746	-0.457638	-0.044345	-0.051836	-0.066375	0.404530	0.525739	0.501461	-0.555420
50293	-9.646380	-1.371535	-0.467295	-0.088986	-0.034350	-0.058559	0.404487	0.525688	0.501564	-0.555407
50294	-9.637839	-1.296828	-0.447260	-0.018879	-0.068163	-0.077969	0.404350	0.525678	0.501623	-0.555462
50295	-9.652563	-1.339879	-0.496431	-0.047882	-0.015362	-0.055066	0.404297	0.525644	0.501782	-0.555389
50296	-9.640911	-1.395358	-0.502131	-0.100664	-0.001584	-0.058909	0.404146	0.525674	0.501861	-0.555400
50297	-9.623794	-1.324136	-0.542877	-0.023611	0.024460	-0.083129	0.403876	0.525806	0.501827	-0.555502
50298	-9.681753	-1.283212	-0.528185	0.022397	-0.004539	-0.032021	0.403683	0.525875	0.501881	-0.555528
50299	-9.635131	-1.354890	-0.549645	-0.047203	0.030186	-0.067409	0.403552	0.525884	0.502003	-0.555504
50300	-9.650288	-1.350198	-0.512453	-0.045785	-0.011011	-0.055050	0.403335	0.525962	0.502031	-0.555562
50301	-9.606933	-1.323956	-0.503786	-0.025063	-0.023391	-0.101939	0.403148	0.526010	0.502086	-0.555603
50302	-9.657259	-1.366730	-0.551456	-0.049611	0.024571	-0.043775	0.402990	0.526061	0.502150	-0.555612
50303	-9.638453	-1.361014	-0.548695	-0.045208	0.019827	-0.063289	0.402829	0.526100	0.502208	-0.555639
50304	-9.649328	-1.341865	-0.543722	-0.024187	0.008297	-0.055377	0.402687	0.526115	0.502293	-0.555650
50305	-9.649761	-1.359536	-0.560167	-0.036303	0.025304	-0.051640	0.402596	0.526096	0.502405	-0.555634
50306	-9.630080	-1.370748	-0.538014	-0.051717	0.004863	-0.070811	0.402449	0.526098	0.502503	-0.555650
50307	-9.651470	-1.347083	-0.506102	-0.029962	-0.034892	-0.054638	0.402317	0.526105	0.502603	-0.555648
50308	-9.644013	-1.352729	-0.490044	-0.037423	-0.051656	-0.062152	0.402165	0.526117	0.502713	-0.555647
50309	-9.636497	-1.358673	-0.474526	-0.044843	-0.068419	-0.069661	0.402057	0.526085	0.502908	-0.555580
50310	-9.625364	-1.398115	-0.500434	-0.077687	-0.038957	-0.073836	0.401799	0.526206	0.502984	-0.555583
50311	-9.616976	-1.356092	-0.478189	-0.040056	-0.072229	-0.089156	0.401455	0.526390	0.503008	-0.555634
50312	-9.624900	-1.322197	-0.541424	0.008080	-0.022474	-0.082349	0.401085	0.526594	0.503075	-0.555648
50313	-9.642445	-1.364929	-0.548224	-0.028147	-0.015501	-0.058751	0.400831	0.526708	0.503247	-0.555567
50314	-9.650137	-1.427841	-0.595606	-0.077531	0.035696	-0.039698	0.400516	0.526876	0.503357	-0.555536
50315	-9.628723	-1.343800	-0.561201	-0.003018	-0.017752	-0.074478	0.400220	0.527009	0.503512	-0.555483
50316	-9.653877	-1.366821	-0.606182	-0.011418	0.022525	-0.043739	0.399859	0.527198	0.503565	-0.555515
50317	-9.634094	-1.314054	-0.598440	0.037993	0.001215	-0.071066	0.399604	0.527309	0.503732	-0.555443
50318	-9.625321	-1.481360	-0.669016	-0.109897	0.095805	-0.052178	0.399354	0.527365	0.503948	-0.555374
50319	-9.645249	-1.363392	-0.624086	0.001721	0.023221	-0.051611	0.398871	0.527614	0.503878	-0.555547
50320	-9.632155	-1.404664	-0.617851	-0.038564	0.020816	-0.059159	0.398682	0.527655	0.504089	-0.555452
50321	-9.637356	-1.453367	-0.617549	-0.082863	0.024208	-0.047196	0.398326	0.527814	0.504115	-0.555534
50322	-9.630590	-1.410961	-0.627822	-0.037810	0.022620	-0.059160	0.398069	0.527900	0.504221	-0.555539
50323	-9.635170	-1.443760	-0.613373	-0.069525	0.009961	-0.050913	0.397768	0.528036	0.504260	-0.555590
50324	-9.631810	-1.479292	-0.690654	-0.087061	0.088889	-0.044290	0.397451	0.528194	0.504234	-0.555690
50325	-9.640221	-1.365518	-0.638509	0.016486	0.012630	-0.055344	0.397195	0.528306	0.504263	-0.555740
50326	-9.611025	-1.444832	-0.665264	-0.057286	0.052842	-0.071237	0.397136	0.528271	0.504456	-0.555640
