// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF4
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	9.314531	0.115457	4.100221	0.112082	-0.203966	0.362354	-0.587565	-0.401548	0.386215	-0.586826
50292	9.259812	0.058904	3.996160	0.167762	-0.124798	0.270623	-0.587680	-0.401573	0.386222	-0.586688
50293	9.234968	0.160225	4.035696	0.068410	-0.175275	0.265097	-0.587721	-0.401627	0.386424	-0.586478
50294	9.335630	0.214505	4.282747	0.018666	-0.371056	0.453952	-0.587756	-0.401445	0.386985	-0.586198
50295	9.234179	-0.020032	3.999557	0.238547	-0.151436	0.246491	-0.587725	-0.401357	0.387518	-0.585937
50296	9.281499	-0.010054	3.999026	0.226838	-0.141651	0.290134	-0.587699	-0.401567	0.387863	-0.585591
50297	9.315915	0.200163	3.971076	0.017433	-0.114356	0.315610	-0.587652	-0.401748	0.388072	-0.585375
50298	9.341415	0.092422	3.889446	0.123351	-0.032622	0.305716	-0.587644	-0.401753	0.388284	-0.585239
50299	9.403571	0.137944	3.940646	0.079042	-0.060345	0.383634	-0.587783	-0.401701	0.388512	-0.584983
50300	9.337987	0.120983	3.896750	0.093927	-0.047252	0.305921	-0.587889	-0.401661	0.388691	-0.584786
50301	9.273993	0.033566	3.935643	0.180880	-0.107716	0.259703	-0.587952	-0.401599	0.388782	-0.584704
50302	9.241058	0.016179	3.958554	0.197270	-0.142211	0.237608	-0.588043	-0.401510	0.388961	-0.584555
50303	9.282637	0.085571	3.909403	0.125553	-0.083838	0.258822	-0.588146	-0.401379	0.389224	-0.584366
50304	9.324587	0.061160	3.994993	0.150163	-0.149230	0.329641	-0.588193	-0.401312	0.389450	-0.584214
50305	9.297366	0.002790	4.029695	0.208278	-0.194644	0.316390	-0.588238	-0.401389	0.389642	-0.583988
50306	9.369980	0.104885	4.103062	0.108263	-0.242465	0.413364	-0.588210	-0.401472	0.390003	-0.583717
50307	9.374644	0.031061	3.843496	0.175109	-0.005290	0.317795	-0.588249	-0.401394	0.390290	-0.583540
50308	9.389803	0.027993	3.968857	0.178933	-0.118350	0.379220	-0.588342	-0.401323	0.390473	-0.583373
50309	9.393903	0.129627	3.915773	0.075856	-0.070834	0.364971	-0.588377	-0.401329	0.390586	-0.583258
50310	9.340106	0.104328	3.965039	0.100938	-0.138781	0.333275	-0.588416	-0.401318	0.390740	-0.583123
50311	9.330954	0.112921	3.918049	0.090379	-0.102219	0.307191	-0.588422	-0.401322	0.390983	-0.582951
50312	9.321004	0.108942	3.897596	0.091932	-0.090743	0.290161	-0.588445	-0.401258	0.391235	-0.582803
50313	9.306766	0.135438	3.939427	0.063562	-0.137721	0.293267	-0.588504	-0.401157	0.391455	-0.582666
50314	9.358832	0.056193	3.937511	0.141486	-0.117939	0.339207	-0.588526	-0.401112	0.391655	-0.582540
50315	9.355952	0.085408	3.996574	0.111528	-0.176579	0.359339	-0.588595	-0.401047	0.391865	-0.582373
50316	9.389386	0.110642	3.894831	0.083491	-0.073100	0.352459	-0.588647	-0.400984	0.392140	-0.582179
50317	9.350977	0.077411	3.797466	0.113124	0.000210	0.279622	-0.588726	-0.400908	0.392317	-0.582033
50318	9.374008	0.080409	3.831108	0.110078	-0.023406	0.313675	-0.588815	-0.400833	0.392417	-0.581927
50319	9.385054	0.081818	3.849079	0.108466	-0.035273	0.330701	-0.589003	-0.400654	0.392498	-0.581805
50320	9.336057	0.038194	3.862969	0.150864	-0.063957	0.289743	-0.589162	-0.400468	0.392507	-0.581766
50321	9.349368	0.058075	3.891248	0.130713	-0.082503	0.313120	-0.589295	-0.400301	0.392529	-0.581731
50322	9.322379	0.067111	4.008997	0.121544	-0.199703	0.332689	-0.589361	-0.400169	0.392564	-0.581731
50323	9.322804	0.077240	3.983338	0.109446	-0.174811	0.323637	-0.589394	-0.400063	0.392647	-0.581716
50324	9.314271	0.031286	3.931893	0.153034	-0.129925	0.295533	-0.589486	-0.399945	0.392764	-0.581623
