// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	0.736070	0.269494	9.759462	0.002834	0.073459	-0.022074	0.974511	-0.000303	-0.041355	-0.220495
50292	0.781142	0.120704	9.753830	-0.015893	-0.075403	-0.027188	0.974466	-0.000424	-0.041192	-0.220726
50293	0.714161	0.228698	9.787178	-0.029552	0.049035	0.003009	0.974417	-0.000149	-0.041025	-0.220970
50294	0.705133	0.339729	9.798939	0.010543	0.147121	0.016355	0.974363	0.000137	-0.040925	-0.221228
50295	0.864282	0.430776	9.777884	0.196159	0.155595	0.009577	0.974324	0.000266	-0.040760	-0.221432
50296	0.780535	0.297690	9.857362	0.060549	0.070632	0.079571	0.974292	0.000259	-0.040558	-0.221607
50297	0.711407	0.271346	9.953150	-0.016541	0.076234	0.169238	0.974275	0.000347	-0.040343	-0.221720
50298	0.759576	0.302523	9.864455	0.050101	0.078907	0.085151	0.974269	0.000523	-0.040188	-0.221775
50299	0.807790	0.395027	9.861889	0.136626	0.139755	0.088183	0.974285	0.000443	-0.040003	-0.221741
50300	0.768912	0.244367	9.801506	0.046027	0.022187	0.021836	0.974311	0.000192	-0.039770	-0.221667
50301	0.796874	0.172507	9.810221	0.044777	-0.051164	0.031122	0.974344	-0.000007	-0.039554	-0.221560
50302	0.733226	0.132300	9.888172	-0.031294	-0.056633	0.103304	0.974368	-0.000117	-0.039387	-0.221487
50303	0.693170	0.164275	9.822321	-0.045787	-0.009743	0.035321	0.974371	-0.000234	-0.039321	-0.221482
50304	0.789491	0.097117	9.688912	0.023269	-0.113063	-0.091863	0.974372	-0.000224	-0.039266	-0.221491
50305	0.767635	0.102123	9.815986	-0.003379	-0.100460	0.033285	0.974352	0.000069	-0.039207	-0.221589
50306	0.764825	0.294925	9.978603	0.064179	0.069849	0.199078	0.974322	0.000476	-0.039199	-0.221722
50307	0.817272	0.391543	9.879844	0.159041	0.127169	0.106541	0.974308	0.000664	-0.039219	-0.221776
50308	0.835260	0.342874	9.851930	0.155474	0.072745	0.079040	0.974329	0.000733	-0.039223	-0.221684
50309	0.759053	0.335287	9.946667	0.076155	0.098943	0.167752	0.974369	0.000793	-0.039233	-0.221505
50310	0.697498	0.310456	9.981645	0.007341	0.102794	0.197583	0.974423	0.000828	-0.039214	-0.221271
50311	0.661640	0.254433	9.782965	-0.033293	0.068000	-0.004366	0.974476	0.000519	-0.039216	-0.221041
50312	0.661544	0.099991	9.756199	-0.096572	-0.065742	-0.034272	0.974519	0.000223	-0.039218	-0.220850
50313	0.751890	-0.053244	9.838322	-0.087033	-0.238825	0.051193	0.974545	0.000223	-0.039253	-0.220728
50314	0.719576	0.088724	9.873604	-0.059512	-0.099461	0.086822	0.974548	0.000581	-0.039326	-0.220702
50315	0.704866	0.194890	9.838185	-0.027698	-0.004472	0.052601	0.974539	0.000959	-0.039428	-0.220724
50316	0.764884	0.308753	9.803912	0.074665	0.066926	0.025351	0.974543	0.001162	-0.039525	-0.220685
50317	0.847934	0.334089	9.773638	0.160424	0.053320	0.001895	0.974568	0.001054	-0.039632	-0.220555
50318	0.825024	0.219008	9.841912	0.084493	-0.035859	0.065745	0.974602	0.000793	-0.039681	-0.220397
50319	0.826314	0.088255	9.765551	0.035758	-0.149338	-0.013046	0.974642	0.000455	-0.039731	-0.220212
50320	0.761211	-0.011311	9.606941	-0.053166	-0.208202	-0.178026	0.974678	0.000281	-0.039776	-0.220047
50321	0.683536	0.033470	9.620348	-0.104313	-0.130394	-0.169474	0.974699	0.000060	-0.039762	-0.219956
50322	0.650109	-0.030807	9.631667	-0.160485	-0.167802	-0.161849	0.974682	-0.000394	-0.039681	-0.220045
50323	0.765967	-0.114148	9.641421	-0.089260	-0.285351	-0.144836	0.974629	-0.000763	-0.039575	-0.220299
50324	0.760553	-0.060271	9.656291	-0.069859	-0.231173	-0.129314	0.974553	-0.000770	-0.039502	-0.220646
50325	0.823462	0.114660	9.684607	0.060913	-0.102021	-0.093185	0.974474	-0.000604	-0.039401	-0.221016
50326	0.761601	0.261355	9.697614	0.069669	0.055093	-0.082108	0.974404	-0.000642	-0.039232	-0.221352
50327	0.771304	0.112469	9.831738	0.007405	-0.081768	0.049558	0.974335	-0.000667	-0.039069	-0.221685
50328	0.687378	0.198102	9.849527	-0.030028	0.028965	0.062694	0.974291	-0.000419	-0.038928	-0.221906
50329	0.647770	0.328734	9.988225	-0.017964	0.160580	0.200613	0.974248	-0.000196	-0.038806	-0.222116
50330	0.771760	0.284288	9.864139	0.084645	0.061293	0.085128	0.974220	-0.000086	-0.038728	-0.222250
50331	0.785140	0.293390	9.755002	0.109358	0.058521	-0.022529	0.974213	0.000142	-0.038660	-0.222294
50332	0.651594	0.303609	9.899762	-0.016289	0.123707	0.112355	0.974215	0.000277	-0.038578	-0.222298
50333	0.674752	0.207768	9.850200	-0.032508	0.025440	0.062696	0.974212	0.000242	-0.038556	-0.222317
50334	0.618874	0.143434	9.688988	-0.098228	-0.009921	-0.103396	0.974201	0.000211	-0.038550	-0.222364
50335	0.587336	0.159325	9.683704	-0.118732	0.018289	-0.110624	0.974169	0.000193	-0.038505	-0.222513
50336	0.663805	0.087158	9.719866	-0.083393	-0.081226	-0.070487	0.974127	0.000371	-0.038450	-0.222708
50337	0.715444	0.271427	9.790344	0.038088	0.058914	0.007264	0.974085	0.000602	-0.038363	-0.222906
50338	0.761307	0.388871	9.799029	0.131202	0.141345	0.021670	0.974061	0.000674	-0.038214	-0.223035
50339	0.742308	0.386467	9.734204	0.121215	0.147314	-0.044438	0.974069	0.000453	-0.038045	-0.223030
50340	0.789225	0.263936	9.714836	0.116531	0.020321	-0.062991	0.974095	0.000163	-0.037811	-0.222955
50341	0.749669	0.203901	9.822344	0.051906	-0.013799	0.040187	0.974124	0.000217	-0.037604	-0.222863
50342	0.699402	0.238867	9.877050	0.020929	0.036715	0.091885	0.974156	0.000452	-0.037440	-0.222751
50343	0.764014	0.416306	9.845515	0.160409	0.163861	0.068538	0.974195	0.000598	-0.037287	-0.222606
50344	0.703513	0.398513	9.777669	0.107368	0.175587	-0.003804	0.974263	0.000144	-0.037071	-0.222346
50345	0.752987	0.213137	9.839477	0.074142	-0.003001	0.057581	0.974325	-0.000441	-0.036798	-0.222117
50346	0.782221	0.018251	9.938508	0.015614	-0.182655	0.154887	0.974382	-0.000702	-0.036603	-0.221900
50347	0.700900	0.110397	9.817511	-0.005763	-0.065688	0.030210	0.974440	-0.000541	-0.036474	-0.221667
50348	0.719081	0.243022	9.725371	0.075928	0.042387	-0.058128	0.974505	-0.000481	-0.036383	-0.221395
50349	0.609257	0.125451	9.737298	-0.071911	-0.014780	-0.055818	0.974574	-0.000711	-0.036252	-0.221110
50350	0.638763	0.088616	9.785463	-0.059881	-0.053808	-0.006329	0.974624	-0.001193	-0.036062	-0.220921
50351	0.649566	-0.119681	9.789628	-0.135324	-0.239101	-0.004651	0.974624	-0.001537	-0.035941	-0.220939
50352	0.676284	0.049895	9.713162	-0.031435	-0.096836	-0.076415	0.974591	-0.001426	-0.035944	-0.221083
50353	0.676406	0.148321	9.576194	0.018785	-0.014722	-0.211518	0.974557	-0.001050	-0.035998	-0.221226
50354	0.651908	0.248310	9.494336	0.042696	0.077411	-0.293169	0.974542	-0.000610	-0.036051	-0.221287
50355	0.618347	0.229411	9.281353	0.017131	0.065272	-0.508176	0.974542	-0.000322	-0.036034	-0.221288
50356	0.608395	0.176618	9.140996	-0.004340	0.014977	-0.649778	0.974550	-0.000083	-0.035865	-0.221283
50357	0.772204	0.055327	8.852079	0.114954	-0.172819	-0.929244	0.974563	0.000006	-0.035457	-0.221292
50358	0.712494	0.008088	8.624136	0.065240	-0.198430	-1.161688	0.974588	0.000358	-0.034720	-0.221299
50359	0.628381	-0.034974	8.427299	-0.002337	-0.214136	-1.364636	0.974629	0.000905	-0.033623	-0.221286
50360	0.444251	-0.027773	8.177856	-0.129591	-0.144336	-1.625028	0.974678	0.001455	-0.032096	-0.221295
50361	0.315755	-0.195581	7.868972	-0.272983	-0.255601	-1.943841	0.974698	0.001757	-0.030160	-0.221476
50362	0.095002	-0.197310	7.486698	-0.418949	-0.172149	-2.336501	0.974666	0.001539	-0.027872	-0.221916
50363	-0.311929	-0.497718	7.015282	-0.853386	-0.267261	-2.829896	0.974551	0.000351	-0.025250	-0.222740
50364	-0.684459	-1.069170	6.201381	-1.357478	-0.612131	-3.660362	0.974309	-0.001639	-0.022139	-0.224117
50365	-0.837989	-1.583036	5.993618	-1.668937	-0.995479	-3.866666	0.973883	-0.002714	-0.018208	-0.226302
50366	-0.753037	-1.711896	6.553715	-1.618981	-1.144377	-3.292115	0.973286	-0.002222	-0.013270	-0.229203
50367	-0.994524	-1.332916	7.109157	-1.617802	-0.715294	-2.729155	0.972569	-0.000536	-0.007557	-0.232493
50368	-1.324237	-1.122339	6.970841	-1.742202	-0.410101	-2.855545	0.971806	0.001133	-0.001261	-0.235778
50369	-1.924455	-0.505418	6.415001	-1.908505	0.395478	-3.385272	0.971081	0.001104	0.005762	-0.238676
50370	-2.392891	-0.869092	5.778791	-2.402450	0.301596	-3.980719	0.970308	-0.001621	0.014134	-0.241454
50371	-1.974459	-1.651051	6.331834	-2.264592	-0.567132	-3.388916	0.969300	-0.004721	0.024314	-0.244631
50372	-1.869950	-2.314369	7.109149	-2.303163	-1.193520	-2.555848	0.968014	-0.006311	0.035677	-0.248265
50373	-2.487640	-1.933762	7.299434	-2.482611	-0.575173	-2.281910	0.966486	-0.006244	0.047710	-0.252168
50374	-3.172050	-1.393453	7.222902	-2.644090	0.201708	-2.253668	0.964733	-0.005187	0.060323	-0.256174
50375	-3.336215	-0.375255	7.656235	-2.028335	1.124883	-1.781179	0.962773	-0.005664	0.073771	-0.259988
50376	-3.593144	-0.739713	7.459596	-2.222592	0.936024	-1.857706	0.960558	-0.008964	0.088644	-0.263421
50377	-4.082508	-0.787312	7.267744	-2.424643	1.175491	-1.885611	0.957984	-0.014944	0.105216	-0.266409
50378	-4.667691	-1.239615	7.051918	-2.881317	1.153153	-1.849556	0.954912	-0.023653	0.123521	-0.268934
50379	-5.240134	-1.547770	7.285893	-3.103696	1.266373	-1.345757	0.951339	-0.033749	0.142732	-0.271002
50380	-4.888126	-2.133767	7.057171	-2.809592	0.686770	-1.453791	0.947244	-0.044971	0.162399	-0.272640
50381	-4.795698	-2.739863	7.028767	-2.670214	0.217766	-1.285226	0.942527	-0.054548	0.182665	-0.274410
50382	-5.027552	-3.370163	7.469530	-2.600832	-0.131491	-0.558986	0.937219	-0.060956	0.203666	-0.276451
50383	-5.772747	-4.019065	7.689733	-2.976476	-0.273863	0.170205	0.931404	-0.062733	0.225183	-0.279004
50384	-6.660558	-3.509087	8.272112	-2.689197	0.549125	1.029523	0.925412	-0.059596	0.245729	-0.282272
50385	-7.011190	-3.025756	7.635457	-2.608266	1.019804	0.615814	0.919193	-0.053372	0.265180	-0.286208
