// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	-9.706762	-0.582999	-1.584282	0.164969	0.099970	0.037890	0.352115	0.606661	0.450180	-0.552554
50292	-9.693813	-0.652179	-1.546003	0.087687	0.091166	0.024460	0.352206	0.606556	0.450248	-0.552555
50293	-9.641796	-0.857550	-1.515681	-0.114119	0.144759	-0.016620	0.352108	0.606542	0.450221	-0.552656
50294	-9.625388	-0.766715	-1.445233	-0.053111	0.049123	-0.049522	0.351815	0.606679	0.450140	-0.552757
50295	-9.688526	-0.837115	-1.637075	-0.046857	0.238104	0.045782	0.351597	0.606762	0.450119	-0.552823
50296	-9.750365	-0.692002	-1.532134	0.054230	0.077266	0.081098	0.351037	0.607025	0.449853	-0.553106
50297	-9.710611	-0.634505	-1.556577	0.118512	0.084954	0.041258	0.351044	0.606976	0.449812	-0.553188
50298	-9.585909	-0.804098	-1.661606	-0.002010	0.263154	-0.054208	0.351073	0.606888	0.449883	-0.553209
50299	-9.652056	-0.627688	-1.411323	0.074396	-0.041508	-0.038192	0.350779	0.607015	0.449773	-0.553346
50300	-9.653770	-0.744347	-1.485964	-0.005607	0.066324	-0.017128	0.350581	0.607110	0.449740	-0.553393
50301	-9.639171	-0.808910	-1.642370	-0.007714	0.233433	-0.003977	0.350254	0.607284	0.449582	-0.553537
50302	-9.650746	-0.764394	-1.521858	-0.007821	0.101906	-0.013361	0.349796	0.607518	0.449412	-0.553708
50303	-9.669925	-0.743596	-1.496786	0.004926	0.064995	0.000390	0.349513	0.607631	0.449368	-0.553799
50304	-9.709290	-0.698718	-1.522475	0.059275	0.063916	0.039665	0.349344	0.607620	0.449406	-0.553887
50305	-9.705679	-0.648179	-1.363112	0.050208	-0.101973	0.008998	0.349109	0.607717	0.449349	-0.553975
50306	-9.657016	-0.757925	-1.469688	-0.012177	0.041684	-0.015213	0.348977	0.607757	0.449332	-0.554029
50307	-9.695847	-0.753949	-1.568414	0.030360	0.122817	0.037278	0.348672	0.607858	0.449263	-0.554165
50308	-9.682140	-0.737828	-1.578166	0.051768	0.125454	0.023999	0.348314	0.607980	0.449198	-0.554310
50309	-9.655006	-0.701571	-1.517968	0.066161	0.058003	-0.014329	0.347848	0.608176	0.449065	-0.554494
50310	-9.599795	-0.728896	-1.617419	0.079748	0.165115	-0.052064	0.347439	0.608347	0.448891	-0.554704
50311	-9.702834	-0.799474	-1.633801	0.024793	0.186728	0.057367	0.347170	0.608446	0.448798	-0.554840
50312	-9.665250	-0.725984	-1.547662	0.062586	0.086264	0.001996	0.347086	0.608432	0.448793	-0.554912
50313	-9.692504	-0.814001	-1.488702	-0.038842	0.059916	0.026945	0.347201	0.608266	0.448940	-0.554903
50314	-9.670661	-0.746784	-1.518596	0.036541	0.066418	0.004632	0.347005	0.608288	0.448910	-0.555025
50315	-9.654905	-0.743708	-1.481143	0.027436	0.032036	-0.016653	0.346715	0.608429	0.448788	-0.555152
50316	-9.606193	-0.835737	-1.669341	0.013575	0.243538	-0.029815	0.346135	0.608728	0.448482	-0.555432
50317	-9.655315	-0.778036	-1.604082	0.045870	0.151365	0.004568	0.345885	0.608865	0.448440	-0.555472
50318	-9.616686	-0.856830	-1.777752	0.038566	0.344327	-0.001716	0.345879	0.608764	0.448501	-0.555537
50319	-9.691376	-0.788018	-1.419858	-0.027486	-0.022460	0.013730	0.345611	0.608850	0.448508	-0.555604
50320	-9.694047	-0.734628	-1.395281	0.014717	-0.067675	0.008526	0.345357	0.608974	0.448436	-0.555684
50321	-9.658325	-0.845109	-1.495659	-0.049059	0.068551	-0.003134	0.345035	0.609118	0.448286	-0.555847
50322	-9.626620	-0.860108	-1.654454	-0.001817	0.222512	-0.009662	0.344667	0.609301	0.448133	-0.555997
50323	-9.648375	-0.823842	-1.675682	0.041554	0.222518	0.012104	0.344590	0.609317	0.448207	-0.555969
50324	-9.669702	-0.805250	-1.536477	0.007894	0.082252	0.011033	0.344481	0.609320	0.448336	-0.555928
50325	-9.656654	-0.677727	-1.439983	0.091150	-0.053670	-0.026338	0.344343	0.609323	0.448442	-0.555925
50326	-9.650345	-0.771769	-1.496426	0.026651	0.031908	-0.016650	0.344314	0.609286	0.448486	-0.555949
50327	-9.660075	-0.849763	-1.514098	-0.037259	0.074593	0.001827	0.344113	0.609353	0.448396	-0.556072
50328	-9.750092	-0.812158	-1.585506	0.027800	0.110283	0.098155	0.343882	0.609472	0.448234	-0.556215
50329	-9.671815	-0.846938	-1.542718	-0.020670	0.097940	0.017433	0.343998	0.609344	0.448265	-0.556259
50330	-9.586826	-0.839146	-1.565503	-0.004948	0.131463	-0.063590	0.343930	0.609306	0.448262	-0.556345
50331	-9.647470	-0.818105	-1.679472	0.060721	0.217558	0.011394	0.343754	0.609338	0.448202	-0.556467
50332	-9.663383	-0.716031	-1.610579	0.131562	0.113498	0.008588	0.343664	0.609333	0.448231	-0.556505
50333	-9.618649	-0.795835	-1.650102	0.073128	0.185879	-0.023168	0.343646	0.609286	0.448287	-0.556522
50334	-9.588065	-0.853086	-1.608261	0.004879	0.173298	-0.054860	0.343519	0.609327	0.448242	-0.556593
50335	-9.566010	-0.872461	-1.592430	-0.018528	0.168360	-0.077345	0.343386	0.609394	0.448245	-0.556598
50336	-9.625888	-0.868319	-1.548233	-0.029692	0.114034	-0.025204	0.343289	0.609434	0.448318	-0.556555
50337	-9.690311	-0.835534	-1.518351	-0.008446	0.061091	0.031186	0.343038	0.609551	0.448273	-0.556619
50338	-9.710280	-0.794410	-1.575359	0.053021	0.092067	0.056005	0.342752	0.609697	0.448164	-0.556722
50339	-9.683703	-0.755110	-1.515579	0.067412	0.024752	0.017680	0.342531	0.609809	0.448150	-0.556747
50340	-9.651294	-0.719433	-1.479726	0.087704	-0.018084	-0.022559	0.342334	0.609864	0.448112	-0.556839
50341	-9.642869	-0.738776	-1.458255	0.062993	-0.030509	-0.032486	0.342197	0.609914	0.448091	-0.556885
50342	-9.678315	-0.859540	-1.616520	0.013004	0.152142	0.036090	0.342232	0.609848	0.448161	-0.556879
50343	-9.670191	-0.877556	-1.593707	-0.011665	0.139698	0.026161	0.342427	0.609650	0.448374	-0.556804
50344	-9.666203	-0.885569	-1.503471	-0.052414	0.060766	0.009415	0.342466	0.609566	0.448515	-0.556759
50345	-9.655958	-0.898070	-1.439123	-0.087421	0.006489	-0.009247	0.342273	0.609639	0.448537	-0.556781
50346	-9.593344	-0.881661	-1.606062	-0.009742	0.159466	-0.047264	0.342106	0.609747	0.448674	-0.556655
50347	-9.653136	-0.860192	-1.724617	0.055921	0.245622	0.027730	0.342124	0.609718	0.448855	-0.556528
50348	-9.677052	-0.827143	-1.632147	0.052858	0.142215	0.034667	0.341891	0.609803	0.448835	-0.556596
50349	-9.649166	-0.849068	-1.561963	0.006968	0.089246	-0.001518	0.341718	0.609878	0.448765	-0.556676
50350	-9.623088	-0.946167	-1.646617	-0.050569	0.206845	-0.006309	0.341791	0.609811	0.448796	-0.556680
50351	-9.598113	-0.864041	-1.591689	0.004117	0.129888	-0.046064	0.341616	0.609941	0.448749	-0.556682
50352	-9.687728	-0.707543	-1.436564	0.092774	-0.087272	0.005672	0.341430	0.609993	0.448745	-0.556742
50353	-9.733219	-0.728570	-1.551320	0.119498	0.015914	0.069541	0.341338	0.609988	0.448771	-0.556783
50354	-9.734646	-0.823793	-1.545409	0.030940	0.046005	0.078075	0.341312	0.609930	0.448712	-0.556910
50355	-9.667319	-0.961301	-1.557973	-0.091314	0.122861	0.025249	0.341386	0.609847	0.448607	-0.557041
50356	-9.658008	-0.903711	-1.454928	-0.076092	0.012370	-0.004289	0.341207	0.609944	0.448290	-0.557299
50357	-9.861699	-0.937457	-1.363095	-0.136274	-0.089486	0.185482	0.341068	0.610010	0.447898	-0.557627
50358	-9.965050	-1.111559	-1.318116	-0.310062	-0.075045	0.295400	0.341038	0.610008	0.447310	-0.558119
50359	-9.815058	-1.276471	-1.067260	-0.559786	-0.203880	0.124557	0.340922	0.610120	0.446419	-0.558781
50360	-9.985704	-1.272163	-0.642135	-0.714717	-0.603670	0.230706	0.340655	0.610386	0.445020	-0.559768
50361	-10.305410	-1.368390	-0.329018	-0.918062	-0.874102	0.510838	0.340498	0.610627	0.442761	-0.561390
50362	-10.540699	-1.357190	-0.068130	-1.006947	-1.099340	0.710147	0.340595	0.610839	0.439354	-0.563772
50363	-10.667435	-1.334799	0.289821	-1.131568	-1.368616	0.794171	0.341416	0.610747	0.434893	-0.566827
50364	-10.578932	-1.398385	0.365235	-1.230954	-1.281841	0.715504	0.343423	0.610054	0.429635	-0.570358
50365	-10.395474	-1.412650	0.243179	-1.210573	-0.993505	0.563529	0.346390	0.609080	0.423384	-0.574267
