// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
50291	1.908778	0.263030	9.476350	0.063995	0.152643	-0.143849	-0.991928	0.004302	0.100880	0.076699
50292	1.907312	0.017222	9.419721	0.038978	-0.084964	-0.202249	-0.991940	0.004477	0.100687	0.076788
50293	1.782290	0.100172	9.578481	-0.096894	0.016186	-0.069780	-0.991939	0.004059	0.100530	0.077029
50294	1.893835	0.365383	9.615849	0.046925	0.252217	-0.008666	-0.991931	0.003548	0.100385	0.077345
50295	2.004620	0.448167	9.605370	0.171349	0.310022	0.003474	-0.991933	0.003425	0.100250	0.077504
50296	1.937874	0.271959	9.521204	0.099100	0.144847	-0.094054	-0.991946	0.003629	0.100042	0.077604
50297	1.929132	0.141404	9.570141	0.067735	0.018025	-0.049275	-0.991986	0.003489	0.099583	0.077679
50298	1.884058	0.290162	9.705029	0.030814	0.168114	0.076308	-0.992041	0.003081	0.099033	0.077700
50299	1.920235	0.486463	9.795710	0.087730	0.352749	0.174692	-0.992086	0.003015	0.098669	0.077597
50300	1.877864	0.287275	9.695134	0.040874	0.165178	0.065347	-0.992122	0.003542	0.098464	0.077373
50301	1.849446	-0.005770	9.593747	-0.009057	-0.112586	-0.042953	-0.992146	0.003939	0.098378	0.077155
50302	1.919702	-0.018721	9.586424	0.061797	-0.131503	-0.037002	-0.992175	0.004019	0.098174	0.077038
50303	1.794205	0.085002	9.658031	-0.051869	-0.008199	0.010815	-0.992217	0.003999	0.097810	0.076954
50304	1.796780	0.008797	9.637939	-0.052040	-0.084552	-0.009193	-0.992240	0.004021	0.097648	0.076869
50305	1.819690	-0.053407	9.591171	-0.029780	-0.152408	-0.051511	-0.992230	0.003795	0.097713	0.076929
50306	1.979640	0.147017	9.629625	0.149332	0.013625	0.018272	-0.992232	0.003192	0.097539	0.077140
50307	1.984863	0.502693	9.766401	0.187443	0.356306	0.157914	-0.992260	0.002814	0.097228	0.077191
50308	1.916687	0.394330	9.776432	0.106604	0.256724	0.153784	-0.992282	0.002897	0.097131	0.077031
50309	1.886774	0.246167	9.724766	0.064605	0.114823	0.095604	-0.992290	0.002853	0.097220	0.076814
50310	1.872137	0.293865	9.727010	0.056528	0.162625	0.095710	-0.992317	0.002680	0.097186	0.076522
50311	1.758539	0.273339	9.713901	-0.053275	0.161146	0.061433	-0.992352	0.002982	0.097105	0.076153
50312	1.669281	-0.071103	9.597985	-0.170431	-0.159839	-0.073166	-0.992360	0.003430	0.097246	0.075849
50313	1.817748	-0.213286	9.511048	-0.034542	-0.319717	-0.132485	-0.992353	0.003378	0.097458	0.075673
50314	1.830597	-0.057962	9.567439	-0.011803	-0.172374	-0.073053	-0.992354	0.002847	0.097475	0.075651
50315	1.838194	0.178323	9.665025	0.012852	0.051430	0.027061	-0.992360	0.002337	0.097382	0.075712
50316	1.876914	0.304190	9.725772	0.058583	0.162410	0.095701	-0.992369	0.001980	0.097356	0.075643
50317	1.969438	0.381579	9.667408	0.169668	0.222382	0.056701	-0.992370	0.002116	0.097487	0.075457
50318	1.947936	0.152540	9.595108	0.127101	0.004096	-0.021485	-0.992388	0.002537	0.097489	0.075197
50319	1.880629	0.004774	9.606376	0.038604	-0.123756	-0.024816	-0.992408	0.002895	0.097449	0.074974
50320	1.733691	-0.092447	9.529489	-0.105020	-0.193842	-0.128846	-0.992412	0.003046	0.097622	0.074698
50321	1.696562	-0.142250	9.423191	-0.133630	-0.234615	-0.240740	-0.992384	0.003311	0.098008	0.074547
50322	1.757368	-0.131175	9.332355	-0.060600	-0.226127	-0.318289	-0.992364	0.003845	0.098169	0.074574
50323	1.824455	-0.298438	9.287461	-0.010864	-0.392293	-0.351154	-0.992368	0.004389	0.097973	0.074751
50324	1.790134	-0.279862	9.370176	-0.051732	-0.363932	-0.276023	-0.992375	0.004293	0.097634	0.075108
50325	1.849858	0.096673	9.536166	0.036788	-0.003458	-0.098347	-0.992369	0.003877	0.097369	0.075554
50326	1.828873	0.344292	9.651595	0.036131	0.242762	0.013622	-0.992354	0.004016	0.097203	0.075959
50327	1.863442	0.067110	9.586643	0.043232	-0.033961	-0.046541	-0.992339	0.004351	0.097069	0.076300
50328	1.775392	0.061099	9.587894	-0.041352	-0.026520	-0.061737	-0.992325	0.004105	0.096992	0.076596
50329	1.863663	0.361260	9.727250	0.066526	0.252203	0.094639	-0.992325	0.003698	0.096783	0.076875
50330	1.946287	0.343361	9.749072	0.145588	0.216677	0.131265	-0.992354	0.003616	0.096397	0.076998
50331	1.734096	0.160247	9.733832	-0.082016	0.064309	0.075153	-0.992356	0.003393	0.096399	0.076977
50332	1.818417	0.301402	9.697361	0.025834	0.186492	0.056499	-0.992330	0.003211	0.096599	0.077068
50333	1.857325	0.221134	9.625936	0.062760	0.098852	-0.007409	-0.992339	0.003265	0.096564	0.076996
50334	1.608293	0.006449	9.589373	-0.204572	-0.073803	-0.091812	-0.992345	0.003423	0.096561	0.076914
50335	1.605217	0.030473	9.514645	-0.191392	-0.048936	-0.165558	-0.992316	0.003464	0.096711	0.077101
50336	1.778799	0.023252	9.427912	-0.010433	-0.084177	-0.218783	-0.992285	0.003431	0.096808	0.077380
50337	1.825258	0.185964	9.453710	0.054792	0.066175	-0.182973	-0.992279	0.003126	0.096689	0.077619
50338	1.936793	0.435407	9.545251	0.188460	0.291231	-0.069371	-0.992296	0.002904	0.096373	0.077801
50339	1.869279	0.459054	9.593405	0.124922	0.324675	-0.034276	-0.992341	0.003085	0.095950	0.077735
50340	1.817263	0.219944	9.560550	0.050527	0.100781	-0.079126	-0.992381	0.003432	0.095699	0.077518
50341	1.770078	0.028972	9.556951	-0.020246	-0.077741	-0.093486	-0.992402	0.003390	0.095589	0.077389
50342	1.852598	0.177503	9.659502	0.066692	0.053804	0.024093	-0.992422	0.002997	0.095396	0.077385
50343	1.852713	0.467174	9.714047	0.104118	0.333755	0.081314	-0.992451	0.002668	0.095244	0.077214
50344	1.851635	0.521859	9.691097	0.118507	0.390024	0.059095	-0.992490	0.003213	0.095113	0.076860
50345	1.868205	0.023527	9.520730	0.094121	-0.093809	-0.111277	-0.992541	0.004058	0.094872	0.076452
50346	1.914251	-0.184750	9.525279	0.115132	-0.296507	-0.100414	-0.992611	0.004251	0.094309	0.076236
50347	1.749911	0.094772	9.728651	-0.027598	0.005155	0.072505	-0.992683	0.003789	0.093724	0.076039
50348	1.703900	0.332728	9.850111	-0.051886	0.242707	0.186166	-0.992713	0.003580	0.093628	0.075776
50349	1.647244	0.150616	9.698979	-0.108652	0.071554	0.025471	-0.992718	0.004030	0.093868	0.075392
50350	1.681081	-0.156506	9.475282	-0.086049	-0.228951	-0.191271	-0.992707	0.004746	0.094165	0.075125
50351	1.758333	-0.326670	9.417501	-0.027117	-0.397883	-0.235177	-0.992707	0.005243	0.094076	0.075198
50352	1.716358	-0.127936	9.507817	-0.051137	-0.191678	-0.152383	-0.992715	0.004977	0.093837	0.075413
50353	1.685757	0.225798	9.569913	-0.038186	0.155740	-0.094134	-0.992688	0.004452	0.093936	0.075671
50354	1.707335	0.342351	9.411926	0.023022	0.256527	-0.244501	-0.992647	0.004108	0.094353	0.075713
50355	1.606494	0.209935	9.121263	-0.051987	0.131913	-0.549739	-0.992600	0.004004	0.094889	0.075667
50356	1.669643	0.025083	8.780103	0.034153	-0.067356	-0.875527	-0.992559	0.003921	0.095343	0.075638
