// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-9.560109	1.469521	-1.827082	0.040900	-0.015415	0.030660	-0.347546	-0.700129	-0.316152	0.537661
54637	-9.489973	1.343129	-1.864079	-0.025280	0.092752	-0.049024	-0.347539	-0.700089	-0.316120	0.537736
54638	-9.541819	1.531826	-1.753476	0.057377	-0.107822	0.008339	-0.347488	-0.700108	-0.316026	0.537800
54639	-9.478217	1.386574	-1.829369	-0.004388	0.042724	-0.060563	-0.347646	-0.699966	-0.316114	0.537830
54640	-9.552316	1.469868	-1.756996	0.008881	-0.067875	0.010225	-0.347556	-0.699982	-0.316028	0.537919
54641	-9.513406	1.467455	-1.793759	0.036964	-0.032523	-0.021188	-0.347616	-0.699878	-0.316041	0.538008
54642	-9.552313	1.424844	-1.688534	-0.061178	-0.096308	-0.008862	-0.347565	-0.699842	-0.316001	0.538111
54643	-9.489632	1.412383	-1.801612	0.005526	0.008589	-0.050842	-0.347577	-0.699772	-0.316050	0.538165
54644	-9.504939	1.459379	-1.679248	-0.024311	-0.119806	-0.051613	-0.347474	-0.699782	-0.316031	0.538231
54645	-9.515438	1.430307	-1.817315	0.025442	0.008753	-0.020279	-0.347526	-0.699717	-0.316152	0.538210
54646	-9.482627	1.423691	-1.716646	-0.025973	-0.069071	-0.071613	-0.347384	-0.699749	-0.316174	0.538246
54647	-9.515865	1.438010	-1.752652	-0.001068	-0.051788	-0.030629	-0.347344	-0.699722	-0.316280	0.538246
54648	-9.557087	1.459026	-1.741550	0.001765	-0.077779	0.010429	-0.347257	-0.699742	-0.316382	0.538215
54649	-9.516758	1.400720	-1.782222	-0.013709	-0.010288	-0.029706	-0.347270	-0.699684	-0.316522	0.538200
