// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-9.628103	0.803470	-1.513362	-0.015964	0.127018	-0.034149	0.517643	0.510615	0.559611	-0.397685
54637	-9.619685	0.837141	-1.514191	0.017581	0.135128	-0.039594	0.517667	0.510568	0.559626	-0.397692
54638	-9.578118	0.825604	-1.465238	0.017374	0.092726	-0.088491	0.517627	0.510554	0.559609	-0.397789
54639	-9.565814	0.826635	-1.432642	0.025758	0.063635	-0.105171	0.517544	0.510591	0.559563	-0.397912
54640	-9.611929	0.810568	-1.441166	0.007333	0.062736	-0.059782	0.517462	0.510612	0.559557	-0.398001
54641	-9.617936	0.877521	-1.415548	0.078468	0.047162	-0.052046	0.517430	0.510587	0.559562	-0.398066
54642	-9.647191	0.845222	-1.441061	0.041935	0.063269	-0.022202	0.517427	0.510541	0.559594	-0.398085
54643	-9.632859	0.851843	-1.460909	0.046946	0.086577	-0.033006	0.517446	0.510475	0.559614	-0.398117
54644	-9.600271	0.835645	-1.465336	0.033051	0.094762	-0.065860	0.517476	0.510392	0.559626	-0.398169
54645	-9.617360	0.850093	-1.447951	0.049901	0.079008	-0.050305	0.517498	0.510336	0.559606	-0.398239
54646	-9.521787	0.830967	-1.462511	0.035113	0.106203	-0.144112	0.517519	0.510248	0.559653	-0.398257
54647	-9.628815	0.823403	-1.513222	0.014200	0.138742	-0.031969	0.517535	0.510186	0.559719	-0.398225
54648	-9.634783	0.804342	-1.503749	-0.002390	0.126370	-0.028961	0.517546	0.510101	0.559746	-0.398281
54649	-9.558605	0.826605	-1.503085	0.025379	0.141642	-0.102447	0.517565	0.509996	0.559826	-0.398278
54650	-9.604631	0.810903	-1.511655	0.006889	0.140829	-0.057088	0.517599	0.509904	0.559926	-0.398211
54651	-9.554747	0.778728	-1.535207	-0.025097	0.165959	-0.105561	0.517610	0.509831	0.560040	-0.398130
54652	-9.550360	0.745670	-1.504677	-0.051555	0.129955	-0.116817	0.517509	0.509881	0.560126	-0.398078
54653	-9.611089	0.753323	-1.404247	-0.030098	0.020975	-0.070455	0.517347	0.510006	0.560150	-0.398093
54654	-9.603258	0.762535	-1.386653	-0.016833	0.003648	-0.079932	0.517207	0.510140	0.560148	-0.398105
54655	-9.626875	0.779703	-1.332362	0.008191	-0.052703	-0.062969	0.517103	0.510217	0.560176	-0.398103
54656	-9.624218	0.740506	-1.396224	-0.040194	0.002530	-0.059650	0.517052	0.510279	0.560173	-0.398094
54657	-9.619139	0.719375	-1.449994	-0.069095	0.051025	-0.058691	0.516917	0.510412	0.560146	-0.398137
54658	-9.631056	0.714054	-1.486565	-0.079935	0.082598	-0.042131	0.516760	0.510545	0.560085	-0.398256
54659	-9.587735	0.780806	-1.538001	-0.018371	0.148341	-0.072183	0.516573	0.510687	0.560023	-0.398404
54660	-9.547979	0.848370	-1.569245	0.047324	0.193784	-0.101540	0.516418	0.510783	0.560010	-0.398500
54661	-9.541721	0.863173	-1.582769	0.061447	0.208559	-0.104578	0.516321	0.510850	0.560038	-0.398501
54662	-9.573800	0.845374	-1.527580	0.051652	0.145363	-0.082220	0.516253	0.510888	0.560077	-0.398484
54663	-9.573284	0.857038	-1.468456	0.073139	0.087449	-0.090257	0.516159	0.510970	0.560114	-0.398449
54664	-9.558035	0.821894	-1.499585	0.034396	0.112357	-0.103595	0.516084	0.511073	0.560142	-0.398375
54665	-9.560743	0.766551	-1.554418	-0.029297	0.154047	-0.097389	0.515956	0.511225	0.560164	-0.398315
54666	-9.574425	0.744406	-1.603062	-0.059569	0.192356	-0.078572	0.515749	0.511465	0.560125	-0.398329
54667	-9.608989	0.782490	-1.606401	-0.023887	0.191761	-0.040884	0.515494	0.511724	0.560086	-0.398382
54668	-9.573031	0.785319	-1.605853	-0.018212	0.193117	-0.076118	0.515285	0.511950	0.560061	-0.398397
