// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-9.590956	-0.884271	-1.392301	0.084308	-0.026069	-0.081342	0.409203	0.540194	0.530665	-0.509056
54637	-9.573808	-0.931601	-1.392838	0.036118	-0.015533	-0.093421	0.409369	0.540044	0.530735	-0.509009
54638	-9.553685	-0.940798	-1.432895	0.030553	0.029438	-0.106535	0.409406	0.539992	0.530727	-0.509043
54639	-9.568117	-0.945452	-1.464817	0.031885	0.060607	-0.087270	0.409404	0.539950	0.530674	-0.509143
54640	-9.580514	-0.889222	-1.419094	0.083905	0.009826	-0.087275	0.409395	0.539914	0.530571	-0.509296
54641	-9.548289	-0.914916	-1.395971	0.053959	-0.002842	-0.119766	0.409467	0.539808	0.530601	-0.509320
54642	-9.624475	-0.970580	-1.394014	0.006087	-0.008600	-0.039473	0.409432	0.539777	0.530537	-0.509448
54643	-9.583910	-0.894682	-1.374798	0.076897	-0.028081	-0.089768	0.409362	0.539775	0.530461	-0.509584
54644	-9.582260	-0.894658	-1.394912	0.080762	-0.006821	-0.088526	0.409350	0.539724	0.530453	-0.509657
54645	-9.579591	-0.911788	-1.426706	0.068920	0.027695	-0.084897	0.409396	0.539615	0.530517	-0.509669
54646	-9.578160	-0.966029	-1.439965	0.018162	0.048102	-0.078972	0.409435	0.539507	0.530557	-0.509710
54647	-9.596790	-0.956676	-1.418871	0.027755	0.025298	-0.064590	0.409472	0.539405	0.530541	-0.509805
54648	-9.591774	-0.948494	-1.374796	0.031461	-0.015903	-0.076641	0.409499	0.539303	0.530538	-0.509895
54649	-9.569465	-0.939103	-1.443980	0.049003	0.056477	-0.089722	0.409559	0.539192	0.530545	-0.509957
54650	-9.614476	-0.912379	-1.412992	0.076529	0.018492	-0.052517	0.409643	0.539052	0.530557	-0.510024
54651	-9.563291	-0.984638	-1.411458	0.001957	0.035698	-0.095847	0.409759	0.538883	0.530580	-0.510086
54652	-9.582428	-0.939422	-1.387381	0.046741	0.006694	-0.084993	0.409723	0.538845	0.530500	-0.510238
54653	-9.573322	-0.946044	-1.395225	0.042128	0.019447	-0.092194	0.409772	0.538726	0.530441	-0.510385
54654	-9.588335	-0.916036	-1.423375	0.078605	0.044437	-0.076511	0.409723	0.538672	0.530368	-0.510558
