// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54636	-9.651306	-0.969669	-1.471223	0.027776	0.088271	-0.002290	0.345264	0.599374	0.457266	-0.558974
54637	-9.597962	-0.958226	-1.498692	0.046917	0.120084	-0.052127	0.345298	0.599317	0.457249	-0.559028
54638	-9.649628	-0.957537	-1.547417	0.068000	0.157235	0.005528	0.345323	0.599275	0.457256	-0.559051
54639	-9.666167	-0.930397	-1.477256	0.069446	0.081239	0.009292	0.345334	0.599223	0.457244	-0.559110
54640	-9.636375	-0.937173	-1.438100	0.048571	0.053743	-0.024894	0.345341	0.599202	0.457187	-0.559174
54641	-9.695231	-0.958686	-1.376535	0.009121	-0.003758	0.026588	0.345360	0.599187	0.457122	-0.559233
54642	-9.698900	-0.990888	-1.371914	-0.022041	0.004420	0.032726	0.345373	0.599169	0.457037	-0.559314
54643	-9.695406	-0.977428	-1.364883	-0.011676	-0.004121	0.026978	0.345402	0.599134	0.456957	-0.559398
54644	-9.659120	-0.996322	-1.383244	-0.023275	0.027996	-0.004360	0.345453	0.599057	0.456884	-0.559508
54645	-9.725495	-0.955302	-1.439930	0.039595	0.058080	0.064879	0.345547	0.598931	0.456843	-0.559619
54646	-9.639343	-0.994693	-1.483379	0.016078	0.130138	-0.010158	0.345747	0.598771	0.456804	-0.559699
54647	-9.671970	-0.999772	-1.438244	-0.003399	0.088711	0.016210	0.345940	0.598645	0.456819	-0.559701
54648	-9.739631	-0.954229	-1.459633	0.049672	0.084517	0.081345	0.346032	0.598575	0.456738	-0.559785
54649	-9.684525	-0.906327	-1.452170	0.090134	0.073869	0.021267	0.346148	0.598451	0.456631	-0.559934
54650	-9.698472	-0.965444	-1.537749	0.068059	0.176610	0.052468	0.346411	0.598198	0.456619	-0.560051
54651	-9.631882	-0.981448	-1.714915	0.115621	0.361882	0.012434	0.346542	0.598067	0.456523	-0.560189
54652	-9.605251	-0.942443	-1.619295	0.116553	0.266590	-0.030739	0.346401	0.598226	0.456340	-0.560255
54653	-9.619372	-0.850665	-1.372332	0.110530	0.002515	-0.059379	0.346383	0.598458	0.456315	-0.560039
54654	-9.706331	-0.822527	-1.286671	0.103459	-0.104195	0.011944	0.346474	0.598686	0.456359	-0.559703
54655	-9.605649	-1.010045	-1.332143	-0.066013	0.015809	-0.062884	0.346624	0.598871	0.456463	-0.559327
54656	-9.643923	-0.987010	-1.400445	-0.024623	0.061194	-0.017978	0.346575	0.599152	0.456340	-0.559157
54657	-9.758119	-0.846442	-1.420866	0.112896	0.009660	0.083947	0.346367	0.599559	0.456027	-0.559105
54658	-9.689068	-0.947756	-1.409945	0.007413	0.046973	0.024079	0.346399	0.599725	0.455702	-0.559173
54659	-9.508218	-1.144642	-1.358801	-0.204032	0.102322	-0.142597	0.346604	0.599658	0.455603	-0.559197
54660	-9.559262	-1.179865	-1.393618	-0.224411	0.138701	-0.084165	0.346695	0.599689	0.455801	-0.558947
54661	-9.647634	-1.023668	-1.396444	-0.076734	0.068986	-0.011455	0.346835	0.599640	0.456030	-0.558726
54662	-9.644040	-0.971846	-1.410210	-0.024944	0.061223	-0.017979	0.346822	0.599668	0.456178	-0.558583
54663	-9.682466	-0.976754	-1.586939	0.035423	0.217965	0.044990	0.346735	0.599722	0.456103	-0.558640
54664	-9.645409	-1.047071	-1.428363	-0.087783	0.102889	-0.006964	0.346550	0.599812	0.455909	-0.558816
54665	-9.650138	-1.034935	-1.285113	-0.127010	-0.034204	-0.023383	0.346452	0.599857	0.455887	-0.558846
54666	-9.723348	-0.924402	-1.310689	-0.011324	-0.062571	0.041849	0.346259	0.599970	0.455796	-0.558920
54667	-9.666881	-0.842755	-1.358606	0.080374	-0.038165	-0.014896	0.346195	0.600014	0.455695	-0.558994
54668	-9.661557	-0.948100	-1.426737	0.006182	0.062712	-0.000645	0.346312	0.599981	0.455784	-0.558885
54669	-9.664509	-0.945011	-1.475851	0.026221	0.105938	0.008820	0.346369	0.599930	0.455883	-0.558822
54670	-9.701566	-0.864950	-1.358017	0.060159	-0.036750	0.021323	0.346294	0.599944	0.455796	-0.558926
54671	-9.700547	-0.868630	-1.392225	0.069906	-0.002474	0.025428	0.346336	0.599897	0.455760	-0.558979
54672	-9.682544	-1.065381	-1.353924	-0.127787	0.035761	0.021041	0.346374	0.599890	0.455712	-0.559003
54673	-9.654312	-1.048704	-1.287264	-0.137760	-0.025628	-0.017641	0.346551	0.599768	0.455805	-0.558947
54674	-9.620796	-1.052693	-1.519069	-0.059068	0.196104	-0.018122	0.346731	0.599620	0.455946	-0.558880
54675	-9.649651	-0.952987	-1.546545	0.045195	0.182345	0.004668	0.346704	0.599617	0.455929	-0.558914
54676	-9.625738	-0.912664	-1.501111	0.066229	0.130286	-0.029039	0.346570	0.599679	0.455830	-0.559010
54677	-9.645925	-0.995657	-1.481243	-0.016404	0.138369	-0.004024	0.346524	0.599673	0.455752	-0.559110
54678	-9.634350	-0.914481	-1.361743	0.016560	0.001735	-0.039712	0.346390	0.599735	0.455703	-0.559166
54679	-9.675078	-0.932931	-1.457354	0.036614	0.089564	0.015436	0.346348	0.599714	0.455670	-0.559241
54680	-9.664365	-0.910003	-1.398098	0.037311	0.029254	-0.005523	0.346275	0.599724	0.455604	-0.559330
54681	-9.660341	-1.012861	-1.429260	-0.046682	0.095857	0.004619	0.346481	0.599556	0.455741	-0.559271
54682	-9.641971	-1.016859	-1.301471	-0.097071	-0.016989	-0.030780	0.346525	0.599499	0.455826	-0.559235
54683	-9.668319	-1.021118	-1.446949	-0.046891	0.113349	0.015725	0.346533	0.599450	0.455961	-0.559173
54684	-9.677281	-0.875469	-1.443414	0.088737	0.056461	0.010174	0.346486	0.599433	0.455989	-0.559197
54685	-9.673789	-0.940713	-1.490996	0.046161	0.123843	0.019542	0.346386	0.599463	0.455892	-0.559306
54686	-9.723197	-0.917119	-1.343370	0.018344	-0.027856	0.045568	0.346284	0.599454	0.455817	-0.559440
54687	-9.678178	-0.852198	-1.292969	0.059830	-0.089175	-0.011993	0.346471	0.599306	0.455998	-0.559335
