// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
47597	-9.718635	-0.705161	-0.260422	-0.077903	0.010911	-0.065342	0.402899	0.557490	0.451860	-0.568067
47598	-9.732948	-0.698252	-0.251045	-0.072536	-0.003322	-0.051766	0.402966	0.557425	0.452099	-0.567892
47599	-9.731361	-0.700382	-0.268823	-0.069407	0.012001	-0.052706	0.403127	0.557271	0.452394	-0.567695
47600	-9.731399	-0.765890	-0.265979	-0.133327	0.024764	-0.048514	0.403243	0.557215	0.452642	-0.567470
47601	-9.726028	-0.686299	-0.262620	-0.058864	-0.003228	-0.059118	0.403346	0.557143	0.452893	-0.567267
47602	-9.701421	-0.730391	-0.245195	-0.107775	-0.009953	-0.081323	0.403485	0.557064	0.453189	-0.567009
47603	-9.729642	-0.799852	-0.290497	-0.161244	0.047584	-0.047350	0.403464	0.557118	0.453353	-0.566840
47604	-9.716322	-0.740839	-0.299873	-0.103860	0.037364	-0.064174	0.403163	0.557403	0.453216	-0.566883
47605	-9.717610	-0.706265	-0.293568	-0.073697	0.018030	-0.065320	0.402962	0.557636	0.453165	-0.566837
47606	-9.728926	-0.668027	-0.318232	-0.030845	0.026883	-0.055748	0.402793	0.557811	0.453163	-0.566787
47607	-9.738906	-0.696572	-0.350637	-0.049884	0.061911	-0.042931	0.402835	0.557827	0.453342	-0.566598
47608	-9.743328	-0.691576	-0.311714	-0.057207	0.019588	-0.040061	0.402954	0.557806	0.453576	-0.566348
47609	-9.745247	-0.708183	-0.358863	-0.061528	0.066329	-0.035573	0.403065	0.557772	0.453778	-0.566139
47610	-9.714109	-0.705826	-0.344643	-0.066196	0.051088	-0.067232	0.403333	0.557614	0.454111	-0.565837
47611	-9.735147	-0.710172	-0.334989	-0.073257	0.039555	-0.046280	0.403640	0.557430	0.454480	-0.565504
47612	-9.741451	-0.656898	-0.343910	-0.020978	0.031387	-0.043131	0.404080	0.557152	0.454944	-0.565090
47613	-9.725589	-0.729984	-0.367933	-0.087058	0.073207	-0.053467	0.404600	0.556799	0.455481	-0.564634
47614	-9.737491	-0.741762	-0.444668	-0.078800	0.148367	-0.038310	0.404954	0.556594	0.455801	-0.564323
47615	-9.748443	-0.684284	-0.408302	-0.034049	0.097003	-0.032272	0.405271	0.556369	0.456077	-0.564094
47616	-9.703148	-0.754645	-0.398244	-0.107696	0.108493	-0.073293	0.405370	0.556339	0.456120	-0.564018
47617	-9.686687	-0.744403	-0.368883	-0.107332	0.078316	-0.091347	0.405280	0.556434	0.456007	-0.564081
47618	-9.769079	-0.715235	-0.277580	-0.100116	-0.021188	-0.014063	0.405033	0.556669	0.455722	-0.564256
47619	-9.723397	-0.688049	-0.276249	-0.077262	-0.027385	-0.061407	0.404940	0.556767	0.455619	-0.564310
47620	-9.704236	-0.698933	-0.333775	-0.074122	0.031415	-0.077924	0.404821	0.556915	0.455483	-0.564359
47621	-9.727154	-0.687780	-0.368217	-0.053639	0.060235	-0.054632	0.404708	0.557035	0.455352	-0.564427
47622	-9.723681	-0.671267	-0.341102	-0.045861	0.029488	-0.060049	0.404620	0.557131	0.455269	-0.564462
47623	-9.754572	-0.639304	-0.363080	-0.008215	0.040479	-0.030535	0.404603	0.557179	0.455198	-0.564485
47624	-9.732081	-0.667077	-0.388326	-0.029956	0.073710	-0.050369	0.404657	0.557167	0.455214	-0.564445
47625	-9.724134	-0.687314	-0.400776	-0.046887	0.092024	-0.056605	0.404698	0.557142	0.455194	-0.564455
47626	-9.761086	-0.617766	-0.366521	0.012683	0.039711	-0.025296	0.404880	0.556989	0.455308	-0.564385
47627	-9.743434	-0.674568	-0.343995	-0.048562	0.035525	-0.040059	0.405210	0.556711	0.455560	-0.564219
47628	-9.711094	-0.706384	-0.336851	-0.082730	0.040396	-0.070546	0.405598	0.556399	0.455836	-0.564025
47629	-9.738706	-0.691552	-0.325467	-0.069966	0.025945	-0.044320	0.405978	0.556084	0.456117	-0.563835
47630	-9.732207	-0.677813	-0.324926	-0.057110	0.024100	-0.051693	0.406388	0.555756	0.456391	-0.563641
47631	-9.713051	-0.735521	-0.316865	-0.116000	0.034370	-0.067427	0.406738	0.555493	0.456624	-0.563459
47632	-9.737575	-0.722997	-0.334999	-0.098217	0.048623	-0.043179	0.406896	0.555378	0.456711	-0.563388
47633	-9.707967	-0.687155	-0.305053	-0.073079	0.012989	-0.075934	0.407011	0.555275	0.456756	-0.563370
47634	-9.732191	-0.689602	-0.263014	-0.085002	-0.027174	-0.052959	0.407046	0.555239	0.456777	-0.563363
47635	-9.726197	-0.727015	-0.318896	-0.106383	0.037129	-0.054796	0.407003	0.555262	0.456735	-0.563406
47636	-9.725829	-0.661806	-0.325351	-0.041390	0.026238	-0.059063	0.406788	0.555403	0.456564	-0.563560
47637	-9.740319	-0.654287	-0.313806	-0.035987	0.012338	-0.045450	0.406578	0.555555	0.456387	-0.563705
47638	-9.711517	-0.735411	-0.334193	-0.109681	0.054219	-0.068401	0.406345	0.555710	0.456214	-0.563861
47639	-9.727524	-0.726960	-0.308318	-0.106758	0.026034	-0.053785	0.405886	0.556043	0.455838	-0.564167
47640	-9.723629	-0.646510	-0.287057	-0.034708	-0.016161	-0.063438	0.405522	0.556315	0.455525	-0.564414
47641	-9.753021	-0.649819	-0.320652	-0.026626	0.015260	-0.032833	0.405338	0.556421	0.455398	-0.564544
47642	-9.744806	-0.638831	-0.336487	-0.011171	0.027681	-0.041215	0.405230	0.556452	0.455354	-0.564626
47643	-9.730709	-0.698344	-0.403889	-0.050038	0.109530	-0.049337	0.405212	0.556430	0.455328	-0.564681
47644	-9.771229	-0.678104	-0.395063	-0.029757	0.094583	-0.010494	0.405229	0.556359	0.455328	-0.564739
47645	-9.730026	-0.615503	-0.351067	0.017499	0.039112	-0.056988	0.405430	0.556152	0.455457	-0.564694
47646	-9.721005	-0.736081	-0.366976	-0.093217	0.089351	-0.057804	0.405691	0.555858	0.455650	-0.564641
47647	-9.704575	-0.727292	-0.334366	-0.092745	0.059194	-0.075777	0.405834	0.555682	0.455672	-0.564694
47648	-9.758315	-0.732923	-0.323006	-0.097268	0.049733	-0.022167	0.406028	0.555483	0.455792	-0.564653
47649	-9.733347	-0.693866	-0.248151	-0.079733	-0.029162	-0.051854	0.406095	0.555360	0.455760	-0.564752
47650	-9.687652	-0.667764	-0.243987	-0.057074	-0.035463	-0.099216	0.406346	0.555129	0.455927	-0.564664
