// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
47597	-9.618733	-0.853770	-1.565562	-0.002826	0.060561	-0.030241	0.354422	0.599168	0.465024	-0.546933
47598	-9.622829	-0.864266	-1.620956	0.006668	0.112698	-0.016741	0.354315	0.599195	0.465061	-0.546941
47599	-9.679812	-0.839449	-1.522109	-0.000685	0.001228	0.021958	0.354213	0.599276	0.465029	-0.546946
47600	-9.664007	-0.768392	-1.472687	0.049545	-0.066281	-0.007311	0.354030	0.599394	0.464932	-0.547017
47601	-9.681809	-0.838411	-1.611394	0.030662	0.081531	0.037661	0.353984	0.599429	0.464896	-0.547040
47602	-9.672911	-0.786943	-1.580300	0.068490	0.038026	0.019693	0.354213	0.599249	0.465067	-0.546943
47603	-9.644982	-0.805581	-1.590184	0.053076	0.059341	-0.004681	0.354447	0.599082	0.465231	-0.546835
47604	-9.623147	-0.825319	-1.576341	0.028785	0.057042	-0.026632	0.354458	0.599089	0.465250	-0.546804
47605	-9.615131	-0.924974	-1.691437	-0.027423	0.198048	-0.008234	0.354477	0.599088	0.465195	-0.546840
47606	-9.651466	-0.897997	-1.576714	-0.039698	0.076999	0.007482	0.354574	0.599062	0.465232	-0.546774
47607	-9.641642	-0.925430	-1.636102	-0.047556	0.143567	0.009310	0.354853	0.598911	0.465392	-0.546621
47608	-9.675442	-0.893244	-1.677161	-0.003461	0.166881	0.046170	0.354940	0.598848	0.465397	-0.546630
47609	-9.634802	-0.890446	-1.691273	0.002451	0.187833	0.008077	0.355010	0.598823	0.465344	-0.546657
47610	-9.624062	-0.919506	-1.705098	-0.021167	0.214115	0.002053	0.355226	0.598682	0.465399	-0.546624
47611	-9.616200	-0.905799	-1.761823	0.009636	0.265917	0.001843	0.355280	0.598681	0.465342	-0.546638
