// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59330	-9.353817	0.806281	3.099045	0.115197	-0.271062	0.069687	0.354255	0.545773	0.232651	-0.722847
59331	-9.331272	0.793823	3.023310	0.151425	-0.216107	0.024668	0.354055	0.545756	0.232762	-0.722923
59332	-9.326417	0.817842	3.015450	0.177312	-0.233853	0.018778	0.353622	0.545805	0.233071	-0.722998
59333	-9.305270	0.746309	3.049933	0.102281	-0.229329	0.004850	0.352893	0.545987	0.233519	-0.723072
59334	-9.314062	0.646093	3.014958	0.055361	-0.154294	-0.002884	0.352031	0.546215	0.234167	-0.723111
59335	-9.266702	0.561988	2.955210	0.027514	-0.090590	-0.070417	0.351134	0.546500	0.234993	-0.723063
59336	-9.276955	0.459797	2.963674	-0.049888	-0.050499	-0.063247	0.350270	0.546909	0.235751	-0.722927
59337	-9.333245	0.316947	2.813093	-0.050864	0.142338	-0.060738	0.349602	0.547230	0.236530	-0.722753
59338	-9.307932	0.355962	2.825445	-0.032896	0.083346	-0.079271	0.349113	0.547575	0.237024	-0.722566
59339	-9.332151	0.382263	2.752026	0.036499	0.111594	-0.076415	0.348759	0.547819	0.237341	-0.722448
59340	-9.331187	0.460314	2.769952	0.083386	0.038847	-0.068607	0.348481	0.547967	0.237522	-0.722410
59341	-9.352242	0.454330	2.822792	0.049288	0.004709	-0.033294	0.348238	0.548032	0.237636	-0.722441
59342	-9.349407	0.441089	2.851656	0.021482	-0.011196	-0.028142	0.348084	0.548064	0.237655	-0.722484
59343	-9.326508	0.430498	2.824820	0.027578	0.008221	-0.058311	0.348018	0.548064	0.237624	-0.722526
59344	-9.360897	0.510174	2.867035	0.066865	-0.064972	-0.009736	0.347976	0.548048	0.237525	-0.722591
59345	-9.320470	0.476067	2.873514	0.031106	-0.055755	-0.047913	0.347962	0.548003	0.237440	-0.722659
59346	-9.359156	0.459408	2.935531	-0.014692	-0.077774	0.006474	0.347987	0.548014	0.237349	-0.722670
59347	-9.350744	0.397242	2.840261	-0.002999	0.031507	-0.032079	0.348107	0.547981	0.237192	-0.722688
59348	-9.358097	0.420259	2.828839	0.021775	0.031749	-0.027420	0.348319	0.547897	0.236924	-0.722738
59349	-9.336674	0.455298	2.832989	0.041175	0.008745	-0.045148	0.348588	0.547756	0.236546	-0.722838
59350	-9.351296	0.530585	2.916757	0.046328	-0.086923	-0.003201	0.348867	0.547590	0.236167	-0.722954
59351	-9.337515	0.600786	2.961408	0.068228	-0.158543	0.000073	0.349137	0.547428	0.235828	-0.723056
59352	-9.333778	0.525188	2.929163	0.031300	-0.077765	-0.016351	0.349393	0.547251	0.235512	-0.723170
59353	-9.352516	0.579119	2.924864	0.078305	-0.096662	0.002825	0.349637	0.547068	0.235230	-0.723282
59354	-9.309803	0.562425	2.940364	0.050400	-0.099601	-0.034036	0.349828	0.546855	0.234996	-0.723427
59355	-9.310419	0.493490	2.876387	0.041125	-0.001985	-0.055672	0.350004	0.546683	0.234805	-0.723534
59356	-9.298236	0.532558	2.911339	0.047687	-0.048803	-0.055021	0.350196	0.546517	0.234570	-0.723643
59357	-9.264826	0.536592	2.959736	0.014636	-0.088016	-0.072204	0.350381	0.546424	0.234351	-0.723694
59358	-9.312737	0.593774	2.991311	0.045115	-0.130989	-0.014300	0.350495	0.546366	0.234234	-0.723720
