// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59330	-11.528672	-0.141091	1.611431	0.058118	-4.366952	0.978662	0.461169	0.533659	0.582933	-0.403386
59331	-11.456517	-0.052806	1.822800	0.186641	-4.531972	0.864547	0.461860	0.531884	0.583143	-0.404634
59332	-10.473975	0.221464	0.704335	0.378099	-3.140908	0.199336	0.464918	0.527836	0.584605	-0.404324
59333	-9.744805	0.330824	-0.786905	0.348165	-1.461189	-0.146595	0.469998	0.521859	0.587847	-0.401499
59334	-9.157696	0.162833	-2.665917	-0.062171	0.514240	-0.287535	0.475699	0.515298	0.591772	-0.397473
59335	-8.883031	-0.014905	-4.137166	-0.489655	2.000726	-0.232411	0.480268	0.509975	0.594912	-0.394141
59336	-9.027516	-0.360221	-4.822754	-0.974855	2.594437	0.046482	0.482821	0.506883	0.596455	-0.392676
59337	-9.170435	-0.803316	-4.618256	-1.383752	2.314345	0.127104	0.483029	0.506321	0.596007	-0.393825
59338	-9.258752	-0.968395	-3.751101	-1.379658	1.464868	0.020091	0.481613	0.507439	0.594112	-0.396971
59339	-9.165152	-0.431039	-2.734610	-0.658350	0.623992	-0.281635	0.479551	0.509074	0.591877	-0.400693
59340	-9.024616	0.147296	-2.216036	0.015539	0.261860	-0.522513	0.478014	0.510068	0.590499	-0.403291
59341	-9.193209	0.516474	-2.062471	0.424630	0.141302	-0.387438	0.477293	0.510335	0.590065	-0.404442
