// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59330	-9.556758	2.000998	2.420976	-1.092845	0.436383	0.177908	0.427784	0.608331	0.164084	-0.648083
59331	-9.935043	2.542927	2.354303	-0.676826	0.302625	0.683246	0.425966	0.608788	0.163012	-0.649120
59332	-10.122257	2.837915	2.121464	-0.315693	0.353227	0.901321	0.423400	0.609451	0.162081	-0.650408
59333	-10.093652	3.177029	2.141261	-0.060046	0.103876	0.982952	0.420683	0.610069	0.161595	-0.651712
59334	-9.829935	3.448460	2.225261	0.129533	-0.240735	0.836089	0.418623	0.610325	0.161939	-0.652713
59335	-9.467506	3.544555	2.349709	0.175685	-0.540458	0.550499	0.418005	0.609944	0.163356	-0.653112
59336	-9.191660	3.359700	2.370567	0.075154	-0.555354	0.241151	0.419015	0.609039	0.165431	-0.652787
59337	-9.128421	3.130854	2.335701	-0.045136	-0.415091	0.107566	0.421486	0.607702	0.167635	-0.651880
59338	-9.201787	2.860540	2.244223	-0.180116	-0.146337	0.078632	0.425116	0.606012	0.169664	-0.650569
59339	-9.348150	2.563821	2.197472	-0.382106	0.144086	0.118227	0.429245	0.604232	0.170959	-0.649173
59340	-9.471841	2.375615	2.131461	-0.497559	0.390562	0.162386	0.433339	0.602456	0.171277	-0.648018
59341	-9.460753	2.193220	2.022433	-0.575484	0.628433	0.070624	0.436938	0.600888	0.170436	-0.647279
59342	-9.397464	2.030691	1.806018	-0.571829	0.922125	-0.090545	0.439478	0.599832	0.168182	-0.647129
59343	-9.266705	2.102958	1.808901	-0.524059	0.898103	-0.195789	0.440700	0.599485	0.164453	-0.647577
59344	-9.104366	2.298815	1.863639	-0.415372	0.752152	-0.278091	0.440899	0.599632	0.159924	-0.648439
59345	-8.912128	2.510812	1.901971	-0.283652	0.590545	-0.383043	0.440294	0.600120	0.155052	-0.649582
59346	-8.802362	2.719439	1.960259	-0.176818	0.437310	-0.405413	0.439274	0.600693	0.150500	-0.650812
59347	-8.724076	2.899976	2.020255	-0.092975	0.299725	-0.405128	0.438232	0.601152	0.146776	-0.651940
59348	-8.763011	3.009570	2.083437	-0.070630	0.235546	-0.319108	0.437407	0.601339	0.144222	-0.652890
59349	-8.829897	2.955712	2.139641	-0.159173	0.272112	-0.263761	0.436851	0.601236	0.142806	-0.653669
59350	-8.877326	2.802885	2.049882	-0.214325	0.453675	-0.293584	0.436341	0.601034	0.142166	-0.654334
59351	-9.023945	2.807823	2.030266	-0.204843	0.525239	-0.162838	0.435661	0.600920	0.141930	-0.654943
59352	-9.090952	2.773056	1.991396	-0.201812	0.594228	-0.122122	0.434757	0.600926	0.141964	-0.655531
59353	-9.137962	2.797879	2.027063	-0.201757	0.561573	-0.061617	0.433620	0.601090	0.142075	-0.656109
59354	-9.165361	2.897360	2.047838	-0.135744	0.483364	0.002611	0.432378	0.601389	0.142291	-0.656608
59355	-9.028875	2.929721	2.035332	-0.082614	0.400029	-0.113227	0.431233	0.601740	0.142683	-0.656954
59356	-8.876985	2.981623	2.082952	-0.055936	0.255294	-0.223042	0.430296	0.602136	0.143293	-0.657073
59357	-8.783971	3.042227	2.192773	-0.071565	0.083292	-0.262324	0.429691	0.602485	0.144317	-0.656925
59358	-8.764089	3.030678	2.259041	-0.117497	0.011427	-0.268918	0.429485	0.602700	0.145870	-0.656519
59359	-8.748007	2.911020	2.265250	-0.201383	0.045797	-0.321096	0.429533	0.602776	0.147792	-0.655987
59360	-8.758919	2.888119	2.252361	-0.201419	0.045662	-0.321096	0.429635	0.602787	0.149939	-0.655424
59361	-8.868092	2.832392	2.220190	-0.220559	0.113591	-0.245394	0.429560	0.602790	0.152162	-0.654958
59362	-9.009626	2.827998	2.226268	-0.227633	0.132813	-0.114356	0.429160	0.602830	0.154343	-0.654672
59363	-9.062839	2.803755	2.248738	-0.248998	0.115036	-0.067046	0.428349	0.602914	0.156425	-0.654632
59364	-9.023134	2.805318	2.229803	-0.212869	0.074474	-0.106619	0.427018	0.603124	0.158256	-0.654868
59365	-9.080839	2.893689	2.236358	-0.137236	-0.002575	-0.024054	0.425205	0.603521	0.159835	-0.655299
59366	-9.165969	2.991538	2.279800	-0.081728	-0.105909	0.094061	0.423032	0.604072	0.161246	-0.655851
59367	-9.211297	3.050792	2.298608	-0.036253	-0.185823	0.157411	0.420703	0.604700	0.162526	-0.656454
59368	-9.211488	3.178594	2.326694	0.056979	-0.330225	0.200103	0.418391	0.605370	0.163783	-0.657002
59369	-9.170898	3.255737	2.347672	0.119555	-0.452891	0.187170	0.416399	0.605918	0.165191	-0.657409
59370	-9.192209	3.292444	2.342043	0.164550	-0.508169	0.214105	0.414874	0.606313	0.166869	-0.657585
59371	-9.272875	3.275123	2.385184	0.132970	-0.543059	0.291223	0.413856	0.606523	0.168803	-0.657540
59372	-9.357455	3.227725	2.415077	0.088583	-0.545193	0.361179	0.413345	0.606512	0.170923	-0.657324
59373	-9.364792	3.121488	2.373819	0.053427	-0.480970	0.328503	0.413216	0.606337	0.173011	-0.657020
59374	-9.292820	3.020830	2.337667	0.023417	-0.443382	0.224713	0.413300	0.606102	0.174795	-0.656712
59375	-9.267715	2.976614	2.280811	0.042643	-0.400537	0.176837	0.413559	0.605793	0.176103	-0.656485
59376	-9.172593	2.924950	2.286843	0.016737	-0.413497	0.074182	0.413896	0.605520	0.176866	-0.656319
59377	-9.136165	2.883613	2.297432	-0.013130	-0.408484	0.030884	0.414269	0.605244	0.177036	-0.656292
59378	-9.110183	2.861659	2.294216	-0.023574	-0.393104	0.000205	0.414653	0.604961	0.176629	-0.656420
