// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59330	-10.328911	0.515169	2.156962	0.232050	-0.537009	0.735389	0.158511	0.616332	0.132298	-0.759939
59331	-10.696609	0.577407	2.380919	0.112440	-0.607099	1.143506	0.159532	0.616535	0.130005	-0.759956
59332	-10.888750	0.660295	2.682192	-0.104612	-0.729852	1.396732	0.160776	0.616726	0.127534	-0.759957
59333	-10.682327	0.529824	2.764138	-0.283744	-0.602345	1.214083	0.162534	0.616773	0.125583	-0.759870
59334	-10.258855	0.326352	2.759488	-0.451517	-0.401917	0.798618	0.165049	0.616681	0.124691	-0.759550
59335	-9.746649	-0.072537	2.686343	-0.650184	-0.018689	0.276697	0.168694	0.616338	0.125254	-0.758935
59336	-9.394558	-0.597595	2.421826	-0.699064	0.553454	-0.133583	0.173123	0.615588	0.127350	-0.758196
59337	-9.200239	-1.109816	2.072298	-0.641329	1.149625	-0.408563	0.177502	0.614512	0.130235	-0.757567
59338	-9.280668	-1.367155	1.852298	-0.542767	1.485515	-0.382439	0.180908	0.613303	0.132704	-0.757312
59339	-9.399011	-1.341211	1.701241	-0.370085	1.543481	-0.298742	0.183044	0.612081	0.134136	-0.757535
59340	-9.520563	-1.106134	1.564634	-0.109084	1.413160	-0.205202	0.183737	0.611038	0.134228	-0.758193
59341	-9.598767	-0.774151	1.532630	0.100531	1.151758	-0.130339	0.182972	0.610308	0.132804	-0.759216
59342	-9.607702	-0.273272	1.641940	0.245509	0.674816	-0.088343	0.181087	0.609935	0.130082	-0.760438
59343	-9.664287	0.263669	1.896561	0.276274	0.113208	0.034937	0.178623	0.609941	0.126595	-0.761603
59344	-9.628759	0.663344	2.132326	0.234251	-0.324526	0.063526	0.176337	0.610049	0.123083	-0.762624
59345	-9.556214	0.858492	2.309435	0.141949	-0.554964	0.039395	0.174649	0.610250	0.119953	-0.763351
59346	-9.532646	0.870481	2.441412	0.018785	-0.593011	0.048219	0.173635	0.610446	0.117310	-0.763836
59347	-9.537179	0.798378	2.506590	-0.074377	-0.523030	0.066534	0.173174	0.610579	0.115030	-0.764181
59348	-9.544912	0.696704	2.523299	-0.134037	-0.405910	0.075436	0.172994	0.610614	0.113001	-0.764496
59349	-9.555342	0.571656	2.504552	-0.168571	-0.253436	0.077278	0.172807	0.610601	0.110994	-0.764843
59350	-9.620196	0.552517	2.494450	-0.157996	-0.194124	0.137840	0.172496	0.610661	0.108853	-0.765172
59351	-9.673374	0.611392	2.555726	-0.183871	-0.234677	0.206831	0.172147	0.610721	0.106755	-0.765499
59352	-9.701717	0.631850	2.567587	-0.185512	-0.227051	0.238632	0.171867	0.610810	0.104946	-0.765740
59353	-9.704216	0.626811	2.553609	-0.179671	-0.194816	0.237952	0.171702	0.610965	0.103572	-0.765842
59354	-9.639614	0.599658	2.592797	-0.244310	-0.177969	0.182961	0.171598	0.611186	0.102760	-0.765798
59355	-9.536657	0.543173	2.638445	-0.333945	-0.150880	0.090341	0.171526	0.611465	0.102575	-0.765616
59356	-9.389451	0.492222	2.720557	-0.462614	-0.157590	-0.036867	0.171486	0.611759	0.102979	-0.765336
59357	-9.355677	0.494277	2.632575	-0.393855	-0.144167	-0.090160	0.171501	0.611985	0.103921	-0.765024
59358	-9.323804	0.474824	2.520076	-0.308346	-0.107172	-0.148166	0.171565	0.612117	0.105188	-0.764732
59359	-9.318194	0.463489	2.386470	-0.194101	-0.068112	-0.184787	0.171719	0.612210	0.106555	-0.764433
59360	-9.376119	0.507235	2.259104	-0.051243	-0.072587	-0.155331	0.171937	0.612243	0.107895	-0.764169
59361	-9.484492	0.532951	2.166283	0.063892	-0.064355	-0.069784	0.172048	0.612253	0.108995	-0.763980
59362	-9.630449	0.616530	2.146935	0.142701	-0.128397	0.071549	0.171879	0.612305	0.109582	-0.763892
59363	-9.617784	0.679953	2.149627	0.162124	-0.198508	0.062499	0.171366	0.612474	0.109599	-0.763870
