// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59330	-9.451488	0.318383	3.210790	0.271047	1.593268	0.042700	-0.762990	-0.175507	-0.510354	0.355784
59331	-9.865663	0.201839	3.297640	0.084518	1.545792	0.475606	-0.765143	-0.177431	-0.510031	0.350634
59332	-10.107073	0.024003	3.431677	-0.085233	1.338905	0.776398	-0.767091	-0.180363	-0.509650	0.345394
59333	-10.112567	-0.253029	3.478614	-0.330662	1.017262	0.830769	-0.768746	-0.184069	-0.509263	0.340295
59334	-9.940824	-0.496950	3.547165	-0.489882	0.637051	0.723066	-0.770074	-0.188052	-0.508972	0.335513
59335	-9.696148	-0.792046	3.518482	-0.719362	0.263661	0.504009	-0.771093	-0.191802	-0.508807	0.331275
59336	-9.361103	-0.974488	3.521145	-0.808746	-0.062285	0.203285	-0.771797	-0.194827	-0.508827	0.327822
59337	-9.137626	-1.121199	3.543369	-0.872213	-0.319402	0.007986	-0.772174	-0.197181	-0.508945	0.325332
59338	-9.045492	-1.136266	3.577392	-0.859275	-0.431519	-0.066662	-0.772283	-0.199210	-0.508861	0.323966
59339	-9.103814	-0.943103	3.673525	-0.697151	-0.375653	0.017695	-0.772222	-0.201292	-0.508304	0.323700
59340	-9.131326	-0.558238	3.763993	-0.397485	-0.179190	0.070135	-0.772073	-0.203452	-0.507362	0.324182
59341	-9.056843	-0.228091	3.770179	-0.165226	0.007816	-0.001203	-0.772034	-0.205480	-0.506307	0.324645
59342	-9.035757	-0.064933	3.689923	-0.122290	0.147604	-0.054213	-0.772170	-0.207365	-0.505401	0.324536
59343	-8.915793	-0.116677	3.623661	-0.195489	0.093657	-0.190381	-0.772445	-0.209121	-0.504833	0.323637
