// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43E23
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59330	-0.030896	0.090095	9.807145	-0.001899	-0.012497	-0.005088	0.999955	-0.000298	-0.000704	0.009493
59331	-0.044281	0.107426	9.763445	-0.015735	0.005056	-0.048564	0.999955	-0.000294	-0.000699	0.009482
59332	-0.053053	0.079753	9.764678	-0.023812	-0.022886	-0.047596	0.999955	-0.000289	-0.000687	0.009489
59333	-0.038151	0.107468	9.795275	-0.009199	0.004847	-0.016754	0.999955	-0.000300	-0.000685	0.009490
59334	-0.037284	0.106520	9.774654	-0.008297	0.004107	-0.037386	0.999955	-0.000287	-0.000678	0.009507
59335	-0.029587	0.088027	9.745272	-0.000345	-0.013934	-0.066983	0.999955	-0.000299	-0.000687	0.009496
59336	-0.042204	0.093199	9.775264	-0.013175	-0.009300	-0.036902	0.999955	-0.000289	-0.000698	0.009508
59337	-0.048278	0.081037	9.796493	-0.019053	-0.021964	-0.015784	0.999954	-0.000281	-0.000695	0.009510
59338	-0.030156	0.106317	9.785859	-0.001440	0.003566	-0.026205	0.999954	-0.000269	-0.000701	0.009516
59339	-0.034628	0.092757	9.786475	-0.005738	-0.010229	-0.025718	0.999954	-0.000266	-0.000705	0.009517
59340	-0.035228	0.093162	9.786469	-0.006308	-0.009875	-0.025718	0.999954	-0.000266	-0.000697	0.009518
59341	-0.025247	0.089998	9.777086	0.003830	-0.012666	-0.035163	0.999954	-0.000274	-0.000690	0.009513
59342	-0.045813	0.096077	9.775220	-0.016729	-0.007101	-0.036905	0.999954	-0.000251	-0.000685	0.009512
59343	-0.037306	0.094395	9.786450	-0.008094	-0.008763	-0.025718	0.999955	-0.000271	-0.000683	0.009508
59344	-0.049535	0.081233	9.755219	-0.020107	-0.021625	-0.057049	0.999954	-0.000272	-0.000680	0.009513
59345	-0.038551	0.094920	9.786440	-0.009244	-0.008014	-0.025719	0.999954	-0.000275	-0.000678	0.009517
59346	-0.015302	0.103799	9.787674	0.013904	0.001307	-0.024461	0.999954	-0.000275	-0.000674	0.009523
59347	-0.039841	0.095547	9.786429	-0.010362	-0.007274	-0.025719	0.999954	-0.000285	-0.000665	0.009517
59348	-0.048105	0.096650	9.754569	-0.018628	-0.005981	-0.057540	0.999954	-0.000278	-0.000663	0.009526
59349	-0.027955	0.108392	9.797030	0.001439	0.005611	-0.015019	0.999954	-0.000275	-0.000663	0.009521
59350	-0.037646	0.110929	9.785782	-0.008391	0.008037	-0.026211	0.999954	-0.000273	-0.000668	0.009521
59351	-0.034208	0.125401	9.785148	-0.005291	0.022579	-0.026703	0.999954	-0.000276	-0.000668	0.009525
59352	-0.044976	0.082161	9.766412	-0.015520	-0.020641	-0.045860	0.999954	-0.000276	-0.000692	0.009521
59353	-0.059917	0.071974	9.776404	-0.030556	-0.031296	-0.035933	0.999954	-0.000269	-0.000703	0.009519
59354	-0.045736	0.083135	9.766401	-0.016646	-0.019928	-0.045860	0.999954	-0.000259	-0.000695	0.009523
59355	-0.018539	0.106267	9.767013	0.010194	0.003580	-0.045085	0.999954	-0.000255	-0.000694	0.009519
59356	-0.031473	0.111589	9.796984	-0.002689	0.008221	-0.015022	0.999954	-0.000246	-0.000688	0.009523
59357	-0.058315	0.088105	9.775744	-0.029165	-0.015647	-0.036428	0.999955	-0.000243	-0.000696	0.009499
59358	-0.024315	0.093749	9.767623	0.004687	-0.009442	-0.044590	0.999954	-0.000231	-0.000689	0.009517
59359	-0.041128	0.085084	9.798221	-0.011883	-0.018979	-0.014036	0.999954	-0.000220	-0.000699	0.009529
59360	-0.046654	0.101790	9.786336	-0.017993	-0.002423	-0.025728	0.999954	-0.000213	-0.000712	0.009527
59361	-0.027308	0.096670	9.788215	0.001382	-0.007220	-0.023960	0.999954	-0.000217	-0.000706	0.009512
59362	-0.047712	0.102607	9.786322	-0.019162	-0.001684	-0.025730	0.999954	-0.000210	-0.000716	0.009510
59363	-0.042650	0.115660	9.765073	-0.014527	0.011732	-0.046854	0.999954	-0.000221	-0.000715	0.009511
59364	-0.039552	0.101123	9.797561	-0.011124	-0.002962	-0.014532	0.999955	-0.000224	-0.000725	0.009504
59365	-0.029301	0.098070	9.788195	-0.000941	-0.005746	-0.023959	0.999955	-0.000219	-0.000725	0.009501
59366	-0.038979	0.100554	9.776938	-0.010732	-0.003373	-0.035161	0.999955	-0.000219	-0.000729	0.009490
59367	-0.030357	0.099012	9.788182	-0.002092	-0.005028	-0.023959	0.999955	-0.000203	-0.000729	0.009503
59368	-0.025530	0.112136	9.766931	0.002585	0.008384	-0.045083	0.999955	-0.000216	-0.000713	0.009502
59369	-0.034086	0.084192	9.768197	-0.005394	-0.019585	-0.044090	0.999955	-0.000218	-0.000724	0.009496
59370	-0.010661	0.093143	9.769454	0.017732	-0.010222	-0.042805	0.999955	-0.000215	-0.000727	0.009498
59371	-0.043393	0.103922	9.797515	-0.015140	-0.000415	-0.014537	0.999955	-0.000211	-0.000726	0.009493
59372	-0.051531	0.105157	9.765643	-0.023370	0.000848	-0.046370	0.999955	-0.000199	-0.000725	0.009492
59373	-0.020829	0.113565	9.798763	0.007414	0.009351	-0.013251	0.999955	-0.000198	-0.000711	0.009486
59374	-0.033113	0.100645	9.767528	-0.004519	-0.003550	-0.044586	0.999955	-0.000190	-0.000704	0.009488
59375	-0.057609	0.092481	9.766254	-0.028783	-0.012189	-0.045876	0.999955	-0.000195	-0.000703	0.009479
59376	-0.034248	0.101490	9.767515	-0.005636	-0.002818	-0.044587	0.999955	-0.000184	-0.000711	0.009491
59377	-0.020539	0.083629	9.790664	0.008530	-0.020626	-0.021670	0.999955	-0.000198	-0.000696	0.009490
59378	-0.039432	0.088065	9.768142	-0.010487	-0.016234	-0.044088	0.999955	-0.000192	-0.000708	0.009487
59379	-0.041488	0.090018	9.788743	-0.012626	-0.014713	-0.023461	0.999955	-0.000180	-0.000708	0.009486
59380	-0.047189	0.106783	9.776836	-0.018738	0.001841	-0.035172	0.999955	-0.000169	-0.000713	0.009490
59381	-0.056990	0.109289	9.765567	-0.028503	0.004224	-0.046385	0.999955	-0.000174	-0.000698	0.009492
59382	-0.037760	0.104330	9.767473	-0.009080	-0.000545	-0.044589	0.999955	-0.000154	-0.000703	0.009502
59383	-0.023620	0.086683	9.790630	0.005087	-0.018338	-0.021663	0.999955	-0.000157	-0.000736	0.009509
59384	-0.029308	0.103113	9.778723	-0.000999	-0.001818	-0.033377	0.999955	-0.000163	-0.000708	0.009511
59385	-0.048800	0.078727	9.789344	-0.019708	-0.026644	-0.022961	0.999955	-0.000159	-0.000707	0.009506
59386	-0.034592	0.089716	9.779353	-0.005819	-0.015222	-0.032875	0.999955	-0.000168	-0.000716	0.009507
59387	-0.025958	0.087952	9.790613	0.002827	-0.016837	-0.021660	0.999954	-0.000170	-0.000713	0.009512
59388	0.001227	0.111048	9.791245	0.029635	0.006741	-0.020859	0.999955	-0.000166	-0.000710	0.009507
59389	-0.065251	0.098381	9.766148	-0.036707	-0.006962	-0.045897	0.999955	-0.000165	-0.000715	0.009508
59390	-0.056596	0.096760	9.777406	-0.028040	-0.008589	-0.034683	0.999955	-0.000162	-0.000718	0.009509
59391	-0.028274	0.089361	9.790594	0.000587	-0.015345	-0.021657	0.999954	-0.000190	-0.000700	0.009513
59392	-0.047071	0.093596	9.768057	-0.018390	-0.010994	-0.044092	0.999954	-0.000186	-0.000721	0.009522
59393	-0.034299	0.106081	9.778675	-0.006068	0.001570	-0.033379	0.999954	-0.000184	-0.000725	0.009523
59394	-0.024078	0.103051	9.769331	0.004136	-0.001171	-0.042784	0.999955	-0.000185	-0.000725	0.009503
59395	-0.048424	0.094899	9.768038	-0.019670	-0.006933	-0.044091	0.999955	-0.000326	-0.000707	0.009487
59396	-0.066518	0.116305	9.786059	-0.038111	0.013865	-0.025795	0.999955	-0.000327	-0.000703	0.009493
59397	-0.040457	0.093857	9.779292	-0.011588	-0.008188	-0.032872	0.999955	-0.000308	-0.000699	0.009478
59398	-0.051909	0.097811	9.788619	-0.022953	-0.004681	-0.023470	0.999955	-0.000314	-0.000690	0.009487
59399	-0.027126	0.105518	9.769296	0.001705	0.003589	-0.042784	0.999955	-0.000297	-0.000689	0.009501
59400	-0.034645	0.123600	9.777974	-0.005965	0.021253	-0.033895	0.999955	-0.000295	-0.000675	0.009496
59401	-0.052141	0.097751	9.767991	-0.023080	-0.004733	-0.044097	0.999955	-0.000305	-0.000697	0.009487
59402	-0.054191	0.099530	9.788589	-0.025248	-0.003203	-0.023475	0.999955	-0.000296	-0.000690	0.009490
59403	-0.037379	0.079045	9.770567	-0.007927	-0.023237	-0.041760	0.999955	-0.000297	-0.000677	0.009482
59404	-0.025033	0.091485	9.781187	0.004336	-0.010669	-0.031047	0.999955	-0.000299	-0.000677	0.009487
59405	-0.043091	0.112963	9.799190	-0.014129	0.010138	-0.012767	0.999955	-0.000283	-0.000687	0.009489
59406	-0.038440	0.097315	9.811107	-0.009149	-0.005646	-0.001028	0.999955	-0.000289	-0.000677	0.009499
59407	-0.046597	0.098388	9.779220	-0.017329	-0.004445	-0.032878	0.999955	-0.000277	-0.000676	0.009498
59408	-0.039453	0.126955	9.777913	-0.010540	0.024277	-0.033906	0.999955	-0.000290	-0.000659	0.009496
59409	-0.036506	0.112554	9.810438	-0.007209	0.009687	-0.001544	0.999955	-0.000285	-0.000672	0.009493
59410	-0.032445	0.080039	9.781803	-0.002713	-0.022568	-0.030529	0.999955	-0.000278	-0.000670	0.009502
59411	-0.038114	0.096673	9.769867	-0.008806	-0.006045	-0.042273	0.999955	-0.000272	-0.000680	0.009499
59412	-0.025654	0.109237	9.780488	0.003481	0.006535	-0.031559	0.999955	-0.000268	-0.000666	0.009506
59413	-0.037067	0.113173	9.789803	-0.007865	0.010042	-0.022168	0.999955	-0.000260	-0.000670	0.009498
59414	-0.039934	0.098208	9.769845	-0.010491	-0.004935	-0.042274	0.999955	-0.000251	-0.000663	0.009502
59415	-0.029694	0.095306	9.760516	-0.000270	-0.007683	-0.051664	0.999955	-0.000245	-0.000674	0.009500
59416	-0.035746	0.083047	9.781767	-0.006092	-0.020331	-0.030526	0.999955	-0.000247	-0.000671	0.009506
59417	-0.047241	0.086887	9.791080	-0.017482	-0.016829	-0.021138	0.999955	-0.000242	-0.000658	0.009513
59418	-0.011064	0.107931	9.803013	0.018453	0.004855	-0.009092	0.999954	-0.000255	-0.000659	0.009519
59419	-0.048436	0.087391	9.791069	-0.018627	-0.016073	-0.021139	0.999954	-0.000262	-0.000663	0.009516
59420	-0.023471	0.094883	9.771776	0.006085	-0.007775	-0.040428	0.999954	-0.000269	-0.000666	0.009513
59421	-0.042269	0.099206	9.749202	-0.012876	-0.003483	-0.062899	0.999954	-0.000271	-0.000663	0.009518
59422	-0.046233	0.102488	9.790397	-0.016663	-0.000767	-0.021659	0.999954	-0.000263	-0.000655	0.009521
59423	-0.039923	0.085313	9.781731	-0.010097	-0.017683	-0.030524	0.999955	-0.000275	-0.000666	0.009509
